Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"208",,,"Jake Vogel","CF","18.65","5' 11""","165","R","R","Huntington Beach HS CA","UCLA","35+",,,,
"209",,,"Marquis Grissom Jr.","RHP","18.8805555","6' 1""","180","R","R","Counterpane HS GA","Georgia Tech","35+",,,,
"210",,,"Bobby Miller","RHP","21.1694444","6' 5""","220","L","R","Louisville",,"35+",,,,
"211",,,"Markevian Hence","RHP","17.8333333","5' 11""","160","R","R","Watson Chapel HS AR","Arkansas","35+",,,,
"212",,,"Hayden Durke","RHP","18.0972222","6' 2""","205","R","R","North Vermillon HS LA","Louisiana-Lafayette","35+",,,,
"213",,,"Jake Berry","LHP","19.0194444","6' 10""","225","R","L","Bishop O'Connell HS VA","Virginia","35+",,,,
"214",,,"Thomas Frick","C","19.6527777","6' 0""","200","R","R","J.L. Mann HS NC","North Carolina","35+",,,,
"215",,,"Sabin Ceballos","SS","17.8027777","6' 3""","180","S","R","PR BB Academy HS PR","San Jacinto JC (TX)","35+",,,,
"216",,,"Cullen Kafka","RHP","21.1388888","6' 4""","185","R","R","Oregon",,"35+",,,,
"217",,,"Jaxon Wiggins","RHP","18.675","6' 5""","205","R","R","Roland HS OK","Arkansas","35+",,,,
"218",,,"Max Rajcic","RHP","18.8416666","5' 11""","200","R","L","Orange Lutheran HS CA","UCLA","35+",,,,
"219",,,"John Montes","SS","18.775","6' 0""","165","L","R","Int'l BB Academy HS PR","UCF","35+",,,,
"220",,,"Tanner Allen","LF","22.0027777","5' 11""","185","R","L","Mississippi State",,"35+",,,,
"221",,,"Cole Fontenelle","1B","18.2388888","6' 3""","190","S","R","Skyline HS WA","Washington","35+",,,,
"222",,,"Carter Baumler","RHP/3B","18.35","6' 2""","195","R","R","Dowling Catholic HS IA","TCU","35+",,,,
"223",,,"Jared Shuster","LHP","21.8416666","6' 3""","210","L","L","Wake Forest",,"35+",,,,
"224",,,"Chad Patrick","RHP","21.8111111","6' 3""","190","R","R","Purdue Northwest",,"35+",,,,
"225",,,"Blake Money","RHP","18.5611111","6' 7""","255","R","R","Summit HS TN","LSU","35+",,,,
"226",,,"Matt Dyer","C","21.8944444","6' 4""","175","R","R","Arizona",,"35+",,,,
"227",,,"George Klassen","RHP","18.3611111","6' 2""","165","R","R","Port Washington HS WI","Minnesota","35+",,,,
"228",,,"Jacob Berry","3B","19.0861111","6' 0""","200","S","R","Queen Creek HS AZ","Arizona","35+",,,,
"229",,,"Jason Hodges","LF","18.9444444","6' 3""","210","R","R","John Logan JC IA","None","35+",,,,
"230",,,"Ryan Webb","LHP","21.1305555","6' 1""","203","L","L","Georgia",,"35+",,,,
"231",,,"Jackson Phipps","LHP","18.6805555","6' 5""","210","L","L","East Paulding HS GA","South Carolina","35+",,,,
"232",,,"Tekoah Roby","RHP","18.7166666","6' 1""","180","R","R","Pine Forest HS FL","Troy","35+",,,,
"233",,,"David Calabrese","CF","17.6944444","5' 11""","160","L","R","St. Elizabeth Catholic HS CAN","Arkansas","35+",,,,
"234",,,"Alex Edmondson","RHP","18.05","6' 3""","200","R","R","Mauldin HS SC","Clemson","35+",,,"nqo3gP98FzY",
"235",,,"Bryce Eblin","SS","18.6277777","5' 10""","160","L","R","Center Grove HS IN","Alabama","35+",,,,
"236",,,"Dalton Fowler","LHP","20.4138888","6' 5""","190","L","L","Northwest Mississippi JC MS","Oklahoma","35+",,,,
"237",,,"Mason Miller","LHP","18.1833333","6' 3""","200","L","L","Mitchell HS FL","Florida Gulf Coast","35+",,,,
"238",,,"Jordan Fowler","LHP","21.2416666","6' 3""","180","L","L","Ole Miss",,"35+",,,,
"239",,,"Tanner Bibbee","RHP","21.2527777","6' 2""","190","R","R","Fullerton",,"35+",,,,
"240",,,"Alex Galvan","RHP","18.9055555","6' 6""","210","R","R","Manasquan HS NJ","Louisville","35+",,,,
"241",,,"Isaiah Jackson","CF","18.7388888","6' 5""","185","R","R","Champaign Central HS IL","None","35+",,,,
"242",,,"Asher Akridge","CF","18.4805555","6' 4""","165","R","R","Santa Fe HS FL","Florida International","35+",,,,
"243",,,"Connor Pellerin","RHP","20.8722222","6' 3""","210","R","R","Tulane",,"35+",,,,
"244",,,"Storm Hierholzer","RHP","18.7861111","6' 2""","200","R","R","Lake Travis HS TX","TCU","35+",,,,
"245",,,"Tyler Chadwick","RHP","18.7555555","6' 5""","195","S","R","Marshall HS WI","West Virginia","35+",,,,
"246",,,"Jakob Brustoski","LHP","21.2111111","6' 2""","237","R","L","Texas Tech",,"35+",,,,
"247",,,"Brody Drost","RF/LHP","17.8861111","6' 2""","190","L","L","Barbe HS LA","LSU","35+",,,,
"248",,,"Najer Victor","RHP","18.5222222","6' 2""","185","R","R","East Ridge HS FL","Florida State","35+",,,,
"249",,,"Marco Raya","RHP","17.8305555","6' 0""","160","R","R","United South HS TX","Texas Tech","35+",,,,
"250",,,"Austin Love","RHP","21.3611111","6' 3""","232","R","R","North Carolina",,"35+",,,,
"251",,,"Drew Hill","RHP","21.8666666","5' 11""","180","R","R","TCU",,"35+",,,,
"252",,,"Roberto Moya","LF","18.7805555","6' 0""","200","R","R","Monsignor Pace HS FL","Tallahassee JC (FL)","35+",,,,
"253",,,"Jalen Vasquez","SS","18.3833333","5' 11""","155","L","R","Fort Dorchester HS SC","South Carolina","35+",,,,
"254",,,"Holden Powell","RHP","20.7416666","6' 0""","180","R","R","UCLA",,"35+",,,,
"255",,,"A.J. Vukovich","1B","18.8777777","6' 4""","210","R","R","East Troy HS WI","Louisville","35+",,,,
"256",,,"Ethan Smith","RHP","20.9722222","6' 1""","200","R","R","Vanderbilt",,"35+",,,,
"257",,,"Michael Brooks","SS","18.2805555","5' 11""","165","R","R","Palm Beach Central HS FL","Arkansas","35+",,,,
"258",,,"Fernando Gonzalez","C","18.5111111","5' 10""","180","R","R","Acworth HS GA","Georgia","35+",,,,
"259",,,"Christian Rodriguez","RHP","18.4","6' 5""","190","R","R","Orange Lutheran HS CA","Fullerton","35+",,,,
"260",,,"Carson Swilling","RHP","18.4083333","6' 1""","185","R","R","Smith Station HS AL","Auburn","35+",,,,
"261",,,"Kenyon Yovan","RHP","22.4666666","6' 1""","215","R","R","Oregon",,"35+",,,,
"262",,,"Alec Gonzalez","2B","18.7222222","6' 1""","190","R","R","Marian Catholic HS IL","Tennessee","35+",,,,
"263",,,"Jack Hurley","CF","18.2305555","6' 0""","170","L","R","State College Area HS PA","Virginia Tech","35+",,,,
"264",,,"Hunter Barnhart","RHP","18.3111111","6' 2""","195","R","R","St. Joseph HS CA","Arizona State","35+",,,,
"265",,,"Ethan Long","RHP/3B","19.0722222","6' 2""","218","R","R","Mountain Pointe HS AZ","Arkansas","35+",,,,
"266",,,"Daniel Susac","C","19.0611111","6' 3""","215","S","R","Jesuit HS CA","Arizona","35+",,,,
"267",,,"Luis Guerrero","RHP","19.8361111","6' 2""","210","R","R","Home School FL","Chipola JC (FL)","35+",,,,
"HS-P-1",,,"Travis Luensmann","RHP","18.9944444","6' 6""","210","R","R","Bellwood-Antis HS PA","South Carolina","35",,,,
"HS-P-2",,,"Carlos Rodriguez","RHP","18.525","5' 11""","180","R","R","Miami Christian HS FL","Miami","35",,,,
"HS-P-3",,,"Wyatt Tucker","RHP","18.2416666","6' 3""","190","R","R","Douglass HS TX","Texas A&M","35",,,,
"HS-P-4",,,"Logan Austin","RHP","18.3166666","6' 4""","200","R","R","Russell Country HS AL","Auburn","35",,,,
"HS-P-5",,,"Rece Ritchey","LHP","18.2166666","6' 4""","170","L","L","Huntingdon Area HS PA","Virginia","35",,,,
"HS-P-6",,,"Charlie Hurley","RHP","18.2916666","6' 7""","205","L","R","Jesuit HS CA","USC","35",,,,
"HS-P-7",,,"Ben Wiegman","RHP","18.4638888","6' 4""","215","R","R","Carmel Catholic HS IL","Louisville","35",,,,
"HS-P-8",,,"Kemp Alderman","RHP/1B","17.7944444","6' 4""","240","R","R","Newton County HS MS","Ole Miss","35",,,,
"HS-P-9",,,"Cade Smith","RHP","18.1583333","6' 1""","185","L","R","DeSoto Central HS MS","South Carolina","35",,,,
"HS-P-10",,,"Jackson Cothren","RHP","18.3916666","6' 2""","200","R","R","Lincoln County HS TN","Memphis","35",,,,
"HS-P-11",,,"Mike Tepper","RHP","18.0111111","6' 2""","190","L","R","Fort Mill HS SC","UNC Charlotte","35",,,,
"HS-P-12",,,"Trey Gibson","RHP","18.05","6' 4""","215","R","R","Grafton HS VA","Liberty","35",,,,
"HS-P-13",,,"Ryan Lynch","LHP","18.9583333","6' 2""","195","R","L","Penn HS IN","Notre Dame","35",,,,
"HS-P-14",,,"Collin Bosley-Smith","RHP","18.4944444","6' 4""","200","R","R","Woodrow Wilson HS DC","Duke","35",,,,
"HS-P-15",,,"Lucas Gordon","LHP","18.3138888","6' 1""","175","L","L","Notre Dame HS CA","USC","35",,,,
"HS-P-16",,,"Grayson Hitt","LHP","18.4861111","6' 2""","172","R","L","Houston HS TN","Alabama","35",,,,
"HS-P-17",,,"Andrew Owen","RHP","18.3777777","6' 1""","185","R","R","Turlock HS CA","USC","35",,,,
"HS-P-18",,,"Cannon Pickell","RHP","17.675","6' 2""","215","R","R","Currituck County HS NC","North Carolina","35",,,,
"HS-P-19",,,"Trey Frahm","RHP","18.7583333","6' 0""","205","R","R","Elkhorn HS NE","Kansas State","35",,,,
"HS-P-20",,,"Gage Bradley","RHP","18.6305555","6' 2""","175","R","R","Rossview HS TN","Vanderbilt","35",,,,
"HS-P-21",,,"Joseph Gonzalez","RHP","18.1944444","6' 4""","215","R","R","Bougart HS PR","None","35",,,,
"HS-P-22",,,"Michael Fowler","RHP","17.8694444","6' 3""","185","R","R","Hewitt-Trussville HS AL","LSU","35",,,,
"HS-P-23",,,"Dylan Ray","RHP","19.075","6' 3""","205","S","R","Bob Jones HS AL","Alabama","35",,,,
"HS-P-24",,,"Jake Eddington","RHP","19.1111111","6' 3""","170","R","R","Doniphan HS MO","Alabama","35",,,,
"HS-P-25",,,"Josh Swales","RHP","18.6055555","6' 2""","180","R","R","Grace Brethren HS CA","Arizona","35",,,,
"HS-P-26",,,"Bryson Hammer","LHP","18.6611111","6' 2""","175","L","L","Alexander Central HS NC","Clemson","35",,,,
"HS-P-27",,,"Aaron Nixon","RHP/3B","18.8805555","6' 1""","195","R","R","McAllen HS TX","Texas","35",,,,
"HS-P-28",,,"Alexander Ayala","LHP","18.5277777","6' 1""","195","L","L","Brito Miami Private HS FL","None","35",,,,
"HS-P-29",,,"Jaden Bruno","RHP","18.4222222","6' 4""","182","R","R","American Heritage HS FL","Stanford","35",,,,
"HS-P-30",,,"Hector Andrades","RHP","18.4833333","6' 2""","215","R","R","Leadership Christian HS PR","Bethune Cookman","35",,,,
"HS-P-31",,,"Joe Dixon","RHP","18.4305555","6' 2""","190","R","R","Bingham HS UT","Stanford","35",,,,
"HS-P-32",,,"Donye Evans","RHP","18.3083333","6' 6""","200","R","R","Redan HS GA","Vanderbilt","35",,,,
"HS-P-33",,,"Nick Brown","RHP","18.4666666","6' 2""","195","R","R","Bob Jones HS AL","None","35",,,,
"HS-P-34",,,"Braxton Pearson","RHP","18.7888888","6' 1""","170","R","R","Georgetown HS TX","TCU","35",,,,
"HS-P-35",,,"Ty Collins","RHP","18.7694444","6' 3""","160","L","R","St. John Bosco HS CA","None","35",,,,
"HS-P-36",,,"Lebarron Johnson","RHP","17.9638888","6' 4""","200","R","R","Paxon HS FL","Florida","35",,,,
"HS-P-37",,,"Zachary Murray","RHP","18.6333333","6' 0""","170","R","R","Lanier HS GA","LSU","35",,,,
"HS-P-38",,,"Paulshawn Pasqualotto","RHP","18.9777777","6' 2""","190","R","R","Palo Verde HS NV","None","35",,,,
"HS-P-39",,,"Chase Hampton","RHP","18.8305555","6' 1""","200","R","R","Kilgore HS TX","Texas Tech","35",,,,
"HS-P-40",,,"John Miralia","LHP","19.1","6' 7""","245","R","L","Providence HS NC","Duke","35",,,,
"HS-P-41",,,"Carlson Reed","RHP","17.525","6' 4""","185","L","R","Marietta HS GA","West Virginia","35",,,,
"HS-P-42",,,"Nick Conte","RHP/SS","18.1138888","5' 10""","180","R","R","North Providence HS RI","Duke","35",,,,
"HS-P-43",,,"Nick Gorby","LHP","18.7666666","6' 1""","230","R","L","Carroll Catholic HS FL","Texas Tech","35",,,,
"HS-P-44",,,"Kenny Levari","RHP/3B","18.0777777","6' 2""","170","L","R","St. Augustine Prep HS NJ","Old Dominion","35",,,,
"HS-P-45",,,"Jamar Fairweather","RHP","18.6722222","6' 2""","215","R","R","Westminster Christian HS FL","Miami","35",,,,
"HS-P-46",,,"Caden Wilson","RHP","18.6805555","6' 2""","200","R","R","Liberty North HS MO","Missouri State","35",,,,
"HS-P-47",,,"Jack Crowder","RHP","17.8638888","6' 3""","220","R","R","Plainfield East HS IL","Illinois","35",,,,
"HS-P-48",,,"Nelson Berkwich","LHP","18.175","6' 0""","190","L","L","American Heritage HS FL","Vanderbilt","35",,,,
"HS-P-49",,,"Cade Udell","RHP","18.5388888","6' 5""","225","S","R","Lake Mary HS FL","Duke","35",,,,
"HS-P-50",,,"Cade Austin","RHP","18.6888888","6' 3""","210","R","R","Chapin HS SC","South Carolina","35",,,,
"HS-P-51",,,"Michael Gemma","RHP","18.4638888","6' 4""","175","R","R","Catholic Memorial HS MA","Northeastern","35",,,,
"HS-P-52",,,"Carlos Anziani","RHP","19.025","6' 4""","235","R","R","P27 Academy HS NY","Michigan","35",,,,
"HS-P-53",,,"Jovan Gill","RHP","18.4638888","6' 4""","210","L","R","Southwest Florida Christian HS FL","Stetson","35",,,,
"HS-P-54",,,"Luke Wagner","LHP","18.7388888","6' 0""","170","R","L","Red Land HS PA","Georgia","35",,,,
"HS-P-55",,,"Camden Minacci","RHP","18.3944444","6' 3""","175","L","R","Jesuit HS FL","Wake Forest","35",,,,
"HS-P-56",,,"Blade Tidwell","RHP","18.9944444","6' 3""","180","R","R","Loretto HS TN","Tennessee","35",,,,
"HS-P-57",,,"Ryan Stefiuk","LHP","18.1972222","6' 4""","195","R","L","Preble HS WI","Vanderbilt","35",,,,
"HS-P-58",,,"Jared Matheson","RHP","18.225","6' 2""","160","R","R","Lake Creek HS TX","McLennan JC (TX)","35",,,,
"HS-P-59",,,"Logan Wood","LHP","17.7611111","6' 1""","173","L","L","St. Mary's Prep HS MI","Michigan","35",,,,
"HS-P-60",,,"Logan Mercado","RHP/3B","18.6305555","6' 0""","185","R","R","Tri-Cities Prep HS WA","Oregon","35",,,,
"HS-P-61",,,"Cole Stallings","RHP","17.9638888","6' 2""","190","R","R","Newsome HS FL","Stetson","35",,,,
"HS-P-62",,,"Miles Garrett","RHP","18.9472222","5' 11""","170","R","R","Parkview HS GA","Vanderbilt","35",,,,
"HS-P-63",,,"Robert Ready","RHP","18.5583333","6' 3""","235","R","R","St. Augustine Prep HS NJ","East Carolina","35",,,,
"HS-P-64",,,"Alberto McCarthy","LHP","18.4222222","6' 5""","220","R","L","Satellite HS FL","Stetson","35",,,,
"HS-P-65",,,"Kevin Matos","RHP/3B","18.2583333","5' 11""","150","R","R","Int'l BB Academy HS PR","None","35",,,,
"HS-P-66",,,"Nick Chittum","RHP/3B","18.3361111","6' 2""","193","S","R","Gross Ile HS MI","None","35",,,,
"HS-P-67",,,"Trevor Martin","RHP","19.475","6' 5""","220","R","R","Asher HS OK","Oklahoma State","35",,,,
"HS-P-68",,,"Zac Addkison","RHP","17.95","6' 4""","225","R","R","Texas Military Institute HS TX","None","35",,,,
"HS-P-69",,,"Ryan Ward","RHP","18.5888888","6' 2""","175","R","R","Clemens HS TX","UT San Antonio","35",,,,
"HS-P-70",,,"Mason Manriquez","RHP","18.5666666","6' 1""","180","R","R","Wellington HS FL","Duke","35",,,,
"HS-P-71",,,"Miles Halligan","RHP","18.1472222","6' 1""","185","R","R","Hopkins HS MN","None","35",,,,
"HS-P-72",,,"Hunter Owen","LHP","18.35","6' 5""","225","R","L","South Portland HS ME","Vanderbilt","35",,,,
"HS-P-73",,,"Cody Adcock","RHP","17.9583333","6' 3""","181","R","R","Texarkana HS AR","Ole Miss","35",,,,
"HS-P-74",,,"Ricky Tiedemann","LHP","17.8","6' 3""","192","L","L","Lakewood HS CA","San Diego State","35",,,,
"HS-P-75",,,"Luke Baker","LHP","18.6972222","6' 6""","205","L","L","Buchholz HS FL","Ole Miss","35",,,,
"HS-H-1",,,"Kala'i Rosario","LF","17.9277777","6' 1""","200","R","R","Waiakea HS HI","Cal Baptist","35",,,,
"HS-H-2",,,"Jacob Gonzalez","SS","18.0166666","6' 2""","180","L","R","Glendora HS CA","Ole Miss","35",,,,
"HS-H-3",,,"Carter Sanford","C","18.925","5' 10""","185","L","R","Fayette County HS AL","South Alabama","35",,,,
"HS-H-4",,,"Kellum Clark","1B/RHP","19.125","6' 4""","220","L","R","Brandon HS MS","Mississippi State","35",,,,
"HS-H-5",,,"Caden Rose","SS","18.6638888","5' 10""","170","R","R","Bob Jones HS AL","Alabama","35",,,,
"HS-H-6",,,"G Allen","3B","18.2305555","6' 3""","210","S","R","Little Rock Christian HS AR","TCU","35",,,,
"HS-H-7",,,"Clayton Gray","SS","18.6444444","5' 11""","170","L","R","Cabot HS AR","Arkansas","35",,,,
"HS-H-8",,,"Luke Boyers","RF","19.1472222","5' 11""","185","S","R","Champion HS TX","TCU","35",,,,
"HS-H-9",,,"Carlos Perez","C","18.4","6' 2""","195","S","R","Florida Christian HS FL","Miami","35",,,,
"HS-H-10",,,"C.J. Pittaro","3B","18.6388888","6' 2""","195","L","R","Hamilton East HS NJ","Vanderbilt","35",,,,
"HS-H-11",,,"A.J. Shaver","CF/RHP","18.6611111","6' 2""","197","R","R","South Lake HS FL","Florida State","35",,,,
"HS-H-12",,,"Kyle Russell","SS","18.7666666","6' 1""","180","R","R","University Place HS WA","Washington State","35",,,,
"HS-H-13",,,"Nate McCollum","CF","18.5","5' 10""","185","R","R","Dutchtown HS GA","North Carolina State","35",,,,
"HS-H-14",,,"Brandon Fields","RF","19.0694444","5' 11""","195","R","R","Dr. Phillips HS FL","South Carolina","35",,,,
"HS-H-15",,,"Cole Foster","SS","18.6611111","6' 0""","185","S","R","Plano HS TX","TCU","35",,,,
"HS-H-16",,,"Nick Yorke","SS","18.1777777","6' 0""","195","R","R","Archbishop Mitty HS CA","Arizona","35",,,,
"HS-H-17",,,"David Coppedge","SS","18.1527777","6' 1""","175","R","R","Clover Hill HS VA","Virginia","35",,,,
"HS-H-18",,,"Parks Harber","3B","18.6972222","6' 4""","205","R","R","Westminster HS GA","Georgia","35",,,,
"HS-H-19",,,"J.D. Gregson","1B","18.4277777","6' 3""","205","R","R","Wakeland HS TX","Baylor","35",,,,
"HS-H-20",,,"Josh Moylan","1B","17.925","6' 4""","225","L","R","Archbishop Spalding HS MD","East Carolina","35",,,,
"HS-H-21",,,"Joe Vetrano","1B/LHP","18.0722222","6' 3""","214","L","L","Lakeland HS NY","Boston College","35",,,,
"HS-H-22",,,"Michael Brown","1B","18.3611111","6' 5""","230","L","L","Vacaville HS CA","Washington","35",,,,
"HS-H-23",,,"Trey Carter","CF","19.0805555","6' 4""","215","R","R","Carlisle HS VA","Florida State","35",,,,
"HS-H-24",,,"Jack Bulger","C","18.7638888","6' 0""","205","R","R","DeMatha Catholic HS MD","Vanderbilt","35",,,,
"HS-H-25",,,"Sterlin Thompson","3B","18.9444444","6' 3""","190","L","R","North Marion HS FL","Florida","35",,,,
"HS-H-26",,,"Kimble Schuessler","C","18.7722222","6' 2""","193","R","R","Llano HS TX","Texas A&M","35",,,,
"HS-H-27",,,"Tre Morgan","1B","17.8888888","6' 0""","185","L","L","Brother Martin HS LA","LSU","35",,,,
"HS-H-28",,,"Tre Hondras","RF","18.6222222","6' 0""","185","R","R","Homewood Flossmoor HS IL","Michigan","35",,,,
"HS-H-29",,,"Calvin Harris","C","18.5583333","6' 0""","190","L","R","Western Dubuque HS IA","Ole Miss","35",,,,
"HS-H-30",,,"Camden Hill","1B","18.2527777","6' 3""","210","L","L","Bob Jones HS AL","Auburn","35",,,,
"HS-H-31",,,"Emilio Morales","C","18.425","6' 3""","185","R","R","La Mirada HS CA","USC","35",,,,
"HS-H-32",,,"JoJo Coffey","CF","18.0833333","6' 0""","175","R","R","Montverde Academy HS FL","UCF","35",,,,
"HS-H-33",,,"Ryland Zaborowski","3B","18.0638888","6' 5""","210","R","R","Basha HS AZ","Grand Canyon","35",,,,
"HS-H-34",,,"Yanluis Ortiz","C","19.0583333","5' 11""","205","R","R","Southlake Carroll HS TX","Miami","35",,,,
"HS-H-35",,,"Ildefonso Ruiz","C","18.2861111","6' 1""","195","R","R","Mater Dei HS CA","San Diego State","35",,,,
"HS-H-36",,,"Alex Urban","RF","18.6","5' 11""","180","L","R","River Bluff HS SC","Clemson","35",,,,
"HS-H-37",,,"Daylen Reyes","SS","18.8888888","6' 1""","175","R","R","Notre Dame HS CA","UCLA","35",,,,
"HS-H-38",,,"Jake Gelof","RF","18.2805555","6' 1""","190","R","R","IMG Academy HS FL","William & Mary","35",,,,
"HS-H-39",,,"Trevor Austin","SS","18.675","5' 11""","185","R","R","Helias HS MO","Missouri","35",,,,
"HS-H-40",,,"Hunter Donaldson","SS","18.3833333","6' 0""","175","L","R","Smith Station HS AL","South Alabama","35",,,,
"HS-H-41",,,"MacKenzie Wainwright","RF","17.8333333","6' 1""","215","R","R","St. Edward HS OH","Ohio State","35",,,,
"HS-H-42",,,"Mac Guscette","C","18.3111111","6' 0""","195","R","R","Venice HS FL","Florida","35",,,,
"HS-H-43",,,"Josiah Cromwick","C","18.4361111","6' 1""","190","R","R","Palo Verde HS NV","Oregon","35",,,,
"HS-H-44",,,"Joseph Izarra","SS","18.2472222","6' 1""","170","R","R","Miami Christian HS FL","Miami","35",,,,
"HS-H-45",,,"Alex Greene","RF/RHP","18.5944444","6' 1""","190","R","R","DeMatha Catholic HS MD","Virginia","35",,,,
"HS-H-46",,,"Drake Wescott","1B","18.7527777","6' 3""","205","L","R","Edwardsville HS IL","Louisville","35",,,,
"HS-H-47",,,"Vince Smith","SS","18.925","5' 11""","170","R","R","Calvary Christian HS FL","Florida State","35",,,,
"HS-H-48",,,"Jack O'Dowd","2B","19.075","6' 2""","190","L","R","Lipscomb Academy HS TN","Vanderbilt","35",,,,
"HS-H-49",,,"Giuseppe Ferraro","3B","18.0611111","6' 4""","200","R","R","American Heritage HS FL","Miami","35",,,,
"HS-H-50",,,"Josh Shuler","RF","18.6305555","6' 2""","200","L","R","North Gwinnett HS GA","South Carolina","35",,,,
"HS-H-51",,,"J.T. Benson","CF","18.1805555","5' 10""","186","R","R","South Oldham HS KY","Louisville","35",,,,
"HS-H-52",,,"Jaden Agassi","3B/RHP","18.6111111","6' 3""","210","R","R","Home School NV","USC","35",,,,
"HS-H-53",,,"Elijah Nunez","CF","18.5","5' 9""","165","L","L","Martin HS TX","TCU","35",,,,
"HS-H-54",,,"C.J. Kayfus","1B","18.6055555","6' 0""","165","L","L","Palm Beach Central HS FL","Miami","35",,,,
"HS-H-55",,,"Jordan Carrion","SS","19.1277777","6' 1""","160","R","R","American Heritage HS FL","Florida","35",,,,
"HS-H-56",,,"Kyle Karros","1B","17.8611111","6' 5""","195","R","R","Mira Costa HS CA","UCLA","35",,,,
"HS-H-57",,,"DeeJay Booth","RF","18.2805555","5' 11""","201","L","L","Oak Grove HS MS","Southern","35",,,,
"HS-H-58",,,"Jonathan Vaughns","3B/RHP","19.0111111","6' 2""","210","L","R","St. John Bosco HS CA","UCLA","35",,,,
"HS-H-59",,,"Brad Grenoski","RF/RHP","19.0138888","6' 4""","200","R","R","Kell HS GA","Georgia Tech","35",,,,
"HS-H-60",,,"Jack Riedel","SS","18.5638888","6' 1""","180","L","R","Memorial HS TX","North Carolina","35",,,,
"HS-H-61",,,"Jake Harwood","SS","19.1","6' 0""","190","R","R","Whiteville HS NC","North Carolina State","35",,,,
"HS-H-62",,,"Anibal Saez","SS","17.9833333","6' 0""","180","R","R","PR BB Academy HS PR","None","35",,,,
"HS-H-63",,,"Tyler Shelnut","SS","18.6916666","6' 2""","170","R","R","Fort White HS FL","Florida","35",,,,
"HS-H-64",,,"Grant Knipp","C","18.5194444","6' 2""","202","R","R","Louisville Male HS KY","Alabama","35",,,,
"HS-H-65",,,"Dalton Back","C","18.6194444","5' 10""","193","R","R","Columbus East HS IN","Miami (OH)","35",,,,
"HS-H-66",,,"Nelson Rivera","C","18.475","6' 0""","195","R","R","Leadership Christian HS PR","None","35",,,,
"HS-H-67",,,"James Jett","RF","18.0722222","6' 4""","200","R","R","Louisville Male HS KY","None","35",,,,
"HS-H-68",,,"Mark Black","C","18.0833333","5' 10""","203","R","R","Serra Catholic HS PA","St. John's","35",,,,
"HS-H-69",,,"Dylan Carmouche","1B/LHP","19.05","6' 4""","207","L","L","University HS LA","Mississippi State","35",,,,
"HS-H-70",,,"Garret Guillemette","C","18.7555555","6' 0""","190","R","R","Servite HS CA","USC","35",,,,
"HS-H-71",,,"Kevin Karstetter","3B","18.6916666","6' 2""","208","R","R","IMG Academy HS FL","Florida Atlantic","35",,,,
"HS-H-72",,,"Hunter Ensley","CF","18.825","6' 0""","185","R","R","Huntingdon HS TN","Tennessee","35",,,,
"HS-H-73",,,"Trevor Tishenkel","RF","18.6916666","6' 1""","175","L","L","Poway HS CA","Cal","35",,,,
"HS-H-74",,,"Alex Stone","C","18.5916666","6' 5""","225","R","R","Newton HS NJ","Duke","35",,,,
"HS-H-75",,,"Jeffery Waters","CF","16.5111111","5' 11""","195","R","R","South Cobb HS GA","Maryland","35",,,,
"HS-H-76",,,"Orlando Salinas","3B","19.7194444","5' 11""","185","L","R","King HS TX","Oklahoma State","35",,,,
"HS-H-77",,,"Zachary Easterling","RF","18.7555555","6' 4""","195","L","R","Oak Ridge HS TX","Texas A&M","35",,,,
"COL-P-1",,,"Ian Seymour","LHP","21.4805555","6' 0""","190","L","L","Virginia Tech",,"35",,,,
"COL-P-2",,,"Clayton Beeter","RHP","21.6583333","6' 2""","220","R","R","Texas Tech",,"35",,,,
"COL-P-3",,,"Dustin Saenz","LHP","21.0111111","5' 11""","185","L","L","Texas A&M",,"35",,,,
"COL-P-4",,,"Hunter Breault","RHP","20.975","6' 2""","216","R","R","Oregon",,"35",,,,
"COL-P-5",,,"Zach Brzykcy","RHP","20.9","6' 2""","225","R","R","Virginia Tech",,"35",,,,
"COL-P-6",,,"Bryce Elder","RHP","21.0472222","6' 2""","220","R","R","Texas",,"35",,,,
"COL-P-7",,,"Justin Wrobleski","LHP","20.8944444","6' 1""","190","L","L","State College JC FL","Oklahoma State","35",,,,
"COL-P-8",,,"Levi Prater","LHP","20.9611111","6' 0""","175","S","L","Oklahoma",,"35",,,,
"COL-P-9",,,"Spencer Strider","RHP","21.6055555","5' 11""","210","R","R","Clemson",,"35",,,,
"COL-P-10",,,"Kamron Fields","RHP","21.7","6' 2""","190","R","R","Texas",,"35",,,,
"COL-P-11",,,"Hunter McMullen","RHP","21.4861111","6' 2""","200","R","R","Florida",,"35",,,,
"COL-P-12",,,"Erik Tolman","LHP","21.0083333","6' 2""","185","L","L","Arizona State",,"35",,,,
"COL-P-13",,,"Holt Jones","RHP","21.0777777","6' 8""","215","R","R","Clemson",,"35",,,,
"COL-P-14",,,"Connor Noland","RHP","20.8777777","6' 2""","215","R","R","Arkansas",,"35",,,,
"COL-P-15",,,"Griff McGarry","RHP","20.9944444","6' 2""","175","R","R","Virginia",,"35",,,,
"COL-P-16",,,"Mason Hickman","RHP","21.4527777","6' 6""","230","R","R","Vanderbilt",,"35",,,,
