last_name,first_name,age,raat,pos,level,rp?,st,ip,pa,birthdate,id,raar,raal,target
Zamora,Daniel,25,0.50,P,B,x,,9.0,,1993-04-15,17811,0.40,0.10,
Sadzeck,Connor,27,0.10,P,B,x,2,9.1,,1991-10-01,13483,0.00,0.10,
Adam,Jason,27,-1.50,P,B,x,,32.1,,1991-08-04,11861,-1.60,0.10,
Anderson,Drew,24,-1.80,P,B,x,1,12.2,,1994-03-22,15130,-1.90,0.10,
Guerra,Javy,33,-2.10,P,B,x,,35.2,,1985-10-31,7407,-2.20,0.10,
Newberry,Jake,24,-2.10,P,B,x,,13.1,,1994-11-20,15136,-2.20,0.10,
Wright,Mike,28,-6.30,P,B,x,2,126.1,,1990-01-03,12586,-6.40,0.10,
Sobotka,Chad,25,3.20,P,B,x,,14.1,,1993-07-10,17470,3.20,0.00,
Hoyt,James,32,0.00,P,B,,,,,1986-09-30,14605,0.00,0.00,
Ramirez,Neil,29,1.90,P,B,x,,41.2,,1989-05-25,7677,1.90,0.00,
Shafer,Justin,26,0.20,P,B,x,,8.1,,1992-09-18,16132,0.20,0.00,
Cruz,Rhiner,32,0.00,P,A,x,,3.1,,1986-11-01,711,0.00,0.00,
Detwiler,Ross,32,0.00,P,A,x,,6.0,,1986-03-06,2859,0.00,0.00,
Ravin,Josh,30,0.00,P,A,x,,3.0,,1988-01-21,2951,0.00,0.00,
Means,John,25,0.00,P,B,,,,,1993-04-24,16269,0.00,0.00,
Webster,Allen,28,0.00,P,A,x,,3.0,,1990-02-10,3993,0.00,0.00,
Neal,Zach,30,0.00,P,B,,,,,1988-11-09,11294,0.00,0.00,
Ortiz,Luis,23,0.00,P,B,,,,,1995-09-22,16942,0.00,0.00,
Zagurski,Mike,35,0.00,P,A,x,,1.0,,1983-01-27,9683,0.00,0.00,
Bleich,Jeremy,31,0.00,P,B,x,,0.1,,1987-06-18,9069,0.00,0.00,
Bradford,Chasen,29,0.00,P,B,x,,53.2,,1989-08-05,12452,0.00,0.00,
Tseng,Jen-Ho,24,0.00,P,B,,1,,,1994-10-03,15524,0.00,0.00,
Underwood,Duane,24,0.00,P,B,,1,,,1994-07-20,14677,0.00,0.00,
Burdi,Nick,25,0.00,P,B,x,,1.1,,1993-01-19,16074,0.00,0.00,
Chargois,JT,28,0.00,P,B,x,,32.1,,1990-12-03,13767,0.00,0.00,
Copeland,Scott,31,0.00,P,B,x,,1.1,,1987-12-15,10706,0.00,0.00,
Cumpton,Brandon,30,0.00,P,B,x,,1.2,,1988-11-16,11366,0.00,0.00,
Deetz,Dean,25,0.00,P,B,x,,3.1,,1993-11-29,16687,0.00,0.00,
Luplow,Jordan,25,-0.10,OF,B,,,,103,1993-09-26,16424,-1.00,0.90,
Guduan,Reymin,26,0.00,P,B,x,,3.1,,1992-03-16,13058,0.00,0.00,
Hanhold,Eric,25,0.00,P,B,x,,2.1,,1993-11-01,18332,0.00,0.00,
Jewell,Jake,25,0.00,P,B,x,,2.0,,1993-05-16,16958,0.00,0.00,
Kozma,Pete,30,-0.20,IF,A,,,,73,1988-04-11,2539,-0.70,0.40,
Tauchman,Mike,28,-0.20,OF,B,,,,37,1990-12-03,15274,0.10,-0.30,
Kiekhefer,Dean,29,0.00,P,B,x,,2.0,,1989-06-07,10529,0.00,0.00,
Higashioka,Kyle,28,-0.30,C,B,,,,79,1990-04-20,5517,-1.30,1.00,
Guillorme,Luis,24,-0.30,IF-OF,B,,,,74,1994-09-27,16451,-0.20,-0.10,
Smolinski,Jake,29,-0.30,OF,A,,,,41,1989-02-09,5408,1.00,-1.30,
Krehbiel,Joey,25,0.00,P,B,x,,3.0,,1992-12-20,13707,0.00,0.00,
McCreery,Adam,25,0.00,P,B,x,,1.0,,1992-12-31,19550,0.00,0.00,
Morales,Osmer,26,0.00,P,B,x,,0.1,,1992-10-30,17133,0.00,0.00,
Rowley,Chris,28,0.00,P,B,x,,0.2,,1990-08-14,18820,0.00,0.00,
Smith,Murphy,31,0.00,P,B,x,,3.1,,1987-08-25,9812,0.00,0.00,
Scribner,Troy,27,-0.30,P,B,,1,,,1991-07-02,15570,-0.30,0.00,
Stout,Eric,25,0.00,P,B,x,,2.1,,1993-03-27,16873,0.00,0.00,
Wilkerson,Steve,26,-0.40,IF-OF,B,,,,49,1992-01-11,16041,0.70,-1.10,
Weiss,Zack,26,0.00,P,B,x,,0.0,,1992-06-16,15444,0.00,0.00,
Brothers,Rex,30,0.00,P,V,x,,0.0,,1987-12-18,9794,0.00,0.00,
Hoover,J.J.,31,0.00,P,V,x,,1.1,,1987-08-13,9037,0.00,0.00,
Krol,Ian,27,0.00,P,V,x,,2.0,,1991-05-09,10066,0.00,0.00,
Ogando,Alexi,35,0.00,P,V,x,,1.0,,1983-10-05,10261,0.00,0.00,
Wilson,Bryse,20,-0.50,P,B,x,1,7.0,,1997-12-20,19990,-0.50,0.00,
Santana,Dennis,22,-1.00,P,B,x,,3.2,,1996-04-12,17878,-1.00,0.00,
Smoker,Josh,30,-4.10,P,A,x,,7.1,,1988-11-26,10285,-4.10,0.00,
Freitas,David,29,-0.50,C,B,,,,106,1989-03-18,10619,-0.60,0.10,
Andreoli,John,28,-0.50,OF,B,,,,67,1990-06-09,13012,0.20,-0.70,
Blackburn,Paul,25,-0.50,P,B,,6,,,1993-12-04,14739,0.40,-0.90,
Mazzoni,Cory,29,2.10,P,B,x,,8.2,,1989-10-19,12537,2.20,-0.10,
Baez,Sandy,25,1.90,P,B,x,,14.1,,1993-11-25,17754,2.00,-0.10,
Weber,Ryan,28,-0.50,P,B,,,,,1990-08-12,10160,-0.50,0.00,
Liberatore,Adam,31,1.10,P,B,x,,13.0,,1987-05-12,10637,1.20,-0.10,
Farrell,Luke,27,0.40,P,B,x,2,31.1,,1991-06-07,15101,0.50,-0.10,
Brigham,Jeff,26,-0.60,P,B,,4,,,1992-02-16,16631,-0.20,-0.40,
Edwards,Jon,30,-0.60,P,B,,,,,1988-01-08,1483,-0.60,0.00,
Almonte,Yency,24,-0.10,P,B,x,,14.2,,1994-06-04,15068,0.00,-0.10,
Wick,Rowan,26,-0.20,P,B,x,,8.1,,1992-11-09,14646,-0.10,-0.10,
Richards,Trevor,25,-0.60,P,B,,25,,,1993-05-15,19309,-5.90,5.30,
Socolovich,Miguel,32,-0.30,P,A,x,,5.0,,1986-07-24,6697,-0.20,-0.10,
Gonzalez,Adrian,36,-0.70,IF,V,,,,187,1982-05-08,1908,-0.50,-0.20,
Rzepczynski,Marc,33,-0.40,P,B,x,,10.1,,1985-08-29,6612,-0.30,-0.10,
Blash,Jabari,29,-0.80,OF,A,,,,45,1989-07-04,11247,-0.80,0.00,
Sierra,Moises,30,-0.80,OF,A,,,,60,1988-09-24,6050,1.10,-1.90,
Vasquez,Andrew,25,-0.40,P,B,x,,5.0,,1993-09-14,19482,-0.30,-0.10,
Paredes,Edward,32,-0.80,P,B,,,,,1986-09-30,4168,-1.40,0.60,
Rodriguez,Ricardo,26,-0.80,P,B,,,,,1992-08-31,15458,0.10,-0.90,
Beckham,Gordon,32,-0.90,IF,V,,,,50,1986-09-16,9015,-2.60,1.70,
Perez,Cionel,22,-0.90,P,B,x,,11.1,,1996-04-21,19614,-0.80,-0.10,
Milner,Hoby,27,-1.30,P,A,x,,7.1,,1991-01-13,13346,-1.20,-0.10,
Brewer,Colten,26,-1.60,P,B,x,,9.2,,1992-10-29,12997,-1.50,-0.10,
Phillips,Evan,24,-3.40,P,B,x,1,11.2,,1994-09-11,17734,-3.30,-0.10,
Stephens,Jackson,24,-5.90,P,B,x,,38.1,,1994-05-11,14420,-5.80,-0.10,
Robinson,Shane,34,-1.00,OF,A,,,,54,1984-10-30,4249,0.40,-1.30,
McCarthy,Kevin,26,5.50,P,B,x,,72.0,,1992-02-22,15240,5.70,-0.20,
Howard,Sam,25,-1.00,P,B,,,,,1993-03-05,16265,-1.40,0.40,
Pannone,Thomas,24,3.30,P,B,x,6,43.0,,1994-04-28,17281,3.50,-0.20,
Springs,Jeffrey,26,2.50,P,B,x,2,32.0,,1992-09-20,17677,2.70,-0.20,
Pounders,Brooks,28,-0.50,P,B,x,,15.1,,1990-09-26,10387,-0.30,-0.20,
Phegley,Josh,30,-1.10,C,A,,,,102,1988-02-12,9308,-0.10,-0.90,
Lucas,Josh,28,-0.90,P,B,x,1,14.1,,1990-11-05,11686,-0.70,-0.20,
Burr,Ryan,24,-2.30,P,B,x,,9.2,,1994-05-28,17536,-2.10,-0.20,
Peters,Dillon,26,-4.00,P,B,x,5,27.2,,1992-08-31,18790,-3.80,-0.20,
Kratz,Erik,38,-1.30,C,A,,,,219,1980-06-15,4403,-0.10,-1.20,
Arano,Victor,23,10.10,P,B,x,,59.1,,1995-02-07,15915,10.40,-0.30,x
Norwood,James,24,0.70,P,B,x,,11.0,,1993-12-24,16440,1.00,-0.30,
Bard,Luke,28,0.60,P,B,x,,11.2,,1990-11-13,14288,0.90,-0.30,
Shackelford,Kevin,29,-0.30,P,,x,,8.0,,1989-04-07,11012,0.00,-0.30,
Maples,Dillon,26,-0.60,P,B,x,,5.1,,1992-05-09,14672,-0.30,-0.30,
Gossett,Daniel,26,-1.40,P,B,,5,,,1992-11-13,16164,-0.70,-0.70,
Cortes,Nestor,24,-1.00,P,B,x,,4.2,,1994-12-10,17874,-0.70,-0.30,
Velazquez,Hector,30,-1.20,P,B,x,8,127.5,,1988-11-26,19341,-0.90,-0.30,
Wingenter,Trey,24,-1.30,P,B,x,,19.0,,1994-04-15,17793,-1.00,-0.30,
Centeno,Juan,29,-1.60,C,A,,,,38,1989-11-16,7168,-2.90,1.40,
Paredes,Eduardo,23,-5.50,P,B,x,,18.1,,1995-03-06,16344,-5.20,-0.30,
Romero,Enny,27,-8.70,P,B,x,,10.0,,1991-01-24,4001,-8.40,-0.30,
Buttrey,Ty,25,3.50,P,B,x,,16.1,,1993-03-31,14719,3.90,-0.40,
Almonte,Miguel,25,-1.70,P,B,,,,,1993-04-04,14139,-1.20,-0.50,
Robles,Hansel,28,2.70,P,B,x,,56.0,,1990-08-13,11801,3.10,-0.40,
Scahill,Rob,31,0.70,P,A,x,,5.0,,1987-02-15,9286,1.10,-0.40,
Hauschild,Mike,28,0.70,P,B,x,1,8.1,,1990-01-22,14033,1.10,-0.40,
Marinez,Jhan,30,-0.30,P,A,x,,8.0,,1988-08-12,5830,0.10,-0.40,
Bass,Anthony,31,-0.40,P,B,x,,15.1,,1987-11-01,7982,0.00,-0.40,
Robinson,Drew,26,-1.80,OF,B,,,,125,1992-04-20,11761,-4.30,2.60,
Magill,Matt,29,-1.00,P,B,x,,56.2,,1989-11-10,3950,-0.60,-0.40,
Coulombe,Daniel,29,-2.00,P,A,x,,23.2,,1989-10-26,13293,-1.60,-0.40,
Pelham,C.D.,23,-3.10,P,B,x,,7.2,,1995-02-21,19820,-2.70,-0.40,
Beck,Chris,28,-5.50,P,B,x,,34.0,,1990-09-04,13418,-5.10,-0.40,
Gerber,Mike,26,-1.90,OF,B,,,,47,1992-07-08,16115,-2.90,1.00,
Garcia,Yimi,28,-6.90,P,B,x,,22.1,,1990-08-18,12095,-6.50,-0.40,
Petricka,Jake,30,-7.90,P,B,x,,45.2,,1988-06-05,10534,-7.50,-0.40,
Pena,Felix,28,11.00,P,B,x,17,138.3,,1990-02-25,13403,11.50,-0.50,x
Gagnon,Drew,28,0.00,P,B,x,1,12.0,,1990-06-26,12545,0.50,-0.50,
O'Grady,Chris,28,-0.50,P,B,x,,7.0,,1990-04-17,13818,0.00,-0.50,
Anderson,Tanner,25,-0.80,P,B,x,,11.1,,1993-05-27,18029,-0.30,-0.50,
Melancon,Mark,33,-1.70,P,B,x,,39.0,,1985-03-28,4264,-1.20,-0.50,
Holmes,Clay,25,-2.50,P,B,x,4,26.1,,1993-03-27,13649,-2.00,-0.50,
Hamilton,Ian,23,1.50,P,B,x,,8.0,,1995-06-16,19261,2.10,-0.60,
Gomez,Jeanmar,30,0.40,P,B,x,,25.0,,1988-02-10,9033,1.00,-0.60,
Gott,Trevor,26,-0.60,P,B,x,,19.0,,1992-08-26,15046,0.00,-0.60,
Haley,Justin,27,-1.20,P,B,x,,7.2,,1991-06-16,13572,-0.60,-0.60,
Festa,Matthew,25,-1.70,P,B,x,1,8.1,,1993-03-11,19330,-1.10,-0.60,
Taylor,Ben,26,-2.00,P,B,,,,,1992-11-12,18114,-1.40,-0.60,
Beliveau,Jeff,31,-1.90,P,A,x,,4.2,,1987-01-17,8504,-1.30,-0.60,
Bautista,Gerson,23,-2.30,P,B,x,,4.1,,1995-05-31,19256,-1.70,-0.60,
Valdez,Jose,28,-2.10,P,B,,,,,1990-03-01,14470,-0.60,-1.50,
Kramer,Kevin,25,-2.20,IF-OF,B,,,,40,1993-10-03,17689,-3.40,1.10,
Medlen,Kris,33,-2.20,P,A,,1,,,1985-10-07,9417,-2.30,0.10,
Black,Ray,28,-3.00,P,B,x,,23.1,,1990-06-26,14244,-2.40,-0.60,
Baumann,Buddy,31,-3.80,P,A,x,,3.1,,1987-12-09,9309,-3.20,-0.60,
Tocci,Carlos,23,-2.30,OF,B,,,,135,1995-08-23,14558,-3.10,0.80,
Flexen,Chris,24,-4.00,P,B,x,1,6.1,,1994-07-01,13896,-3.40,-0.60,
Conlon,P.J.,25,-5.70,P,B,x,2,7.2,,1993-11-11,18213,-5.10,-0.60,
Carpenter,Ryan,28,-9.70,P,B,x,5,22.1,,1990-08-22,12699,-9.10,-0.60,
Makita,Kazuhisa,34,3.50,P,B,x,,35.0,,1984-11-10,19757,4.20,-0.70,
Young,Eric,33,-2.50,OF,A,,,,117,1985-05-25,7158,-2.60,0.10,
Danish,Tyler,24,0.30,P,B,x,,6.1,,1994-09-12,15126,1.00,-0.70,
Gallegos,Giovanny,27,1.00,P,B,x,,11.1,,1991-08-14,14986,1.80,-0.80,
Yacabonis,Jimmy,26,0.80,P,B,x,7,40.0,,1992-03-21,15157,1.60,-0.80,
Jerez,Williams,26,0.00,P,B,x,,15.0,,1992-05-16,14338,0.80,-0.80,
Ortega,Rafael,27,-2.60,OF,A,,,,143,1991-05-15,10323,-4.40,1.80,
Wahl,Bobby,26,-0.90,P,B,x,,5.1,,1992-03-21,14832,-0.10,-0.80,
Snelten,D.J.,26,-1.70,P,B,x,,4.1,,1992-05-29,15949,-0.90,-0.80,
Hutchison,Drew,28,-6.70,P,B,x,5,42.2,,1990-08-22,10732,-5.90,-0.80,
Busenitz,Alan,28,-9.40,P,A,x,,25.1,,1990-08-22,15239,-8.60,-0.80,
Field,Johnny,26,-2.90,OF,B,,,,233,1992-02-20,15048,-5.50,2.60,
Rodriguez,Jefry,25,4.40,P,B,x,8,52.0,,1993-07-26,17018,5.30,-0.90,
Barrett,Jake,27,-0.60,P,A,x,,7.0,,1991-07-22,13322,0.30,-0.90,
Bell,Chad,29,-2.90,P,,x,,7.1,,1989-02-28,10297,-2.00,-0.90,
De Jong,Chase,24,-3.00,P,B,,4,,,1993-12-29,15036,-3.80,0.80,
Mitchell,Bryan,27,-9.50,P,B,x,11,73.0,,1991-04-19,11479,-8.60,-0.90,
Fister,Doug,34,-3.10,P,B,,12,,,1984-02-04,9425,-4.40,1.30,
Wilkerson,Aaron,29,-2.70,P,B,x,1,9.0,,1989-05-24,16904,-1.70,-1.00,
Font,Wilmer,28,-5.50,P,B,x,5,44.0,,1990-05-24,5257,-4.50,-1.00,
Quackenbush,Kevin,30,-1.80,P,V,x,,9.0,,1988-11-28,12360,-0.70,-1.10,
Morris,Akeel,26,-3.60,P,B,x,,14.0,,1992-11-14,12185,-2.50,-1.10,
Vieira,Thyago,25,-1.80,P,B,x,,17.2,,1993-07-01,14510,-0.60,-1.20,
Duffey,Tyler,27,-2.50,P,B,x,1,25.0,,1990-12-27,13758,-1.30,-1.20,
Osich,Josh,30,-3.00,P,B,x,,12.0,,1988-09-03,11528,-1.80,-1.20,
Carroll,Cody,26,-3.90,P,B,x,,17.0,,1992-10-15,17664,-2.70,-1.20,
Rodriguez,Sean,33,-3.60,IF,V,,,,173,1985-04-26,6589,-6.60,3.00,
Reininger,Zac,25,-4.00,P,B,x,,21.1,,1993-01-28,15285,-2.80,-1.20,
Rondon,Bruce,28,-5.40,P,B,x,,29.2,,1990-12-09,5766,-4.20,-1.20,
Marrero,Deven,28,-3.80,IF,A,,,,85,1990-08-25,13325,-0.90,-2.90,
Hernandez,Elieser,23,0.40,P,B,x,6,65.2,,1995-05-03,16933,1.70,-1.30,
Hess,David,25,-3.10,P,B,x,19,154.6,,1993-07-10,16130,-1.80,-1.30,
Despaigne,Odrisamer,31,-3.30,P,B,x,5,39.0,,1987-04-04,16017,-2.00,-1.30,
Kennedy,Ian,33,-3.90,P,B,,22,,,1984-12-19,6986,-5.50,1.60,
Cuevas,William,28,-4.40,P,B,x,1,17.0,,1990-10-14,13331,-3.10,-1.30,
Hart,Donnie,28,-4.90,P,B,x,,19.1,,1990-09-06,15306,-3.60,-1.30,
Graves,Brett,25,-1.90,P,B,x,,33.1,,1993-01-30,16218,-0.50,-1.40,
Rogers,Josh,24,-4.00,P,B,,3,,,1994-07-10,18510,-4.20,0.20,
Flaherty,Ryan,32,-4.10,IF-OF,A,,,,182,1986-07-27,7888,-4.20,0.10,
Barbato,Johnny,26,-1.30,P,A,x,,6.2,,1992-07-11,11440,0.20,-1.50,
Nix,Jacob,22,-4.10,P,B,,9,,,1996-01-09,17775,-0.60,-3.50,
Davis,Austin,25,1.10,P,B,x,,34.2,,1993-02-03,17117,2.70,-1.60,
Peterson,Tim,27,-0.30,P,B,x,,27.2,,1991-02-22,13946,1.30,-1.60,
Swihart,Blake,26,-4.30,C,A,,,,207,1992-04-03,13176,3.50,-7.90,
Lopez,Raffy,31,-4.40,C,B,,,,117,1987-10-02,12606,-6.30,1.90,
Rainey,Tanner,25,-3.30,P,B,x,,7.0,,1992-12-25,17610,-1.70,-1.60,
Hughes,Phil,32,-8.90,P,B,x,2,32.2,,1986-06-24,7450,-7.30,-1.60,
Dixon,Brandon,26,-4.50,IF-OF,B,,,,124,1992-01-29,15214,-2.40,-2.10,
Almonte,Abraham,29,-4.70,OF,A,,,,151,1989-06-27,5486,-1.40,-3.30,
Perez,Carlos,28,-4.80,C,A,,,,75,1990-10-27,10642,-3.30,-1.50,
Cuevas,Noel,27,-4.80,OF,B,,,,153,1991-10-02,11894,-0.60,-4.20,
Guilmet,Preston,31,-10.10,P,B,x,,10.0,,1987-07-27,7303,-8.50,-1.60,
Peralta,Freddy,22,13.40,P,B,x,14,117.1,,1996-06-04,18679,15.10,-1.70,x
Hale,David,31,0.10,P,B,x,,13.2,,1987-09-27,9756,1.80,-1.70,
Logan,Boone,34,-0.30,P,B,x,,10.2,,1984-08-13,5525,1.40,-1.70,
Sadler,Casey,28,-1.50,P,B,x,,4.1,,1990-07-13,11209,0.20,-1.70,
Anderson,Brett,30,-5.20,P,B,,17,,,1988-02-01,8223,-6.00,0.80,
Belisle,Matt,38,-7.60,P,B,x,,34.1,,1980-06-06,1837,-5.90,-1.70,
Salas,Fernando,33,6.00,P,B,x,,40.0,,1985-05-30,4971,7.80,-1.80,
Butera,Drew,35,-5.40,C,A,,,,182,1983-08-09,3411,-5.70,0.20,
Brice,Austin,26,-0.40,P,B,x,,37.1,,1992-06-19,17237,1.40,-1.80,
Tomlinson,Kelby,28,-5.50,IF,A,,,,152,1990-06-16,13005,-2.50,-3.00,
Lewicki,Artie,26,-1.70,P,B,x,3,38.2,,1992-04-08,16731,0.10,-1.80,
Gomez,Roberto,29,-3.80,P,B,x,,9.1,,1989-08-03,12963,-2.00,-1.80,
Hall,Matt,25,-5.50,P,B,,,,,1993-07-23,18076,-4.50,-1.00,
Cloyd,Tyler,31,-4.40,P,B,x,,17.2,,1987-05-16,8536,-2.60,-1.80,
Herrera,Rosell,26,-5.70,OF,A,,,,302,1992-10-16,11611,0.20,-5.80,
Drake,Oliver,31,1.90,P,B,x,,47.2,,1987-01-13,8823,3.80,-1.90,
Meisinger,Ryan,24,-0.40,P,B,x,1,21.0,,1994-05-04,18105,1.50,-1.90,
Turner,Jacob,27,-6.60,P,A,x,1,6.2,,1991-05-21,10185,-4.70,-1.90,
Rua,Ryan,28,-5.80,IF-OF,A,,,,147,1990-03-11,12409,-6.10,0.20,
Martinez,Victor,39,-5.80,IF-OF,V,,,,508,1978-12-23,393,-5.00,-0.80,
Santiago,Hector,31,-0.90,P,B,x,7,153.0,,1987-12-16,4026,1.10,-2.00,
Meyer,Ben,25,-1.90,P,B,x,,19.0,,1993-01-30,18854,0.10,-2.00,
Kennedy,Brett,24,-6.20,P,B,,6,,,1994-08-04,17877,-6.30,0.10,
Rodriguez,Ronny,26,-6.30,IF-OF,B,,,,206,1992-04-17,11875,-8.00,1.70,
Barnes,Danny,29,-3.70,P,B,x,,41.0,,1989-10-21,11388,-1.60,-2.10,
Cimber,Adam,28,7.30,P,B,x,,68.1,,1990-08-15,15288,9.50,-2.20,
Wilson,Bobby,35,-6.70,C,A,,,,151,1983-04-08,6564,-6.00,-0.70,
Nido,Tomas,24,-6.70,C,B,,,,90,1994-04-12,13755,-7.80,1.10,
Ramirez,Yefry,25,2.80,P,B,x,12,65.1,,1993-11-28,15655,5.10,-2.30,x
Kelly,Casey,29,0.80,P,B,x,3,23.2,,1989-10-04,9174,3.40,-2.60,
Holaday,Bryan,31,-7.00,C,A,,,,166,1987-11-19,11287,-2.40,-4.60,
Shuck,J.B.,31,-7.20,OF,A,,,,142,1987-06-18,6677,-7.30,0.00,
Riddle,J.T.,27,-7.30,IF,A,,,,332,1991-10-12,17642,-0.40,-6.90,
Saupold,Warwick,28,-0.10,P,B,x,,34.1,,1990-01-16,13211,2.50,-2.60,
Oaks,Trevor,25,-1.90,P,B,x,2,13.2,,1993-03-26,16468,0.70,-2.60,
Murphy,John,27,-7.80,C,A,,,,223,1991-05-13,10346,-7.00,-0.90,
Mathis,Jeff,35,-7.80,C,V,,,,218,1983-03-31,3448,-7.70,-0.10,
Guerrero,Tayron,27,1.60,P,B,x,,58.0,,1991-01-09,11691,4.30,-2.70,
Rivera,Yadiel,26,-8.30,IF-OF,B,,,,160,1992-05-02,11863,-8.50,0.20,
Solis,Sammy,30,-1.50,P,B,x,,39.1,,1988-08-10,11457,1.20,-2.70,
Bibens-Dirkx,Austin,33,-5.70,P,B,x,6,45.0,,1985-04-29,9559,-2.90,-2.80,
Rios,Yacksel,25,-2.20,P,B,x,,36.0,,1993-06-27,15007,0.80,-3.00,
Tillman,Chris,30,-8.90,P,B,,7,,,1988-04-15,5279,-5.70,-3.20,
Rhame,Jacob,25,-2.80,P,B,x,,32.1,,1993-03-16,15267,0.20,-3.00,
Williams,Taylor,27,5.80,P,B,x,,53.0,,1991-07-21,14899,8.90,-3.10,
Lockett,Walker,24,-2.00,P,B,x,3,15.0,,1994-05-03,13804,1.10,-3.10,
Maurer,Brandon,28,-9.50,P,B,x,,31.1,,1990-07-03,4878,-6.40,-3.10,
Santos,Luis,27,-9.00,P,B,x,1,20.0,,1991-02-11,15006,-5.70,-3.30,
Neverauskas,Dovydas,25,-1.20,P,B,x,,27.0,,1993-01-14,11604,2.50,-3.70,
Reyes,Victor,24,-9.90,IF-OF,B,,,,219,1994-10-05,15487,-9.00,-0.90,
Reyes,Jose,35,-10.00,IF,V,,,,251,1983-06-11,1736,-8.20,-1.80,
Smith,Burch,28,-7.30,P,B,x,6,117.0,,1990-04-12,12784,-3.50,-3.80,
Hatcher,Chris,33,-0.40,P,B,x,,36.1,,1985-01-12,3299,3.60,-4.00,
Biagini,Joe,28,-12.10,P,B,x,4,72.0,,1990-05-29,13194,-7.90,-4.20,
Volstad,Chris,32,-8.90,P,B,x,1,47.1,,1986-09-23,9901,-4.60,-4.30,
Romano,Sal,25,4.60,P,B,x,25,217.8,,1993-10-12,13690,9.70,-5.10,x
Suarez,Andrew,26,-12.20,P,B,,29,,,1992-09-11,18300,-18.90,6.70,
Otero,Dan,33,-4.90,P,B,x,,58.2,,1985-02-19,7385,0.60,-5.50,
Davis,Chris,32,-28.80,IF,V,,,,522,1986-03-17,9272,-18.80,-10.00,
