team,last,first,name,C,1B,2B,3B,SS,LF,CF,RF
MIL,Pina,Manny,Manny Pina,2,5,,,,,,
SDP,Margot,Manuel,Manuel Margot,,,,,,,2,
STL,Ozuna,Marcell,Marcell Ozuna,,,,,,3,,
OAK,Semien,Marcus,Marcus Semien,,,,,3,,,
OAK,Canha,Mark,Mark Canha,,4,,,,3,4(B3),4(B3)
WAS,Reynolds,Mark,Mark Reynolds,,4,5,4(B5),,,,
BAL,Trumbo,Mark,Mark Trumbo,,5,,,,,,5
CHC,Zagunis,Mark,Mark Zagunis,,,,,,,,4
HOU,Maldonado,Martin,Martin Maldonado,1,,,,,,,
MIA,Prado,Martin,Martin Prado,,3,,3(B2),,,,
HOU,Gonzalez,Marwin,Marwin Gonzalez,,2,3,3,3,3,,4(B3)
CIN,Williams,Mason,Mason Williams,,,,,,2,3,2
STL,Adams,Matt,Matt Adams,,4,,,,5,,5
STL,Carpenter,Matt,Matt Carpenter,,3,4,4,,,,
OAK,Chapman,Matt,Matt Chapman,,,,1(B2),,,,
CHA,Davidson,Matt,Matt Davidson,,4,,4,,,,
NYM,den Dekker,Matt,Matt den Dekker,,,,,,,2,
TBY,Duffy,Matt,Matt Duffy,,,,3,4,,,
COL,Holliday,Matt,Matt Holliday,,5,,,,5,,
OAK,Joyce,Matt,Matt Joyce,,,,,,4(B3),4,4(B3)
LAD,Kemp,Matt,Matt Kemp,,,,,,4(B3),,4(B3)
OAK,Olson,Matt,Matt Olson,,1(B2),,,,,,
WAS,Reynolds,Matt,Matt Reynolds,,,,3,,,,
CHA,Skole,Matt,Matt Skole,,4,,,,,,
SDP,Szczur,Matt,Matt Szczur,,,,,,2,3,2
WAS,Wieters,Matt,Matt Wieters,3,,,,,,,
MIN,Kepler,Max,Max Kepler,,,,,,,2,2
PIT,Moroff,Max,Max Moroff,,,3,,3,,,
LAD,Muncy,Max,Max Muncy,,4,4,4(B5),,5,,
HOU,Stassi,Max,Max Stassi,3,,,,,,,
KCR,Viloria,Meibrys,Meibrys Viloria,4,,,,,,,
CLE,Cabrera,Melky,Melky Cabrera,,,,,,5(B4),,5(B4)
CLE,Brantley,Michael,Michael Brantley,,,,,,3(B2),,
NYM,Conforto,Michael,Michael Conforto,,,,,,3,4(B3),4(B3)
LAA,Hermosillo,Michael,Michael Hermosillo,,,,,,3,4,3
TBY,Perez,Michael,Michael Perez,3,,,,,,,
ATL,Reed,Michael,Michael Reed,,,,,,4,,
WAS,Taylor,Michael,Michael Taylor,,,,,,,1,
NYY,Andujar,Miguel,Miguel Andujar,,,,4,,,,
DET,Cabrera,Miguel,Miguel Cabrera,,4,,,,,,
SFG,Gomez,Miguel,Miguel Gomez,,,4,,,,,
WAS,Montero,Miguel,Miguel Montero,4,,,,,,,
MIA,Rojas,Miguel,Miguel Rojas,,3,3,3(B2),3(B2),,,
MIN,Sano,Miguel,Miguel Sano,,5,,4,,,,
DET,Gerber,Mike,Mike Gerber,,,,,,3,4,4
SEA,Marjama,Mike,Mike Marjama,4,,,,,,,
KCR,Moustakas,Mike,Mike Moustakas,,4,,3,,,,
MIL,Moustakas,Mike,Mike Moustakas,,,,3,,,,
COL,Tauchman,Mike,Mike Tauchman,,,,,,3,4,
LAA,Trout,Mike,Mike Trout,,,,,,,1,
SEA,Zunino,Mike,Mike Zunino,1,,,,,,,
DET,Mahtook,Mikie,Mikie Mahtook,,,,,,2,3,3
MIN,Garver,Mitch,Mitch Garver,4,4,,,,,,
SEA,Haniger,Mitch,Mitch Haniger,,,,,,3,4,3
BOS,Moreland,Mitch,Mitch Moreland,,2,,,,,,
PHI,Walding,Mitch,Mitch Walding,,,,4,,,,
WAS,Sierra,Moises,Moises Sierra,,,,,,4,,4
BOS,Betts,Mookie,Mookie Betts,,,4,,,,2,1
HOU,Straw,Myles,Myles Straw,,,,,,3,3,3
MIL,Orf,Nate,Nate Orf,,,4,4,4,,,5
NYY,Walker,Neil,Neil Walker,,4(B3),3,4,,5,,4
SEA,Cruz,Nelson,Nelson Cruz,,,,,,,,5
DET,Castellanos,Nicholas,Nick Castellanos,,,,,,,,5(B4)
ARI,Ahmed,Nick,Nick Ahmed,,,,,1,,,
TBY,Ciuffo,Nick,Nick Ciuffo,3,,,,,,,
MIL,Franklin,Nick,Nick Franklin,,,4,,,,,
SFG,Hundley,Nick,Nick Hundley,3,,,,,,,
ATL,Markakis,Nick,Nick Markakis,,,,,,3(B2),,2
OAK,Martini,Nick,Nick Martini,,,,,,3,4,4
PHI,Williams,Nick,Nick Williams,,,,,,4,,4
CHA,Delmonico,Nick,Nick Delmonico,,4,,,,4,,
DET,Goodrum,Niko,Niko Goodrum,,3(B4),3(B4),4,4,3,,4
COL,Cuevas,Noel,Noel Cuevas,,,,,,4,4,4
COL,Arenado,Nolan,Nolan Arenado,,,,1,,,,
LAA,Fontana,Nolan,Nolan Fontana,,,3,3,3,,,
TEX,Mazara,Nomar,Nomar Mazara,,,,,,4(B3),,4(B3)
PHI,Herrera,Odubel,Odubel Herrera,,,,,,4,4(B3),4(B3)
CHA,Narvaez,Omar,Omar Narvaez,4,,,,,,,
MIL,Arcia,Orlando,Orlando Arcia,,,,,1(B2),,,
ATL,Albies,Ozzie,Ozzie Albies,,,2,,,,,
PIT,Reyes,Pablo,Pablo Reyes,,,4,4,,4,,4
SFG,Sandoval,Pablo,Pablo Sandoval,,3(B4),5,4(B3),,,,
COL,Valaika,Pat,Pat Valaika,,4,4,4,4,,,
ARI,Kivlehan,Patrick,Patrick Kivlehan,,,,,,4,,
STL,Wisdom,Patrick,Patrick Wisdom,,4,,3,,,,
STL,DeJong,Paul,Paul DeJong,,,,,3,,,
ARI,Goldschmidt,Paul,Paul Goldschmidt,,1,,,,,,
KCR,Orlando,Paulo,Paulo Orlando,,,,,,2,2,2
BAL,Alvarez,Pedro,Pedro Alvarez,,5,,5,,,,
PHI,Florimon,Pedro,Pedro Florimon,,,3,4,3,,4,4
WAS,Severino,Pedro,Pedro Severino,2,,,,,,,
DET,Kozma,Pete,Pete Kozma,,,3,3,3,,,
ATL,Bourjos,Peter,Peter Bourjos,,,,,,1,2,2
MIA,O'Brien,Peter,Peter O'Brien,,4,,,,,,5
CIN,Gosselin,Phil,Phil Gosselin,,4,3,4,,4,,
CIN,Ervin,Phillip,Phillip Ervin,,,,,,3,4,3
NYM,Evans,Phillip,Phillip Evans,,4,4,4,,4,,
ATL,Tucker,Preston,Preston Tucker,,,,,,4,,4
WAS,Bautista,Rafael,Rafael Bautista,,,,,,2,3,
BOS,Devers,Rafael,Rafael Devers,,,,4,,,,
MIA,Ortega,Rafael,Rafael Ortega,,,,,,3,,3
SDP,Lopez,Raffy,Raffy Lopez,3,5,,5,,,,
COL,Tapia,Raimel,Raimel Tapia,,,,,,,4,
CLE,Davis,Rajai,Rajai Davis,,,,,,2,3(B2),3(B2)
OAK,Laureano,Ramon,Ramon Laureano,,,,,,,2,
KCR,Torres,Ramon,Ramon Torres,,,3,3,,,,
TOR,Grichuk,Randal,Randal Grichuk,,,,,,3(B2),3(B2),2
TOR,McGuire,Reese,Reese McGuire,3,,,,,,,
BAL,Nunez,Renato,Renato Nunez,,,,4,,5,,
LAA,Rivera,Rene,Rene Rivera,3,5,,,,,,
ATL,Rivera,Rene,Rene Rivera,3,,,,,,,
PHI,Hoskins,Rhys,Rhys Hoskins,,4,,,,5(B4),,
TOR,Urena,Richard,Richard Urena,,,3,4,4,,,
ATL,Ruiz,Rio,Rio Ruiz,,,,4,,,,
TBY,Refsnyder,Rob,Rob Refsnyder,,5,,,,4,,4
MIN,Grossman,Robbie,Robbie Grossman,,,,,,4,,4
CLE,Perez,Roberto,Roberto Perez,1,,,,,,,
SEA,Cano,Robinson,Robinson Cano,,5,3(B2),5,,,,
TEX,Chirinos,Robinson,Robinson Chirinos,3,,,,,,,
LAD,Gale,Rocky,Rocky Gale,3,,,,,,,
PHI,Quinn,Roman,Roman Quinn,,,,,5,2,2,2
ATL,Acuna,Ronald,Ronald Acuna,,,,,,2,3,3
TEX,Guzman,Ronald,Ronald Guzman,,2,,,,,,
NYY,Torreyes,Ronald,Ronald Torreyes,,,2,2,3,,,
DET,Rodriguez,Ronny,Ronny Rodriguez,,4,4,4,3,,,5
KCR,Herrera,Rosell,Rosell Herrera,,,3,4,,,3(B2),3(B2)
CIN,Herrera,Rosell,Rosell Herrera,,,3,,,4,,
TEX,Odor,Rougned,Rougned Odor,,,3,,,,,
TOR,Tellez,Rowdy,Rowdy Tellez,,4,,,,,,
TOR,Martin,Russell,Russell Martin,2,,,4,5,4,,
MIL,Braun,Ryan,Ryan Braun,,4,,,,3,,4(B3)
CHA,Cordell,Ryan,Ryan Cordell,,,,,,,4,3
ATL,Flaherty,Ryan,Ryan Flaherty,,4,4,3,,,,
KCR,Goins,Ryan,Ryan Goins,,,2,3,3,,,
CHA,LaMarre,Ryan,Ryan LaMarre,,,,,,3,3,3
PIT,Lavarnway,Ryan,Ryan Lavarnway,,,,,,,,
COL,McMahon,Ryan,Ryan McMahon,,4,4,4,,,,
KCR,O'Hearn,Ryan,Ryan O'Hearn,,4,,,,5,,
TEX,Rua,Ryan,Ryan Rua,,3,,,,3,4,3
LAA,Schimpf,Ryan,Ryan Schimpf,,,4,4,,5,,5
WAS,Zimmerman,Ryan,Ryan Zimmerman,,3,,,,,,
SFG,Jones,Ryder,Ryder Jones,,3,,3,,,,
SEA,Healy,Ryon,Ryon Healy,,4,,4,,,,
KCR,Perez,Salvador,Salvador Perez,1,4,,,,,,
BOS,Travis,Sam,Sam Travis,,3,,,,4,,
BOS,Leon,Sandy,Sandy Leon,1,,,,,,,
CIN,Gennett,Scooter,Scooter Gennett,,,4,,,,,
PHI,Kingery,Scott,Scott Kingery,,,3,3,3,4,,4
CIN,Schebler,Scott,Scott Schebler,,,,,,3,4,3
PIT,Rodriguez,Sean,Sean Rodriguez,,4,3,4,4,3,4,3
NYY,Robinson,Shane,Shane Robinson,,,,,,3,3,3
LAA,Johnson,Sherman,Sherman Johnson,,4,4,,,,,
TEX,Choo,Shin-Soo,Shin-Soo Choo,,,,,,4,,4
LAA,Ohtani,Shohei,Shohei Ohtani,,,,,,,,
ARI,Brito,Socrates,Socrates Brito,,,,,,2,,3
WAS,Kieboom,Spencer,Spencer Kieboom,3,4,,5,,,,
MIA,Castro,Starlin,Starlin Castro,,,3,,,,,
PIT,Marte,Starling,Starling Marte,,,,,,,2,
OAK,Piscotty,Stephen,Stephen Piscotty,,,,,,,,3
BOS,Pearce,Steve,Steve Pearce,,3,,,,4,,4
BAL,Wilkerson,Steve,Steve Wilkerson,,,3,3,4,,,
STL,Baron,Steven,Steven Baron,4,,,,,,,
SFG,Duggar,Steven,Steven Duggar,,,,,,,2,
ARI,Souza Jr,Steven,Steven Souza,,,,,,,,2(B3)
CHC,Davis,Taylor,Taylor Davis,4,4,,,,,,
MIN,Motter,Taylor,Taylor Motter,,4,3,3,3,4,,4
LAA,Ward,Taylor,Taylor Ward,,,,4,,,,
TOR,Hernandez,Teoscar,Teoscar Hernandez,,,,,,5,,5
CHC,Gore,Terrance,Terrance Gore,,,,,,4,,
CHA,Anderson,Tim,Tim Anderson,,,,,3,,,
BAL,Beckham,Tim,Tim Beckham,,,4,4,3,,,
HOU,Federowicz,Tim,Tim Federowicz,4,,,,,,,
CIN,Federowicz,Tim,Tim Federowicz,4,,,,,,,
LAD,Locastro,Tim,Tim Locastro,,,,,,,4,
NYM,Frazier,Todd,Todd Frazier,,,,3,,,,
COL,Murphy,Tom,Tom Murphy,4,,,,,,,
NYM,Nido,Tomas,Tomas Nido,3,,,,,,,
MIA,Telis,Tomas,Tomas Telis,4,5,,,,,,
CHC,La Stella,Tommy,Tommy La Stella,,,4,4(B5),,,,
TBY,Pham,Tommy,Tommy Pham,,,,,,3,4,
STL,Pham,Tommy,Tommy Pham,,,,,,,4,
CIN,Cruz,Tony,Tony Cruz,4,,,,,,,
HOU,Kemp,Tony,Tony Kemp,,,4,,,4(B3),4,4
COL,Wolters,Tony,Tony Wolters,2,,4,4,,4,,
NYM,d'Arnaud,Travis,Travis d'Arnaud,4,,,,,,,
SDP,Jankowski,Travis,Travis Jankowski,,,,,,2,2,2
MIL,Shaw,Travis,Travis Shaw,,3,4(B3),2,,,,
CHA,Thompson,Trayce,Trayce Thompson,,,,,,2,3,2
WAS,Turner,Trea,Trea Turner,,,,,2,,,
PHI,Plouffe,Trevor,Trevor Plouffe,,,5,4,,,,5
COL,Story,Trevor,Trevor Story,,,,,1,,,
BAL,Mancini,Trey,Trey Mancini,,4,,,,4(B3),,
CIN,Barnhart,Tucker,Tucker Barnhart,1,4,,,,,,
NYM,Kelly,Ty,Ty Kelly,,,4,4,,4,,
MIN,Austin,Tyler,Tyler Austin,,4(B3),,,,,,
ATL,Flowers,Tyler,Tyler Flowers,3,,,,,,,
CLE,Naquin,Tyler,Tyler Naquin,,,,,,4,4(B3),4(B3)
STL,O'Neill,Tyler,Tyler O'Neill,,,,,,3,4,3
CHA,Saladino,Tyler,Tyler Saladino,,,,3,,,,
MIL,Saladino,Tyler,Tyler Saladino,,,3,3,3,,,
NYY,Wade,Tyler,Tyler Wade,,,3,3,3,4,,4
HOU,White,Tyler,Tyler White,,4(B3),,,,,,
BOS,Lin,Tzu-Wei,Tzu-Wei Lin,,,3,3,3,,4,
CHC,Caratini,Victor,Victor Caratini,4,4,,5,,,,
DET,Martinez,Victor,Victor Martinez,,5,,,,,,
DET,Reyes,Victor,Victor Reyes,,,,,,3(B2),3,3(B2)
WAS,Robles,Victor,Victor Robles,,,,,,2,2,2
CHA,Castillo,Welington,Welington Castillo,3,,,,,,,
KCR,Merrifield,Whit,Whit Merrifield,,3,2,,,3,3,3
SDP,Myers,Wil,Wil Myers,,3,,5,,2,,3(B2)
MIN,Astudillo,Willians,Willians Astudillo,3,,5,4,,5,,
TEX,Calhoun,Willie,Willie Calhoun,,,,,,5,,
CHC,Contreras,Willson,Willson Contreras,3(B2),4,,,,4,,
TBY,Adames,Willy,Willy Adames,,,3,,3,,,
WAS,Difo,Wilmer,Wilmer Difo,,,3(B2),3,3,,5,
NYM,Flores,Wilmer,Wilmer Flores,,4,4,4(B5),,,,
TBY,Ramos,Wilson,Wilson Ramos,3,,,,,,,
PHI,Ramos,Wilson,Wilson Ramos,3,,,,,,,
BOS,Bogaerts,Xander,Xander Bogaerts,,,,,3,,,
MIA,Rivera,Yadiel,Yadiel Rivera,,4,3,3,3,4,4,
STL,Molina,Yadier,Yadier Molina,1,4,,,,,,
STL,Munoz,Yairo,Yairo Munoz,,,3,3,4,4,4,4
CLE,Gomes,Yan,Yan Gomes,2,,,,,,,
CLE,Diaz,Yandy,Yandy Diaz,,4,,4,,,,
TOR,Solarte,Yangervis,Yangervis Solarte,,4,4,4(B3),4,,,
LAD,Puig,Yasiel,Yasiel Puig,,,,,,,,2
LAD,Grandal,Yasmani,Yasmani Grandal,3,4,,,,,,
CHA,Moncada,Yoan,Yoan Moncada,,,4,,,,,
NYM,Cespedes,Yoenis,Yoenis Cespedes,,,,,,3,,
CHA,Sanchez,Yolmer,Yolmer Sanchez,,,3,2,4,,,
CLE,Alonso,Yonder,Yonder Alonso,,3,,,,,,
HOU,Gurriel,Yuli,Yuli Gurriel,,3,4,4,4,,,
SEA,Vincej,Zach,Zach Vincej,,,,4,,,,
LAA,Cozart,Zack,Zack Cozart,,,3,3,3,,,
