LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF,,,,,,,,,,,,
AL,LA,Taylor,Ward,REG,B,,4,,,,3,,3,,,,,,,,,,,,
AL,LA,Heaney,Andrew,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Bedrosian,Cam,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Peters,Dillon,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Bundy,Dylan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Pena,Felix,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Canning,Griffin,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Robles,Hansel,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Milner,Hoby,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Barnes,Jacob,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Barria,Jaime,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Quijada,Jose,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Rodriguez-2,Jose,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Suarez,Jose,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Teheran,Julio,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Middleton,Keynan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Keller,Kyle,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Bard,Luke,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Andriese,Matt,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Mayers,Mike,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Ramirez-2,Noe,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Sandoval,Patrick,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Buchter,Ryan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Ohtani,Shohei,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Buttrey,Ty,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Ehire,Adrianza,REG,B,,,4,3,3,,,,,,,,,,,,,,,
AL,MT,Luis,Arraez,REG,B,,,4(B3),,,,,,,,,,,,,,,,,
AL,MT,Willians,Astudillo,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,MT,Alex,Avila,ADD,B,3,,,,,,,,,,,,,,,,,,,
AL,MT,Travis,Blankenhorn,COMP,B,,,4,,,,,,,,,,,,,,,,,
AL,MT,Byron,Buxton,REG,B,,,,,,,1,,,,,,,,,,,,,
AL,MT,Jake,Cave,REG,B,,,,,,3,3,3,,,,,,,,,,,,
AL,MT,Nelson,Cruz,REG,B,,,,,,,,,,,,,,,,,,,,
AL,MT,Josh,Donaldson,REG,B,,,,2,,,,,,,,,,,,,,,,
AL,MT,Mitch,Garver,REG,B,4,4,,,,,,,,,,,,,,,,,,
AL,MT,Marwin,Gonzalez,REG,B,,3,3,4,,,,3,,,,,,,,,,,,
AL,MT,Ryan,Jeffers,REG,B,3,,,,,,,,,,,,,,,,,,,
AL,MT,Max,Kepler,REG,B,,,,,,,3,1,,,,,,,,,,,,
AL,MT,Jorge,Polanco,REG,B,,,,,3(B2),,,,,,,,,,,,,,,
AL,MT,Brent,Rooker,ADD,B,,,,,,5,,5,,,,,,,,,,,,
AL,MT,Eddie,Rosario,REG,B,,,,,,4(B3),,,,,,,,,,,,,,
AL,MT,Miguel,Sano,REG,B,,4,,,,,,,,,,,,,,,,,,
AL,MT,Ildemaro,Vargas-1,ADD,B,,,3,3,,,,,,,,,,,,,,,,
AL,MT,LaMonte,Wade,ADD,B,,4,,,,3,4,4,,,,,,,,,,,,
AL,MT,Aaron,Whitefield,COMP,B,,,,,,,3,,,,,,,,,,,,,
AL,MT,Thielbar,Caleb,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Stashak,Cody,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Gearrin,Cory,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Coulombe,Danny,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Smeltzer,Devin,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Colina,Edwar,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Bailey,Homer,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Odorizzi,Jake,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Alcala,Jorge,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Berrios,Jose,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Maeda,Kenta,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Thorpe,Lewis,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Wisler,Matt,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Pineda,Michael,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Dobnak,Randy,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Hill,Rich,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Poppen,Sean,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Romo,Sergio,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Rogers-1,Taylor,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,May,Trevor,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Clippard,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Duffey,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
AL,MT,Littell,Zack,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Miguel,Andujar,MIX,B,,,,4(B5),,5,,,,,,,,,,,,,,
AL,NY,Thairo,Estrada,MIX,B,,,3,4,4,,,,,,,,,,,,,,,
AL,NY,Estevan,Florial,COMP,B,,,,,,,3,,,,,,,,,,,,,
AL,NY,Mike,Ford,MIX,B,,4,,,,,,,,,,,,,,,,,,
AL,NY,Clint,Frazier,REG,B,,,,,,4,,4,,,,,,,,,,,,
AL,NY,Brett,Gardner,REG,B,,,,,,2(B3),3,,,,,,,,,,,,,
AL,NY,Aaron,Hicks,REG,B,,,,,,,2,,,,,,,,,,,,,
AL,NY,Kyle,Higashioka,REG,B,2,,,,,,,,,,,,,,,,,,,
AL,NY,Aaron,Judge,REG,B,,,,,,,,1,,,,,,,,,,,,
AL,NY,Erik,Kratz,ADD,B,3,4,,,,,,,,,,,,,,,,,,
AL,NY,DJ,LeMahieu,REG,B,,2,1(B2),2,,,,,,,,,,,,,,,,
AL,NY,Jordy,Mercer,ADD,B,,4,,4,4,,,,,,,,,,,,,,,
AL,NY,Gary,Sanchez,REG,B,4(B3),,,,,,,,,,,,,,,,,,,
AL,NY,Giancarlo,Stanton,REG,B,,,,,,,,,,,,,,,,,,,,
AL,NY,Mike,Tauchman,REG,B,,,,,,2,3,2,,,,,,,,,,,,
AL,NY,Gleyber,Torres,REG,B,,,,,4,,,,,,,,,,,,,,,
AL,NY,Gio,Urshela,REG,B,,,,1,,,,,,,,,,,,,,,,
AL,NY,Luke,Voit,REG,B,,4,,,,,,,,,,,,,,,,,,
AL,NY,Tyler,Wade,REG,B,,,2,,3,,,,,,,,,,,,,,,
AL,NY,Ottavino,Adam,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Abreu,Albert,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Chapman,Aroldis,MIX,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Heller,Ben,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Kriske,Brooks,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Green,Chad,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Schmidt,Clarke,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Hale-1,David,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Garcia,Deivi,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Cole,Gerrit,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Happ,J.A.,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Paxton,James,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Holder,Jonathan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Loaisiga,Jonathan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Montgomery,Jordan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Avilan,Luis,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Cessa,Luis,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Tanaka,Masahiro,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,King,Michael,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Yajure,Miguel,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Nelson,Nick,REG,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Kahnle,Tommy,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Lyons,Tyler,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,NY,Britton,Zack,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Austin,Allen,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,OA,Seth,Brown,COMP,B,,4,,,,,,,,,,,,,,,,,,
AL,OA,Mark,Canha,REG,B,,4,,,,3,3,3,,,,,,,,,,,,
AL,OA,Matt,Chapman,REG,B,,,,1(B2),3,,,,,,,,,,,,,,,
AL,OA,Khris,Davis,REG,B,,,,,,,,,,,,,,,,,,,,
AL,OA,Robbie,Grossman,REG,B,,,,,,3(B2),4,3(B2),,,,,,,,,,,,
AL,OA,Jonah,Heim,REG,B,3,,,,,,,,,,,,,,,,,,,
AL,OA,Tony,Kemp,REG,B,,,3,,,3,,,,,,,,,,,,,,
AL,OA,Tommy,La Stella,REG,B,,4,4,4,,,,,,,,,,,,,,,,
AL,OA,Jake,Lamb-2,REG,B,,,,4,,,,,,,,,,,,,,,,
AL,OA,Ramon,Laureano,REG,B,,,,,,,2(B1),,,,,,,,,,,,,
AL,OA,Vimael,Machin,ADD,B,,4,4,3,4,,,,,,,,,,,,,,,
AL,OA,Sean,Murphy,REG,B,2,,,,,,,,,,,,,,,,,,,
AL,OA,Matt,Olson,REG,B,,1,,,,,,,,,,,,,,,,,,
AL,OA,Nate,Orf,COMP,B,,,4,,4,,,,,,,,,,,,,,,
AL,OA,Chad,Pinder,REG,B,,,3,3,,3,,,,,,,,,,,,,,
AL,OA,Stephen,Piscotty,REG,B,,,,,,,,3,,,,,,,,,,,,
AL,OA,Marcus,Semien,REG,B,,,,,3,,,,,,,,,,,,,,,
AL,OA,Smith,Burch,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Bassitt,Chris,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Mengden,Daniel,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Jefferies,Daulton,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Montas,Frankie,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Wendelken,J.B.,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Diekman,Jake,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Kaprielian,James,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Luzardo,Jesus,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Soria,Joakim,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Weems,Jordan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Hendriks,Liam,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Trivino,Lou,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Fiers,Mike,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Minor,Mike,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Blackburn,Paul,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Manaea,Sean,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,McFarland,T.J.,REG,P,,,,,,,,,,,,,,,,,,,,
AL,OA,Petit,Yusmeiro,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Braden,Bishop,ADD,B,,,,,,2,2,2,,,,,,,,,,,,
AL,SM,J.P.,Crawford,REG,B,,,,,1,,,,,,,,,,,,,,,
AL,SM,Phillip,Ervin-2,REG,B,,,,,,,,3,,,,,,,,,,,,
AL,SM,Jake,Fraley,ADD,B,,,,,,3,,3,,,,,,,,,,,,
AL,SM,Ty,France-2,REG,B,,,4,4,,,,,,,,,,,,,,,,
AL,SM,Sam,Haggerty,REG,B,,,,4,,3,,3,,,,,,,,,,,,
AL,SM,Joe,Hudson,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,SM,Kyle,Lewis,REG,B,,,,,,,3,,,,,,,,,,,,,
AL,SM,Shed,Long,REG,B,,,4,,,5,,,,,,,,,,,,,,
AL,SM,Tim,Lopes,REG,B,,,,4,,5,,5,,,,,,,,,,,,
AL,SM,Jose,Marmolejos,REG,B,,4,,,,4,,4,,,,,,,,,,,,
AL,SM,Dylan,Moore,REG,B,,4,3,4,4,3,4,3,,,,,,,,,,,,
AL,SM,Austin,Nola-1,MIX,B,3,3,,4,,,,,,,,,,,,,,,,
AL,SM,Joseph,Odom,REG,B,4,,,,,,,,,,,,,,,,,,,
AL,SM,Kyle,Seager,REG,B,,,,2,,,,,,,,,,,,,,,,
AL,SM,Mallex,Smith,ADD,B,,,,,,,4,4,,,,,,,,,,,,
AL,SM,Dee,Strange-Gordon,REG,B,,,2,,3,4,,,,,,,,,,,,,,
AL,SM,Luis,Torrens-2,REG,B,4,,,,,,,,,,,,,,,,,,,
AL,SM,Donovan,Walton,COMP,B,,,3,,4,,,,,,,,,,,,,,,
AL,SM,Evan,White-2,REG,B,,1,,,,,,,,,,,,,,,,,,
AL,SM,Fletcher,Aaron,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Misiewicz,Anthony,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Lail,Brady,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Brennan,Brandon,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Shaw,Bryan,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Edwards Jr.,Carl,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Sadler-2,Casey,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Altavilla-1,Dan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Swanson,Erik,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Yacabonis,Jimmy,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Gerber,Joey,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Dunn,Justin,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Sheffield,Justus,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Graveman,Kendall,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Newsome,Ljay,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Gonzales,Marco,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Magill,Matt,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Cortes,Nestor,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Margevicius,Nick,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Frankoff,Seth,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Guilbeau,Taylor,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Williams-1,Taylor,MIX,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Lockett-2,Walker,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Ramirez,Yohan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Hirano,Yoshihisa,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Kikuchi,Yusei,REG,P,,,,,,,,,,,,,,,,,,,,
AL,SM,Grotz,Zac,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Willy,Adames,REG,B,,,,,1(B2),,,,,,,,,,,,,,,
AL,TB,Randy,Arozarena,REG,B,,,,,,3,4,3,,,,,,,,,,,,
AL,TB,Mike,Brosseau,REG,B,,3,3,3,,4,,4,,,,,,,,,,,,
AL,TB,Ji-Man,Choi,REG,B,,2(B3),,,,,,,,,,,,,,,,,,
AL,TB,Yandy,Diaz,REG,B,,4,,4,,,,,,,,,,,,,,,,
AL,TB,Kevin,Kiermaier,REG,B,,,,,,,1,,,,,,,,,,,,,
AL,TB,Brandon,Lowe,REG,B,,4,2,,,4,,4,,,,,,,,,,,,
AL,TB,Nate,Lowe,ADD,B,,4,,5,,,,,,,,,,,,,,,,
AL,TB,Manuel,Margot,REG,B,,,,,,2,2,2,,,,,,,,,,,,
AL,TB,Jose,Martinez-1,MIX,B,,5,,,,,,,,,,,,,,,,,,
AL,TB,Austin,Meadows,REG,B,,,,,,3,,3,,,,,,,,,,,,
AL,TB,Brian,O'Grady,COMP,B,,3,,,,3,3,,,,,,,,,,,,,
AL,TB,Michael,Perez,REG,B,3,,,,,,,,,,,,,,,,,,,
AL,TB,Brett,Phillips,ADD,B,,,,,,2,2,2,,,,,,,,,,,,
AL,TB,Hunter,Renfroe,REG,B,,4,,,,,,2,,,,,,,,,,,,
AL,TB,Kevan,Smith,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,TB,Yoshi,Tsutsugo,REG,B,,,,4(B5),,4,,,,,,,,,,,,,,
AL,TB,Joey,Wendle,REG,B,,,2,2(B3),4,,,,,,,,,,,,,,,
AL,TB,Mike,Zunino,REG,B,1,,,,,,,,,,,,,,,,,,,
AL,TB,Loup,Aaron,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Slegers,Aaron,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Kittredge,Andrew,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Banda,Anthony,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Snell,Blake,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Morton,Charlie,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Roe,Chaz,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Reed-2,Cody,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Castillo,Diego,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Garcia,Edgar,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Beeks,Jalen,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Curtiss,John,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Alvarado,Jose,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Fleming,Josh,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Anderson,Nick,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Drake,Oliver,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Fairbanks,Pete,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Sherriff,Ryan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Thompson,Ryan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Yarbrough,Ryan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Gilmartin,Sean,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Richards,Trevor,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Glasnow,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TB,Chirinos,Yonny,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Elvis,Andrus,REG,B,,,,,3,,,,,,,,,,,,,,,
AL,TE,Sherten,Apostel,ADD,B,,4,,4,,,,,,,,,,,,,,,,
AL,TE,Willie,Calhoun,REG,B,,,,,,5,,,,,,,,,,,,,,
AL,TE,Robinson,Chirinos-1,ADD,B,3,,,,,,,,,,,,,,,,,,,
AL,TE,Shin-Soo,Choo,REG,B,,,,,,4,,4,,,,,,,,,,,,
AL,TE,Derek,Dietrich,ADD,B,,4,4,4,,,,,,,,,,,,,,,,
AL,TE,Todd,Frazier-1,MIX,B,,3,,3,,,,,,,,,,,,,,,,
AL,TE,Joey,Gallo,REG,B,,,,,,,,1,,,,,,,,,,,,
AL,TE,Adolis,Garcia-1,COMP,B,,,,,,3,,,,,,,,,,,,,,
AL,TE,Ronald,Guzman,REG,B,,2,,,,,,,,,,,,,,,,,,
AL,TE,Scott,Heineman,ADD,B,,4,,,,3,3,3,,,,,,,,,,,,
AL,TE,Sam,Huff,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,TE,Isiah,Kiner-Falefa,REG,B,,,,1(B2),3,,,,,,,,,,,,,,,
AL,TE,Jeff,Mathis,REG,B,2,,,,,,,,,,,,,,,,,,,
AL,TE,Rougned,Odor,REG,B,,,4,,,,,,,,,,,,,,,,,
AL,TE,Rob,Refsnyder,ADD,B,,4,,,,4,,4,,,,,,,,,,,,
AL,TE,Yadiel,Rivera,COMP,B,,4,3,,3,,,,,,,,,,,,,,,
AL,TE,Andrew,Romine-1,COMP,B,,,,,3,,,,,,,,,,,,,,,
AL,TE,Danny,Santana-1,ADD,B,,4,,,,,4,,,,,,,,,,,,,
AL,TE,Nick,Solak,REG,B,,5,4,,,4,4,,,,,,,,,,,,,
AL,TE,Leody,Taveras,REG,B,,,,,,,2,,,,,,,,,,,,,
AL,TE,Anderson,Tejeda,REG,B,,,4,,4,,,,,,,,,,,,,,,
AL,TE,Jose,Trevino,REG,B,3,5,,,,,,,,,,,,,,,,,,
AL,TE,Eli,White-1,REG,B,,,,,,2,4,3,,,,,,,,,,,,
AL,TE,Martin,Brett,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Kluber,Corey,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Evans,Demarcus,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Volquez,Edinson,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Gibaut,Ian,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Chavez,Jesse,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Herget,Jimmy,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Rodriguez-1,Joely,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,King,John,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Hernandez,Jonathan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Lyles,Jordan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Leclerc,Jose,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Palumbo,Joseph,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Nicasio,Juan,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Allard,Kolby,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Cody,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Gibson,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Lynn,Lance,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Garcia-2,Luis,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Farrell,Luke,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Goody,Nick,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Montero,Rafael,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Hearn,Taylor,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TE,Benjamin,Wes,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Anthony,Alford-1,ADD,B,,,,,,2,3,,,,,,,,,,,,,
AL,TO,Bo,Bichette,REG,B,,,,,4,,,,,,,,,,,,,,,
AL,TO,Cavan,Biggio,REG,B,,,4,4,,4,4,4,,,,,,,,,,,,
AL,TO,Jonathan,Davis-3,ADD,B,,,,,,2,2,2,,,,,,,,,,,,
AL,TO,Brandon,Drury,ADD,B,,,4,3,4,,,,,,,,,,,,,,,
AL,TO,Santiago,Espinal,REG,B,,,,3,2,,,,,,,,,,,,,,,
AL,TO,Derek,Fisher,ADD,B,,,,,,5,,5,,,,,,,,,,,,
AL,TO,Randal,Grichuk,REG,B,,,,,,,4(B3),,,,,,,,,,,,,
AL,TO,Vladimir,Guerrero Jr,REG,B,,5,,,,,,,,,,,,,,,,,,
AL,TO,Lourdes,Gurriel Jr,REG,B,,5,,,,3(B2),,,,,,,,,,,,,,
AL,TO,Teoscar,Hernandez,REG,B,,,,,,,4,4,,,,,,,,,,,,
AL,TO,Danny,Jansen,REG,B,3,,,,,,,,,,,,,,,,,,,
AL,TO,Caleb,Joseph,COMP,B,3,,,,,,,,,,,,,,,,,,,
AL,TO,Alejandro,Kirk,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,TO,Reese,McGuire,REG,B,4,,,,,,,,,,,,,,,,,,,
AL,TO,Billy,McKinney,COMP,B,,,,,,3,,,,,,,,,,,,,,
AL,TO,Joe,Panik,REG,B,,,3,4,4,,,,,,,,,,,,,,,
AL,TO,Travis,Shaw,REG,B,,2,,2,,,,,,,,,,,,,,,,
AL,TO,Rowdy,Tellez,REG,B,,3,,,,,,,,,,,,,,,,,,
AL,TO,Jonathan,Villar-2,REG,B,,,4,,4,,,,,,,,,,,,,,,
AL,TO,Daniel,Vogelbach-1,MIX,B,,,,,,,,,,,,,,,,,,,,
AL,TO,Cole,A.J.,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Bass,Anthony,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Kay,Anthony,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Moran-1,Brian,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Anderson,Chase,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Perez,Hector,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Ryu,Hyun-Jin,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Waguespack,Jacob,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Romano,Jordan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Merryweather,Julian,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Giles,Ken,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Shoemaker,Matt,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Pearson,Nate,MIX,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Murphy,Patrick,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Dolis,Rafael,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Ray-2,Robbie,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Stripling-2,Ross,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Borucki,Ryan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Gaviglio,Sam,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Reid-Foley,Sean,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Yamaguchi,Shun,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Zeuch,T.J.,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Walker,Taijuan,REG,P,,,,,,,,,,,,,,,,,,,,
