TM,Location,HITTERS,AB,W,SO v lhp,BBv lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
CIN,,"Espinal,S",301,21,0,7,26,34,35.8,0,w,-10,25,5,5,19.5,25.5,19.5,0,w,-10,26,7/- (13-6),E,13,B,C,1,,425,211,203,310,418,,418,3b-2e3 2b-2e11 rf-4(+1)e18 lf-4e18 1b-4e25 ss-3e10
CIN,,"Friedl,T*",579,81,13,11,20.9,37.9,27.3,1.8,0,-5,6,12,18,21.8,45.8,28.1,1,0,-4,5,*6/- (18-6),B,15,A,C,1,,,,,,,203,,cf-2(0)e3
CIN,,"Hayes,K",527,36,21,2,14.8,18.8,18.1,0,w,2,19,17,6,20.6,28.6,30.1,2.4,w,2,18,"*4,6/- (18-12)",B,12,D,C,1,,,,106,,,,,3b-1e6
CIN,,"Hays,A",380,29,27,15,32.8,48.8,60.2,0.8,0,1,16,34,3,20.6,24.7,33.5,3.6,4,1,19,*5/- (20-11),C,13,D,C,4,,,,,,308,,,lf-3(-1)e8
CIN,,"Joe,C",70,7,21,14,6.4,23.3,6.5,0,w,-4,19,40,9,12.6,24.6,23.6,0,w*,0,18,"*2-8,11/9,10,12 (15-8)",C,12,D,D,2,,408,,,,410,410,310,rf-3(-2)e10 lf-4e10 1b-4e8 cf-4e10
CIN,,"Lux,G*",446,56,39,15,7.8,22.9,7.8,0,w,4,1,23,14,26.2,40.2,42.1,2.4,w,4,2,2/- (20-6),E,12,D,C,1,,,423,444,,507,,,lf-5(+3)e7 2b-4e23 3b-4e44
CIN,,"Marte,N",339,16,35,8,17.9,27.9,24.6,2.3,w,-1,16,24,0,25.5,27.5,48.6,4,6,-1,17,"*2-5,11,12/- (18-13)",B,15,D,D,4,,,,325,,,403,303,rf-3(-3)e3 3b-3e25 cf-4e3
CIN,,"McLain,M",510,55,42,18,15.2,35.2,20.7,0.9,1,-9,7,38,11,14.7,27.7,20.6,1.5,2,-9,11,"*4,6/- (19-13)",A,15,B,D,1,,,208,,338,,,,2b-2e8 ss-3e38
CIN,,"Steer,S",509,51,31,10,13.9,25.8,28.8,3.5,5,-1,18,23,12,17.4,31.4,28.5,2.5,3,-1,17,*4/- (19-6),C,14,C,C,1,,203,,,,309,,,1b-2e3 lf-3(0)e9
CIN,,"Stephenson,T",299,37,39,24,15.4,40.4,32,1.4,2,3,6,53,13,13.8,27.9,28.7,3.4,4,3,11,"2-5,12/- (3-1)",E,11,D,C,5,302,,,,,,,,"c-3(-1)e2,T-3(pb-0)"
CIN,,"Stewart,S",55,3,6,0,26.9,26.9,91.4,21.5,8,-3,16,35,5,19,24,46,9,8,-5,14,-/- (---),E,10,D,D,1,,418,,410,,,,,1b-4e18 3b-4e10
CIN,,"Trevino,J",282,15,0,2,14.4,16.4,34.4,3,w*,0,24,7,3,24.8,27.8,42.4,3,w,-7,23,-/- (---),E,8,D,C,2,207,,,,,,,,"c-2(+1)e7,T-1(pb-1)"
CIN,,"Andujar,M",321,17,12,0,45.2,46.2,60.8,3.2,5,-6,20,4,4,32.5,37.5,43.4,1.5,1,-6,19,2/- (20-6),E,11,D,C,3,,405,,406,,405,,405,3b-4e6 lf-4(-1)e5 rf-4e5 1b-4e5
CLA,,"Arias,G",432,27,55,1,16.4,20.4,38,1.8,3*,0,15,48,5,15.3,23.3,22.9,1,1,11,13,*2-7/- (15-13),C,12,D,D,2,,,219,239,222,,,,ss-2e22 2b-2e19 3b-2e39
CLA,,"Fry,D",146,9,55,0,7.5,10.5,25.5,5.6,8*,0,17,51,15,2.6,20.6,10.4,2.6,4*,0,14,3/- (20-6),E,11,D,D,5,,,,,,,,,
CLA,,"Hedges,A",155,18,34,16,3.8,20.8,6.2,0.8,2,-1,8,23,12,3.3,16.3,11.2,2.7,4*,0,7,"2-6,11,12/7-10 (13-4)",E,9,B,D,2,102,,,,,,,,"c-1(-3)e2,T-1(pb-0)"
CLA,,"Jones,N*",355,39,52,7,10.4,20.4,10.4,0,w,3,12,33,12,14.4,29.4,29.5,3.3,w,3,10,*2-5/- (17-12),B,13,D,D,1,,,,,,302,402,302,rf-3(-4)e2 cf-4e2 lf-3e2
CLA,,"Kayfus,C*",123,11,41,0,11.4,14.4,20.4,1.3,2,6,0,35,11,16.8,30.8,36.2,1.8,2*,0,0,*6/- (20-12),B,12,D,D,1,,326,,,,,,403,rf-4(0)e3 1b-3e26
CLA,,"Kwan,S*",625,55,0,5,22.6,28.6,24.9,0,w,9,0,0,8,27.3,36.3,34.5,0.8,1,8,0,"*4,6/- (18-12)",A,15,B,C,1,,,,,,109,,,lf-1(-3)e9
CLA,,"Manzardo,K*",470,48,31,7,8.9,18.9,28.5,4.6,8*,0,10,31,10,18,31,32.8,4,6,-8,9,2/- (20-6),E,9,D,D,1,,413,,,,,,,1b-4e13
CLA,,"Martinez,A+",446,23,20,9,25.1,37.2,38.5,2.3,3,0,12,28,0,13.1,16.1,19.7,0.3,0,0,14,"*4,6/- (18-12)",C,15,B,C,1,,,332,,,,309,309,cf-3(-2)e9 2b-3e32 rf-3e9
CLA,,"Naylor,B*",359,45,7,10,4.7,15.7,8.9,1.4,2,6,6,34,15,11.2,27.2,26.8,2.2,4*,0,5,"2-5/8,9 (13-4)",E,12,D,D,2,302,,,,,,,,"c-3(-2)e2,T-8(pb-0)"
CLA,,"Noel,J",148,4,55,0,5.9,5.9,17.9,4,7,0,21,39,0,3,3,9,2,3*,0,21,-/- (---),E,12,D,D,1,,407,,,,,,401,rf-4(-1)e1 1b-4e7
CLA,,"Ramirez,J+",593,66,0,4,35.6,42.5,52.3,2,4,-6,9,3,6,22.6,31.6,39.4,3.8,7,-6,10,"*2-6,12/- (19-15)",AA,17,D,C,1,,,,116,,,,,3b-1e16
CLA,,"Rocchio,B+",344,22,40,7,15.2,27.2,22.8,0.5,0,6,6,12,1,19.2,25.2,33.1,2.5,w,6,7,"*2-7,11,12/- (15-13)",B,14,B,C,1,,,114,,222,,,,ss-2e22 2b-1e14
CLA,,"Schneemann,D*",379,38,51,10,4.2,16.1,4.2,0,w,-2,6,34,9,14,25,24.8,2,3,-5,6,"*2-5,12/- (17-12)",B,14,D,C,1,,,206,308,340,302,302,302,2b-2e6 3b-3e8 cf-3(0)e2 rf-3e2 ss-3e40 lf-3e2
CLA,,"Thomas,L",125,14,31,19,3.7,24.7,14.8,3.7,6*,0,18,49,10,2.8,14.8,6.1,1.1,1,0,21,*4-6/- (19-13),B,15,D,C,5,,,,,,,305,305,cf-3(-1)e5 rf-3e5
CLA,,"Valera,G*",41,7,15,0,0,0,0,0,w*,0,20,37,25,15.4,40.5,30.2,3.3,6,-3,17,-/- (---),E,11,D,D,1,,,,,,,,406,rf-4(0)e6
CLA,,"Wilson,W",78,7,60,10,15,28,28.6,0,w,0,8,60,8,4.5,15.5,4.5,0,w,-2,8,*4/- (20-11),C,11,A,D,1,,,313,325,,,,,3b-3e25 2b-3e13
CLA,,"Rodriguez,J",71,6,34,11,16.8,27.8,40.2,2.7,5,4,19,44,2,0,2,0,0,w*,0,22,3/- (20-6),D,11,D,D,1,,,,,,424,,424,rf-4(0)e24 lf-4e24
CLA,,"Delauter,C*",0,0,71,11,0,11,0,0,w*,0,25,0,26,18.5,44.5,18.5,0,w,-3,24,-/- (---),E,12,D,C,1,,,,,,,425,425,cf-4(0)e25 rf-4e25
CON,,"Amador,A+",113,11,27,8,0,10,0,0,w*,0,13,21,9,12.8,23.8,29,2.1,w,0,13,"2-6,9/10-12 (13-7)",E,13,C,C,1,,,414,,,,,,2b-4e14
CON,,"Arcia,O",203,10,18,0,17.5,17.5,21.6,0.6,0,-3,17,24,3,11.8,14.8,24.1,2.8,w,-3,16,"2-6,11/- (3-1)",E,11,D,C,1,,421,212,328,324,,,,ss-3e24 3b-3e28 2b-2e12 1b-4e21
CON,,"Beck,J",539,43,41,6,28,36,45.8,2.8,4,-6,16,38,9,20,31,31,1.3,2,-6,10,"*2-6,11/- (17-13)",B,14,C,D,1,,,,,,304,,,lf-3(-2)e4
CON,,"Bernabel,W",139,7,0,0,28.4,28.4,35.8,2.5,3,-11,10,17,5,21.1,26.1,37.3,1.3,2,-7,10,"2-5,11,12/9 (13-6)",E,11,D,D,2,,414,,439,,,,,1b-4e14 3b-4e39
CON,,"Bouchard,S",66,7,55,8,8.7,16.7,19.2,0.9,0,4,22,56,21,0,21,0,0,w*,0,15,"*2-8,11/9,10,12 (15-8)",D,13,D,D,1,,425,,,,413,,413,rf-4(+1)e13 lf-4e13 1b-4e25
CON,,"Doyle,B",502,30,21,7,26.7,33.7,40.7,3,4,5,20,34,3,13.6,16.6,22.3,1.3,2,5,21,"*4,6/- (19-13)",A,16,C,D,1,,,,,,,103,,cf-1(-3)e3
CON,,"Estrada,T",154,6,8,0,12.4,15.4,19.1,1.9,3,6,29,10,0,24.5,27.5,32.9,0.1,0,6,29,"*3-6/2,7-12 (15-3)",D,12,D,C,5,,,317,,,,,,2b-3e17
CON,,"Farmer,K",277,17,19,10,16.3,29.3,28.3,4,7,6,23,25,0,13.9,16.9,29.8,2.5,w,7,24,"2-5,12/- (3-1)",E,11,D,D,1,,421,305,322,417,,,,2b-3e5 1b-4e21 ss-4e17 3b-3e22
CON,,"Fernandez,Y*",138,8,19,0,5.7,5.7,5.7,0,w,-4,23,42,2,18.8,20.8,26.7,1.8,2,-11,23,-/- (---),E,10,D,D,1,,,,,,419,,419,rf-4(-2)e19 lf-4e19
CON,,"Freeman,T",377,34,1,2,28.7,36.7,41.3,1.8,w,2,19,2,12,23.7,41.7,32.2,0.8,w,2,16,"*2-9,12/- (15-13)",B,14,B,B,3,,,413,414,,,,403,rf-4(-2)e3 2b-4e13 3b-4e14
CON,,"Fulford,B",108,7,26,6,21,31,39.8,0,w,6,4,50,4,8.5,16.5,22.5,2.8,w,6,4,3/- (20-6),E,11,D,D,2,411,,,,,,,,"c-4(0)e11,T-19(pb-0)"
CON,,"Goodman,H",540,33,28,8,23.3,33.3,51,5.6,8,-2,21,33,3,24,29,45.5,4.6,8,-2,23,7/10-12 (13-3),E,11,D,C,1,410,,,,,,,,"c-4(+1)e10,T-5(pb-1)"
CON,,"Hilliard,S*",51,10,82,11,0,11,0,0,w*,0,14,46,26,10.8,36.8,28.9,2.2,4*,0,14,*2-9/- (15-13),C,15,D,D,1,,,,,,208,308,308,lf-2(0)e8 cf-3e8 rf-3e8
CON,,"Karros,K",137,15,25,10,9.7,22.7,10.5,0,w,-5,23,34,14,17.1,34.1,22.3,1.6,w,-5,23,-/- (---),E,12,D,D,1,,,,208,,,,,3b-2e8
CON,,"Martini,N*",102,9,23,7,0,7,0,0,w*,0,5,10,5,20,25,29.1,2,w,-10,5,-/- (---),E,12,D,D,1,,,,,,402,,402,rf-4(0)e2 lf-4e2
CON,,"Moniak,M*",434,22,46,1,17.6,19.6,22.4,0.6,1,2,5,25,0,24.2,25.2,51.8,5.4,8,2,5,*2-5/- (17-12),B,15,D,D,1,,,,,,311,411,311,rf-3(+1)e11 cf-4e11 lf-3e11
CON,,"Ritter,R",187,10,21,0,29.2,35.2,38.7,0,w,-10,26,41,4,17.6,27.6,30.9,1.3,w,-8,28,"*4,5/- (17-11)",C,14,B,C,2,,,306,,327,,,,ss-3e27 2b-3e6
CON,,"Toglia,M+",306,28,58,0,17.5,18.5,38.2,2.2,3*,0,21,61,10,5.3,16.3,14.3,2.4,3,0,19,3/- (20-6),D,11,D,D,1,,306,,,,,,,1b-3e6
CON,,"Tovar,E",360,21,35,13,23.9,37.9,31.8,1.3,1,0,2,29,1,21.6,23.6,36.2,1.5,1,0,2,*3-6/- (15-11),C,13,B,B,4,,,,,216,,,,ss-2e16
CON,,"Crim,B",65,6,63,8,6.2,17.2,24.8,6.2,8*,0,0,57,10,10.9,23.9,38.8,8.5,8*,0,0,-/- (---),E,10,D,D,1,,407,,,,,,,1b-4e7
DEA,,"Baez,J",417,10,24,0,35.2,38.2,43.2,0,0,2,15,30,0,17.9,20.9,29.2,2.5,3,2,15,*5/- (19-6),C,15,D,C,1,,,330,210,224,,204,,cf-2(-1)e4 ss-2e24 3b-2e10 2b-3e30
DEA,,"Carpenter,K*",433,18,21,0,15.4,18.4,29.6,4,7,-7,3,26,0,21.7,24.6,43.4,4.8,8,-9,3,6/12 (13-5),E,13,D,D,2,,,,,,307,,307,rf-3(-2)e7 lf-3e7
DEA,,"Dingler,D",435,23,23,5,34.8,43.8,61,3.2,5,-1,6,27,0,24.8,28.8,30.5,1.4,1,-1,8,-/- (---),E,12,D,D,2,103,,,,,,,,"c-1(-3)e3,T-9(pb-0)"
DEA,,"Greene,R*",600,46,38,9,17,27,24.4,1,1,-6,17,44,3,25,29,53.8,7.6,8,-7,18,4/- (13-6),E,13,D,B,1,,,,,,203,303,303,lf-2(0)e3 cf-3e3 rf-3e3
DEA,,"Ibanez,A",176,12,11,5,21.4,31.4,31.4,2,2,4,23,0,4,10.1,19.1,12.5,0,w,4,24,"*4,6/- (18-12)",C,12,D,C,1,,313,304,213,448,419,,,3b-2e13 2b-3e4 1b-3e13 ss-4e48 lf-4(+1)e19
DEA,,"Jones,J",129,18,25,16,21.5,42.6,48.4,4.4,7,5,12,6,15,23.1,43.2,36.3,1,2,5,14,3/- (20-6),D,13,D,D,1,,,426,,,418,,418,lf-4(+2)e18 rf-4e18 2b-4e26
DEA,,"Keith,C*",414,48,29,5,7.1,13.1,7.3,0,w,-5,12,23,13,23.4,37.4,35.9,2,2,-5,11,4/12 (13-5),E,13,D,D,1,,409,432,411,,,,,3b-4e11 2b-4e32 1b-4e9
DEA,,"Malloy,J",104,20,22,31,15.1,48.2,27.1,2.7,w,5,2,41,19,7.6,28.6,14.4,0,w,0,3,-/- (---),E,11,D,D,1,,405,,,,502,,502,rf-5(+2)e2 1b-4e5 lf-5e2
DEA,,"McKinstry,Z*",452,46,22,4,33.9,40.9,63.3,1.8,w,-11,8,24,11,19.9,33.9,33.5,1.4,2,-9,7,*4-6/- (19-13),A,17,D,C,1,,425,371,315,323,302,,302,3b-3e15 ss-3e23 rf-3(-1)e2 lf-3e2 2b-3e71 1b-4e25
DEA,,"Meadows,P*",191,21,25,14,12.5,26.5,12.7,0,w,-9,0,35,11,15.9,26.9,24.1,1,1,-9,0,*5/- (20-6),C,16,D,D,5,,,,,,,203,,cf-2(-1)e3
DEA,,"Perez,W+",344,31,22,5,23,30,48.4,4,6,-6,11,26,9,18,29,28.6,1.8,2,-6,11,"*2-5,12/- (17-12)",B,14,D,D,4,,,,,,305,405,205,rf-2(-1)e5 cf-4e5 lf-3e5
DEA,,"Rogers,J",123,15,40,30,5,36.9,13.3,1.8,3*,0,11,34,10,8.6,20.7,21.3,0.9,0,6,17,-/- (---),E,12,D,D,4,208,,,,,,,,"c-2(-3)e8,T-10(pb-0)"
DEA,,"Sweeney,T*",296,26,41,0,23.6,23.6,31.6,0,w,-5,3,37,9,10.1,19.1,13.3,0.9,0,-5,2,7/- (15-6),C,13,D,D,1,,,,,312,,,,ss-3e12
DEA,,"Torkelson,S",563,72,25,17,17.8,37.8,37.8,4.6,8,-4,11,34,13,14,30,28.3,3.8,6,-5,16,4/- (13-6),E,12,D,D,1,,306,,,,,,,1b-3e6
DEA,,"Torres,G",532,85,3,26,18.8,46.8,36,3,5,10,11,13,20,16.6,38.6,19.1,0.8,1,10,13,3/- (16-6),D,11,D,C,1,,,306,,,,,,2b-3e6
DEA,,"Vierling,M",88,7,31,6,21.1,34.1,25,1.3,1,4,5,25,8,15.1,30.1,17.7,0,w,4,5,*4/- (20-6),C,14,D,D,6,,,,410,,303,303,303,cf-3(0)e3 lf-3e3 rf-3e3 3b-4e10
HOA,,"Altuve,J",588,55,25,10,20.1,32.1,34.3,4.8,8,-11,22,9,8,23.9,33.9,36.2,2.8,4,-11,23,*2-6/- (15-12),C,13,B,C,1,,,412,,,504,,,2b-4e12 lf-5(+2)e4
HOA,,"Alvarez,Y*",165,28,0,25,32.2,57.1,64.7,4.8,8,5,0,18,14,20.5,34.5,25.4,1.5,1,6,1,"4,6/11 (13-6)",E,10,D,C,5,,,,,,512,,,lf-5(-2)e12
HOA,,"Caratini,V+",344,23,35,0,12.4,20.4,31,4.3,7*,0,17,9,5,24.8,37.8,30.7,1.3,2,-13,16,2/- (20-6),E,8,D,C,2,311,408,,,,,,,"c-3(+2)e11,T-4(pb-0) 1b-4e8"
HOA,,"Correa,C",537,45,14,14,23.8,37.8,35,2.4,4,-10,22,18,7,28.9,35.9,36.4,0.4,0,-11,24,-/- (---),E,11,D,C,1,,,,210,317,,,,ss-3e17 3b-2e10
HOA,,"Dezenzo,Z",98,11,35,30,11.1,41.1,19.6,0,w,3,10,50,12,20,32,30,1.1,0,4,16,3/- (20-6),D,13,D,D,6,,414,,,,407,,407,lf-4(+1)e7 rf-4e7 1b-4e14
HOA,,"Diaz,Y",542,20,21,0,21.8,22.8,33.8,4,7,-5,20,9,0,24,25,36,2,3,-5,20,4/12 (13-5),E,11,D,D,1,401,,,,,,,,"c-4(+1)e1,T-3(pb-1)"
HOA,,"Dubon,M",369,24,0,4,31.4,36.4,48.5,1.8,w,-9,24,0,5,17.6,23.6,24.2,0.8,1,-9,24,3/- (20-6),D,13,D,B,1,,412,210,205,307,215,315,315,2b-2e10 lf-2(-3)e15 ss-3e7 3b-2e5 cf-3e15 1b-4e12 rf-3e15
HOA,,"Hummel,C+",88,14,33,15,8.6,28.6,16.7,2.7,5,-4,3,45,23,0.8,28.8,2.6,0.6,0*,0,4,3/- (20-6),D,13,D,D,1,,,,,,405,,,lf-4(+2)e5
HOA,,"McCormick,C",100,9,27,10,15.4,27.4,30.5,0.8,1*,0,5,43,9,14,25,14,0,w,-10,5,"*2-7,12/8-11 (15-6)",D,13,A,D,4,,,,,,202,202,202,cf-2(-1)e2 lf-2e2 rf-2e2
HOA,,"Melton,J*",70,6,53,5,2,10,2,0,w,4,21,58,7,4.2,14.1,10.1,0,w,0,29,"*2-6,12/- (19-15)",B,15,D,D,3,,,,,,305,305,305,cf-3(-1)e5 lf-3e5 rf-3e5
HOA,,"Meyers,J",343,31,9,0,31.6,33.6,41.3,0,w,-15,21,15,12,30.4,44.4,40.6,2.1,w,-13,17,*4-6/- (18-13),A,14,D,D,4,,,,,,,102,,cf-1(0)e2
HOA,,"Paredes,I",378,50,4,19,14.4,37.4,24.2,3.3,5,-8,15,15,16,18.4,38.4,33.5,3.8,6,-9,16,"4,5/- (3-1)",E,11,D,B,4,,,,210,,,,,3b-2e10
HOA,,"Pena,J",493,35,4,9,23.3,37.3,30.5,2.4,4,2,12,15,4,31.9,41,47.4,1.8,3,2,14,"*4,5/- (19-12)",A,17,D,C,3,,,,,112,,,,ss-1e12
HOA,,"Rodgers,B",115,11,50,7,19.8,28.8,31.5,3,4,-10,14,53,11,7.1,20,14.6,2,w,-2,9,2-12/- (3-1),E,11,D,D,5,,,315,,,,,,2b-3e15
HOA,,"Short,Z",50,4,45,13,21.6,38.7,40,4.2,7,4,0,45,4,8.4,16.4,14.6,1.8,2,4,0,2-12/- (3-1),E,14,B,D,1,,,,,319,,,,ss-3e19
HOA,,"Smith,C",441,43,37,18,19.3,40.3,35.8,2,2,2,18,35,8,16.6,27.5,30,3,w,2,17,*5/- (19-6),C,15,D,B,1,,,,,,,,203,rf-2(-2)e3
HOA,,"Trammell,T*",117,17,41,32,3.2,35.2,5.4,0,w*,0,0,42,16,10.6,26.5,20.6,1.1,1,-1,0,"*2-7,12/11 (15-11)",C,14,D,D,5,,,,,,303,403,403,cf-4(+2)e3 lf-3e3 rf-4e3
HOA,,"Urias,R",352,27,33,9,22.6,32.6,33.2,2.3,3,-5,11,22,6,18.5,25.5,27.7,1.5,2,-5,13,3/- (20-6),D,12,D,C,1,,416,304,210,,,,,3b-2e10 2b-3e4 1b-4e16
HOA,,"Walker,C",585,40,33,3,20.5,27.5,29.9,1.6,3,-5,12,36,6,16.1,26.1,29.5,3.6,6,-5,11,5/- (13-6),E,10,D,D,1,,307,,,,,,,1b-3e7
HOA,,"Sanchez,J*",451,42,35,3,2.9,6.9,4.8,0.2,0,0,17,22,9,21.3,31.3,34.6,2,2,-4,16,*2-5/- (18-12),B,12,D,C,2,,,,,,410,410,310,rf-3(-2)e10 lf-4e10 cf-4e10
KCA,,"Biggio,C*",69,11,38,8,6.5,17.5,6.5,0,w,-4,0,31,20,4,27,13,2.8,w,0,0,3/- (20-6),D,14,C,D,1,,421,471,431,,403,,403,1b-4e21 rf-4(+1)e3 lf-4e3 2b-4e71 3b-4e31
KCA,,"Caglianone,J*",210,18,22,4,7.3,15.3,19.6,2.3,5*,0,14,24,8,3.5,15.5,9.7,1.6,4*,0,13,2/- (20-6),E,11,D,D,3,,413,,,,,,407,rf-4(-3)e7 1b-4e13
KCA,,"Canha,M",113,7,14,1,19.9,26,30.9,3.3,w,-10,4,22,8,7,20,7,0,w,-5,4,"2-9,12/- (3-1)",E,12,D,D,4,,410,,,,403,,403,lf-4(+2)e3 rf-4e3 1b-4e10
KCA,,"Garcia,M",595,62,7,20,29.6,49.7,50,0.9,1,-3,15,2,10,25.8,35.8,37.6,1.2,2,-4,18,*2-6/- (17-13),A,16,C,C,1,,,214,108,316,,416,416,3b-1e8 ss-3e16 2b-2e14 cf-4(-1)e16 rf-4e16
KCA,,"India,J",497,54,21,11,17.3,33.3,20.6,0.8,0,1,12,14,13,14.8,32.8,22,0,0,1,11,"2-7,11,12/- (3-1)",E,12,D,C,1,,,417,447,,510,,,2b-4e17 3b-4e47 lf-5(0)e10
KCA,,"Isbel,K*",368,23,35,7,16.6,24.6,18.4,0,w,-1,14,12,2,24.9,27.9,41.2,2.8,w,-1,15,"*2-6/9,10 (15-6)",D,15,A,C,1,,,,,,,101,,cf-1(-2)e1
KCA,,"Jensen,C*",60,9,4,22,8.4,30.4,9.8,0.4,0,3,9,15,17,30.6,47.6,62.9,4.6,8,4,11,-/- (---),E,11,D,C,2,407,,,,,,,,"c-4(-1)e7,T-12(pb-0)"
KCA,,"Loftin,N",168,14,11,7,9.3,20.3,21.5,1.8,3,6,28,5,8,11.5,23.5,23,0.4,0,6,28,4-6/9 (13-6),E,13,D,C,1,,408,308,317,,413,,,lf-4(-2)e13 2b-3e8 3b-3e17 1b-4e8
KCA,,"Maile,L",45,7,51,17,12.3,29.3,19.7,0,w,4,15,37,23,17.2,40.2,24.3,2,2,3,17,*3/- (20-11),D,8,C,D,2,202,,,,,,,,"c-2(+1)e2,T-1(pb-6)"
KCA,,"Massey,M*",262,9,13,0,22.1,23.1,26.6,0,w,-9,7,9,0,23.1,24.1,33.6,3,w,-9,7,"4,5/- (13-6)",D,12,D,B,5,,,303,,,417,,,2b-3e3 lf-4(0)e17
KCA,,"Melendez,M*",60,3,42,15,2.3,24.3,8.9,2.2,w*,0,0,52,0,3.5,10.5,13.7,3.4,w*,0,0,-/- (---),E,13,D,D,1,,,,,,405,,405,lf-4(-1)e5 rf-4e5
KCA,,"Pasquantino,V*",621,49,25,2,14.4,18.5,26.5,3.3,7,-6,18,5,5,25.7,32.7,46.6,4.8,8,-6,17,2/- (20-6),E,9,D,C,1,,405,,,,,,,1b-4e5
KCA,,"Perez,S",597,28,19,0,13.8,17.8,28.4,3.2,w,3,18,18,0,16.5,20.5,40.7,5.6,8,3,18,-/- (---),E,8,D,D,1,301,306,,,,,,,"c-3(-3)e1,T-7(pb-0) 1b-3e6"
KCA,,"Rave,J*",153,18,27,13,5.6,19.6,5.6,0,w,-3,2,34,13,9.5,23.5,14.8,1.1,3,-3,2,"*4,5,7/- (19-13)",B,15,B,D,1,,,,,,310,410,310,lf-3(-1)e10 rf-3e10 cf-4e10
KCA,,"Renfroe,H",99,8,7,12,16.3,28.3,26.6,0,w,-4,26,24,5,5.3,10.4,9.9,0,w*,0,28,-/- (---),E,11,D,C,1,,,,,,,,406,rf-4(0)e6
KCA,,"Tolbert,T",50,1,14,0,25.5,37.5,38.7,2,2,-8,14,27,0,26,38,26,0,w,-8,14,"*2-7,11/- (20-16)",AA,17,A,C,1,,,405,465,425,301,401,301,cf-4(-1)e1 lf-3e1 2b-4e5 3b-4e65 ss-4e25 rf-3e1
KCA,,"Waters,D+",206,11,40,6,0.9,8.9,0.9,0,w,0,5,34,0,26.2,28.2,38.3,1.3,w,-6,6,"*2-7,11,12/- (15-13)",B,14,D,C,1,,,,,,208,308,208,lf-2(-1)e8 cf-3e8 rf-2e8
KCA,,"Witt Jr,B",623,49,21,4,36.4,43.4,62.6,1.6,w,-1,6,14,5,26,34,46.7,3.4,5,-1,6,"*2-5,11,12/- (19-15)",AA,17,D,C,1,,,,,110,,,,ss-1e10
KCA,,"Frazier,A*",419,26,43,3,12.1,19.1,22.5,0.4,1,7,13,10,1,26.6,31.6,41.1,3.6,w,7,15,"*2-8,11,12/9 (15-11)",C,12,D,C,1,,,302,423,,410,,410,2b-3e2 lf-4(+1)e10 rf-4e10 3b-4e23
KCA,,"Grichuk,R",272,17,28,3,17.5,21.5,37.2,3.2,5,-3,18,10,4,14.4,19.5,22.9,0.4,1,-5,17,"2-6,12/- (3-1)",E,12,D,C,1,,,,,,304,,304,rf-3(0)e4 lf-3e4
KCA,,"Yastrzemski,M*",477,72,20,6,1.8,8.8,3.6,0.6,1,0,10,18,19,19,39,33.5,2.4,4,-7,8,*6/- (18-6),C,13,B,C,1,,,,,,201,301,201,rf-2(-3)e1 lf-2e1 cf-3e1
LAA,,"Adell,J",526,33,24,12,21.6,37.6,51.8,6.6,8,-1,12,34,3,14.5,21.5,34.4,6.4,8,-1,14,5/- (17-6),D,14,D,D,1,,,,,,,408,308,cf-4(-1)e8 rf-3e8
LAA,,"Anderson,T",83,3,45,0,19.6,27.6,26.1,0,w,-3,7,44,0,12.6,20.6,13.8,0,w,-3,7,*2-7/10-12 (15-7),D,13,D,B,1,,,223,,328,,,,2b-2e23 ss-3e28
LAA,,"Campero,G+",58,5,29,0,2.8,13.8,6.1,1.1,0*,0,23,17,13,6.4,30.4,19.6,4.4,7*,0,19,"*2-6,12/- (19-15)",B,14,D,C,6,,,,,,409,409,409,rf-4(+2)e9 lf-4e9 cf-4e9
LAA,,"D'Arnaud,T",213,13,47,0,8.5,12.5,21.1,3,5*,0,19,43,5,12.5,21.5,23.3,1,1,0,17,-/- (---),E,10,D,D,3,301,,,,,,,,"c-3(+2)e1,T-4(pb-0)"
LAA,,"Lugo,M",69,0,23,0,27.9,30.9,48.4,4.6,8,3,35,53,0,11.9,14.9,32.6,4.6,8,3,24,-/- (---),E,15,D,D,1,,,,,,419,419,419,cf-4(+1)e19 lf-4e19 rf-4e19
LAA,,"Moncada,Y+",248,32,25,8,6.7,20.7,12.7,1,0,-1,10,32,14,16.5,36.5,32,3,5,-4,9,-/- (---),E,11,D,D,5,,,,422,,,,,3b-4e22
LAA,,"Moore,C",162,19,46,2,18.7,21.7,39.4,5.6,8,-3,15,49,18,5.7,24.7,14.7,2.2,3,-1,10,*4/- (20-6),C,13,D,D,3,,,410,,,,,,2b-4e10
LAA,,"Neto,Z",502,33,45,0,14.9,21,41.4,6.6,8,0,5,31,4,22.1,32.1,38.6,3.4,5,1,5,*2-6/- (18-15),A,14,D,D,1,,,,,214,,,,ss-2e14
LAA,,"Newman,K",114,1,27,0,16.4,16.4,16.8,0,w,-7,33,12,0,13.7,13.7,17.1,1.1,2,-7,33,3/- (20-6),E,13,D,B,1,,413,347,335,316,,,,3b-3e35 ss-3e16 2b-3e47 1b-4e13
