TM,Location,HITTERS,AB,SO vlhp,BB v lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
CIN,,"Winker,J*",432,31,16,17.8,37.8,25.6,2.3,3,-11,14,17,18,23.2,45.2,39.2,4,4,-12,13,3/- (16-6),D,10,D,D,1,,,,,,406,,406,lf-4(0)e6 rf-4e6
CLA,,"Deshields,D",295,31,5,20.1,27.2,26.5,0,w,-4,0,33,13,17.6,32.6,19.4,0,w,-4,0,*2-5/- (19-13),A,16,A,D,2,,,,,,,206,,cf-2(+1)e6
CLA,,"Freeman,M*",105,28,8,13.4,25.5,16.5,0,w,+2,0,34,7,18.9,29.9,25.7,0,w,+2,0,-/- (---),E,13,C,D,1,,525,312,356,322,425,,,3b-3e56 lf-4(+2)e25 ss-3e22 2b-3e12 1b-5e25
CLA,,"Hedges,A",205,50,12,4.5,19.5,6.3,0.2,0,-1,24,33,6,8.9,17.9,21.5,3.8,7,-1,27,*7/- (15-6),C,9,A,C,2,201,,,,,,,,"c-2(-2)e1,T-8(pb-8)"
CLA,,"Hernandez,C+",651,14,7,20.8,29.8,34.3,2.3,w,+9,8,22,11,26.7,39.7,36.2,0.6,0,+9,6,6/- (13-6),D,14,C,B,1,,,111,,,,,,2b-1e11
CLA,,"Leon,S+",192,16,21,5.3,28.3,14.9,3.2,w,0,18,38,15,8.9,25.9,15.3,1.4,1,-3,18,-/- (---),E,8,C,C,2,216,,,,,,,,"c-2(+1)e16,T-20(pb-0)"
CLA,,"Lindor,F+",666,0,10,31.4,44.4,41.5,0.8,0,-15,23,14,5,24.9,32.9,40.9,3.5,5,-13,24,"*4,6/- (17-11)",B,15,D,C,0,,,,,103,,,,ss-1e3
CLA,,"Luplow,J",221,18,15,21.8,39.8,38.4,3.4,5,+7,23,28,16,4.7,23.6,17.5,3.6,w*,0,24,6/- (15-6),C,14,D,C,1,,,,,,301,,301,lf-3(-1)e1 rf-3e1
CLA,,"Mercado,O",236,28,2,7.4,11.4,16.3,2.5,4,+5,0,26,8,11.9,21.9,21.2,3.1,w,+5,0,*4-6/- (18-13),B,15,C,D,1,,,,,,308,208,,cf-2(-2)e8 lf-3e8
CLA,,"Naquin,T*",369,38,0,9.3,11.3,19.5,1.3,1,+6,17,30,0,25.7,27.7,45,2.5,3,+6,17,5/- (13-6),E,14,D,D,2,,,,,,,,300,rf-3(-2)e0
CLA,,"Naylor,J*",266,9,8,17.5,27.5,23.4,1.6,3,-4,20,9,3,25.6,30.6,31.3,1.2,1,-4,22,2/- (20-6),D,13,D,B,1,,521,,,,516,,516,lf-5(0)e16 rf-5e16 1b-5e21
CLA,,"Perez,R",269,48,15,10.4,28.4,17.6,1.2,1,-4,11,42,14,6.2,23.1,9.4,1,1,-3,14,-/- (---),E,8,D,D,3,101,,,,,,,,"c-1(-4)e1,T-5(pb-0)"
CLA,,"Ramirez,J+",610,2,13,28.1,43.1,61.8,7,8,-6,4,13,16,19.3,37.3,39,4,6,-6,4,"*2-5,12/- (18-13)",A,16,D,B,1,,,,217,,,,,3b-2e17
CLA,,"Reyes,F",603,34,16,23.4,40.4,34.5,2,3,-5,11,38,10,18.7,29.6,38.8,5.6,8,-5,20,-/- (---),E,10,D,C,1,,,,,,509,,,lf-5(+1)e9
CLA,,"Santana,C+",584,8,14,20.4,36.5,34.7,3.3,5,-5,16,12,29,9.5,40.5,17.1,2,3,-4,12,2/- (20-6),E,12,D,C,0,,311,,,,,,,1b-3e11
CLA,,"Santana,D",200,46,22,3.3,27.3,7.6,1.5,2*,0,22,40,20,12.1,34,22.7,2,3,+7,18,6/11 (13-5),E,11,D,D,1,,,,,,517,,517,rf-5(+1)e17 lf-5e17
CLA,,"Taylor,B*",58,50,7,0,7,0,0,w*,0,0,48,14,5.1,19.1,10.4,0.8,0,0,0,-/- (---),E,9,C,D,2,416,,,,,,,,"c-4(-1)e16,T-11(pb-0)"
CLA,,"Zimmer,B*",115,44,5,12.6,28.6,20.6,1.6,1,-6,20,41,15,9.6,35.6,17.4,2.2,2,-4,17,*2-6/- (17-13),B,17,D,C,1,,,,,,222,222,222,cf-2(-3)e22 lf-2e22 rf-2e22
CON,,"Arenado,N",504,6,8,27.5,36.5,47.3,3.3,4,-11,26,0,7,20.5,28.5,35.4,3.5,6,-11,26,2/- (20-6),E,11,D,B,2,,,,110,,,,,3b-1e10
CON,,"Blackmon,C*",618,9,3,40.6,46.6,54.8,2.8,3,-7,13,18,4,27.8,34.8,42.5,2,3,-7,13,"5,6/12 (13-7)",D,13,D,B,1,,,,,,,,404,rf-4(0)e4
CON,,"Butera,D",107,37,7,12.6,21.6,24.2,1.1,0*,0,31,25,2,17.5,21.5,25.3,2.5,w,+1,33,-/- (---),E,8,C,D,2,302,425,,,,,,,"c-3(-1)e2,T-3(pb-2) 1b-4e25"
CON,,"Dahl,D*",254,40,0,18.3,20.3,24.6,0.6,0,+8,0,31,4,19.1,25.1,33.1,1.1,1,+8,0,*6/- (18-6),C,14,D,D,3,,,,,,307,307,307,cf-3(+1)e7 lf-3e7 rf-3e7
CON,,"Diaz,E",188,5,3,28.3,32.3,40.2,1.5,2,-10,33,19,7,23,31,27.3,0.5,0,-10,31,2/- (20-6),E,10,D,C,2,312,,,,,,,,"c-3(0)e12,T-10(pb-0)"
CON,,"Fuentes,J",271,49,0,20.8,22.8,35.5,2.8,4,0,8,25,0,27.2,29.2,35.3,0.4,0,0,8,2/- (20-6),E,12,D,B,1,,207,,405,,425,,,1b-2e7 3b-4e5 lf-4(+2)e25
CON,,"Hampson,G",465,28,4,19.9,24.9,27.9,0.8,0,-14,1,34,8,22.3,31.3,34.7,1.4,2,-14,2,"*5,6/- (19-13)",A,17,A,D,1,,,315,,414,404,304,,2b-3e15 cf-3(+1)e4 lf-4e4 ss-4e14
CON,,"Hilliard,S*",292,49,0,17.8,18.8,25.5,2,3,-13,0,49,9,15,25,30.8,3.1,5,-6,0,"*2-5,12/- (17-12)",B,16,D,D,1,,,,,,303,403,303,lf-3(-2)e3 cf-4e3 rf-3e3
CON,,"Kemp,M",339,33,7,23,31,40.3,3.8,5,+9,24,33,11,14.8,26.8,24.4,3,4,+9,27,2/- (20-6),E,10,D,D,1,,,,,,501,,,lf-5(+3)e1
CON,,"McMahon,R*",479,41,6,16.1,24.1,46.6,7,8,-1,14,46,12,16.3,30.3,29.1,2.8,3,-7,17,"4,6/9 (13-5)",D,13,D,D,1,,316,341,324,488,,,,2b-3e41 1b-3e16 3b-3e24 ss-4e88
CON,,"Murphy,D*",342,20,0,23.1,24.1,34.7,2.3,w,+11,19,4,1,23.4,25.4,34.3,2,3,+11,18,-/- (---),E,10,D,C,1,,524,,,,,,,1b-5e24
CON,,"Owings,C",113,38,2,24.9,28.8,33.9,2,2,+6,0,28,7,13.3,22.3,21.9,1.6,2,+6,0,*5/- (20-11),C,13,D,D,3,,,304,465,425,407,407,,2b-3e4 lf-4(+1)e7 3b-4e65 ss-4e25 cf-4e7
CON,,"Pillar,K",583,8,0,32.1,35.1,50.8,3.4,5,-5,15,12,1,25.7,29.7,35.9,0.4,0,-5,15,*2-6/- (15-12),B,14,D,D,1,,,,,,203,103,203,cf-1(-2)e3 rf-2e3 lf-2e3
CON,,"Rodgers,B",56,40,0,17.1,21.1,39.8,4,w*,0,0,16,0,13.8,17.8,26.9,3.5,w,+4,0,-/- (---),E,12,D,D,3,,,430,,452,,,,2b-4e30 ss-4e52
CON,,"Story,T",648,22,14,27.5,42.5,49,5,8,-13,11,32,8,23.8,32.8,42.8,3,4,-11,15,*4-6/- (18-13),A,17,D,D,1,,,,,129,,,,ss-1e29
CON,,"Tapia,R*",525,26,0,40.7,41.7,51.8,0,0,+13,14,17,7,28.4,36.4,37.1,0,0,+12,12,*2-5/- (17-12),B,15,D,C,1,,,,,,309,,309,lf-3(-1)e9 rf-3e9
CON,,"Wolters,T*",274,30,14,17.1,34.1,20.9,0,w,+7,5,23,3,18.9,24.9,20.9,0,w,+8,6,-/- (---),E,11,C,B,2,201,,441,,,,,,"c-2(0)e1,T-6(pb-5) 2b-4e41"
DEA,,"Alcantara,S+",63,26,4,3.4,7.3,10,2,2,0,0,14,9,17.6,26.6,32.8,2.5,w,-8,0,3/- (20-6),D,12,D,C,1,,,312,365,,,,,3b-3e65 2b-3e12
DEA,,"Bonifacio,J",256,31,4,22,28,29.6,1.3,1,+8,7,33,5,13.1,20.1,19.7,1.5,2,+8,8,7/- (13-6),D,13,D,D,1,,,,,,407,,407,lf-4(+1)e7 rf-4e7
DEA,,"Cabrera,M",614,16,20,30.5,51.5,44.9,2.8,5,+10,8,21,11,14,26,19.3,1.8,3,+12,9,2/- (20-6),E,8,D,B,1,,,,,,,,,
DEA,,"Cameron,D",161,56,4,13.5,20.5,35.6,0.4,0*,0,16,35,7,12.5,22.5,26,3.6,w,+6,15,"*4,5/- (18-11)",C,14,D,D,1,,,,,,,,310,rf-3(0)e10
DEA,,"Candelario,J+",545,24,9,34.3,46.3,55.8,3.6,5,+2,11,28,12,20.9,35.8,38.7,2.5,5,+2,11,3/- (16-6),D,13,D,D,1,,316,,212,,,,,1b-3e16 3b-2e12
DEA,,"Castro,H*",150,23,6,30.2,38.2,35.4,0,w,-7,15,19,1,37,40,44.6,0,w,-8,16,"4,5/11 (13-5)",E,13,D,C,3,,424,424,414,452,403,403,403,3b-4e14 lf-4(+1)e3 rf-4e3 ss-4e52 cf-4e3 1b-4e24 2b-4e24
DEA,,"Castro,W+",381,23,4,31.5,38.6,43.7,1.6,3,-4,0,30,0,32.1,35.1,46.7,2.3,3,-4,0,"*6,7/12 (15-9)",C,14,C,D,1,,,420,421,432,,,,ss-4e32 3b-4e21 2b-4e20
DEA,,"Cron,C",135,35,0,20.2,25.2,50.8,7.6,8,0,27,26,19,11.9,35.9,34.1,5.6,8*,0,25,-/- (---),E,11,D,D,4,,325,,,,,,,1b-3e25
DEA,,"Demeritte,T",88,64,3,15.6,20.6,19.7,1.3,2,+4,0,48,16,9.3,27.3,19.5,1.8,2*,0,0,-/- (---),E,14,D,D,1,,,,,,419,,419,rf-4(0)e19 lf-4e19
DEA,,"Goodrum,N+",476,26,10,32.1,43.1,56.4,1.6,1,+4,17,55,11,8.1,20.1,16.9,1.6,3,+4,13,"*5,6/- (18-12)",B,15,D,D,2,,,216,,205,,,,ss-2e5 2b-2e16
DEA,,"Greiner,G",149,47,16,4.4,23.4,17.6,4.4,8*,0,22,40,6,6.5,15.5,17.5,2.5,4*,0,25,-/- (---),E,10,D,D,2,402,,,,,,,,"c-4(0)e2,T-9(pb-4)"
DEA,,"Haase,E",51,50,9,10.4,19.4,16.3,2,2,+4,0,48,7,7.1,14.1,13.9,2.2,4,+4,0,-/- (---),E,10,D,D,2,416,,,,,,,,"c-4(+1)e16,T-6(pb-0)"
DEA,,"Jones,J",290,37,7,18,30,42,3,5*,0,5,41,6,20,31,35.2,2.3,3,-8,5,*3-6/- (15-11),C,15,D,D,2,,,,,,,206,,cf-2(0)e6
DEA,,"Paredes,I",295,17,7,34.5,43.5,38.5,0.4,0,-12,5,14,9,15.6,26.6,23.3,0.6,0,-8,5,6/- (13-6),D,10,D,D,1,,,,411,,,,,3b-4e11
DEA,,"Reyes,V+",605,16,8,32.2,41.2,35.2,0,w,-10,15,20,0,30.2,31.2,40.1,1.3,1,-10,17,"*5,6/- (18-12)",A,14,C,C,1,,,,,,203,303,203,cf-3(-1)e3 lf-2e3 rf-2e3
DEA,,"Romine,A",383,8,0,26.6,27.6,38,2.8,5,+11,19,41,0,16.5,17.5,23.6,1.3,2,+11,19,-/- (---),E,10,D,C,2,202,424,,,,,,,"c-2(+1)e2,T-2(pb-2) 1b-4e24"
DEA,,"Schoop,J",484,29,2,24.3,30.3,36.4,3.3,6,-14,27,22,2,23,29,36.4,3.5,6,-14,30,-/- (---),E,13,D,D,2,,,204,,,,,,2b-2e4
DEA,,"Stewart,C*",264,46,6,17.6,26.6,32,2.2,5,-5,13,33,7,14.1,24,27.6,3.4,6,-4,14,-/- (---),E,11,D,D,1,,,,,,509,,,lf-5(+3)e9
HOA,,"Altuve,J",533,14,12,18.4,32.3,27.1,1.5,2,-9,17,10,8,26.6,36.7,36.7,1.8,2,-14,20,*3-6/12 (15-10),B,14,D,C,2,,,314,,,,,,2b-3e14
HOA,,"Brantley,M*",472,12,4,24.4,29.4,31.9,0.2,0,+1,13,2,11,34.3,46.3,49.8,1.4,2,+1,11,2/- (20-6),D,11,D,C,2,,,,,,404,,,lf-4(-1)e4
HOA,,"Bregman,A",421,0,18,28.4,49.4,49.7,2.8,5,+1,7,8,22,14.1,39.2,27.4,2.3,3,+1,6,3/- (15-6),D,13,D,C,2,,,,108,,,,,3b-1e8
HOA,,"Correa,C",546,26,14,26.7,42.7,33.9,1,1,+2,12,23,7,20.5,29.5,32.9,2.8,4,+2,15,2/- (20-6),E,13,D,B,1,,,,,103,,,,ss-1e3
HOA,,"Diaz,A",153,14,4,15.4,20.4,20,0.8,0,-9,16,12,1,25.7,27.7,47.4,3.8,7,-8,16,-/- (---),E,13,D,C,3,,410,406,410,,416,,,2b-4e6 1b-4e10 3b-4e10 lf-4(+1)e16
HOA,,"Garneau,D",111,34,16,6.8,26.8,18.3,3.7,w,0,16,42,12,8.8,24.8,16.3,1.1,1,-3,17,-/- (---),E,10,C,D,2,416,,,,,,,,"c-4(+2)e16,T-20(pb-1)"
HOA,,"Gurriel,Y",590,0,4,26.2,32.2,48.6,4,7,-9,21,3,2,23.8,27.8,34.8,1.3,2,-9,22,3/12 (13-5),E,12,D,B,1,,103,,,,,,,1b-1e3
HOA,,"Jones,T",56,52,2,3.8,5.8,15.4,3.8,w*,0,33,37,6,17.8,23.8,31.8,2.5,3,-6,31,-/- (---),E,9,D,D,1,,406,,,,,,,1b-4e6
HOA,,"Maldonado,M",390,38,14,17,35,25.4,2,2,+9,8,36,16,7.2,27.2,13,1.8,3,+9,8,2/- (20-6),E,8,C,B,2,201,,,,,,,,"c-2(-3)e1,T-13(pb-2)"
HOA,,"Mayfield,J",120,18,7,11.4,21.4,16.8,1.2,1,-1,18,38,1,17.5,21.5,23.5,0.8,0,-1,19,2/- (20-6),E,12,C,D,1,,,306,306,412,,,,3b-3e6 ss-4e12 2b-3e6
HOA,,"Reddick,J*",529,19,9,25.9,34.9,45.7,1.5,1,+4,18,13,10,20.1,30.1,26.2,0.8,0,+4,19,2/- (20-6),D,12,D,C,1,,,,,,,,307,rf-3(0)e7
HOA,,"Springer,G",534,22,18,16,38,28.8,4,7,-8,8,13,15,20.9,39.9,38,4.4,7,-8,8,7/- (13-6),D,14,D,C,1,,,,,,,202,202,cf-2(-2)e2 rf-2e2
HOA,,"Straw,M",220,25,4,5.7,10.6,5.7,0,w,+8,0,24,9,25.4,35.5,30.3,0,w,+8,0,"*2-6,12/- (17-15)",A,17,D,D,1,,,,,424,,205,,cf-2(-1)e5 ss-4e24
HOA,,"Toro,A+",244,29,1,12.6,21.5,21.6,1.6,3,-5,8,23,2,11.2,21.1,16.4,1.3,2,-6,7,"4,5/- (13-6)",D,12,D,C,1,,421,415,410,,,,,3b-4e10 1b-4e21 2b-4e15
HOA,,"Tucker,K*",576,16,3,19.2,24.2,36.3,4.4,7,+11,5,27,6,24.3,32.3,45.5,2.5,3,+11,5,"*4,6/- (19-13)",A,15,D,C,1,,,,,,304,,404,lf-3(+1)e4 rf-4e4
KCA,,"Cordero,F*",106,36,10,5.1,17,11.2,0.7,2,+6,19,25,5,18.3,25.3,37.6,3,6,+6,20,*2-6/- (15-12),D,16,D,C,4,,,,,,325,325,325,cf-3(-1)e25 rf-3e25 lf-3e25
KCA,,"Dozier,H",454,35,23,14.7,38.6,26.1,1,1,-3,10,29,16,15.3,32.3,28.3,3.3,6,-8,12,3/- (20-6),C,14,D,D,2,,209,,415,,403,,303,1b-2e9 rf-3(+1)e3 lf-4e3 3b-4e15
KCA,,"Franco,M",618,7,9,21.5,31.5,32.9,2.5,4,+2,13,7,5,21.1,27.1,39.4,3,6,+2,13,2/- (20-6),E,9,D,C,0,,425,,319,,,,,3b-3e19 1b-4e25
KCA,,"Gallagher,C",150,12,10,18.9,30.9,36.1,3.2,w,-6,0,13,9,23.9,34.8,42.3,4,w,-10,0,-/- (---),E,9,C,C,3,303,,,,,,,,"c-3(0)e3,T-20(pb-1)"
KCA,,"Gordon,A*",458,17,5,17.8,27.8,25.1,2.2,w,-10,0,19,9,17,31,25.6,2,3,-10,0,2/- (20-6),D,11,C,C,1,,,,,,201,,,lf-2(-4)e1
KCA,,"Heath,N*",42,20,4,6.6,15.6,9,0,w,+4,0,49,12,13.6,30.6,17.6,0,w,+4,0,"*2-9,11/10,12 (15-9)",B,17,B,C,1,,,,,,,213,,cf-2(+1)e13
KCA,,"Lopez,N*",480,11,10,15.2,27.2,20.2,1.6,w,-1,2,11,7,20.3,29.3,29.8,0,w,-1,2,"*3-6/8,9 (15-5)",D,14,C,B,1,,,106,465,305,,,,2b-1e6 ss-3e5 3b-4e65
KCA,,"McBroom,R",222,42,5,20.5,27.5,43.3,6.8,8,-9,13,39,4,20.1,26.1,27.7,1.5,2,-12,18,-/- (---),E,11,D,D,1,,419,,,,404,,,1b-4e19 lf-4(+1)e4
KCA,,"Merrifield,W",683,1,5,29,36,40.8,0.6,1,-9,7,8,5,26,33,34.9,0.9,1,-9,7,"*2-5,12/- (18-13)",A,15,D,C,0,,430,230,,,303,303,203,rf-2(-2)e3 cf-3e3 2b-2e30 lf-3e3 1b-4e30
KCA,,"Mondesi,A+",612,24,0,24.8,25.8,47.9,3.5,6,-7,14,46,1,21,23,30.4,0.3,0,-7,14,"*2-7,12/- (18-15)",AA,17,A,C,1,,,,,112,,,,ss-1e12
KCA,,"O'Hearn,R*",319,51,6,16,23,28,0.8,1,+10,19,35,14,11.8,26.8,22.8,2,3,+9,28,-/- (---),E,10,D,D,2,,414,,,,,,,1b-4e14
KCA,,"Olivares,E",264,21,3,17.6,22.6,27.1,1.4,2,-9,6,26,3,24.5,29.5,32,1.2,2,-10,6,"*2-8,10/9,11 (15-9)",C,14,D,C,1,,,,,,312,312,312,cf-3(-1)e12 rf-3e12 lf-3e12
KCA,,"Perez,S",413,23,0,20.5,23.5,42.9,5,8,-6,0,18,0,31.2,34.2,54.6,4.6,8,-10,0,2/- (20-6),E,8,D,B,3,101,425,,,,,,,"c-1(-3)e1,T-1(pb-0) 1b-4e25"
KCA,,"Soler,J",418,37,15,19.1,37.1,37.3,2.3,5,-3,17,42,17,13.4,33.3,31.5,4.8,8,-3,11,2/- (20-6),E,12,D,C,2,,,,,,,,408,rf-4(0)e8
KCA,,"Starling,B",164,43,10,4.6,15.6,11.7,2.3,w,+4,0,47,4,17.2,22.2,20.3,0,0,+5,0,3/- (20-6),D,14,D,D,2,,,,,,,202,302,cf-2(-1)e2 rf-3e2
KCA,,"Viloria,M*",60,39,16,21.2,40.2,23.8,0.2,1,-7,0,37,3,15.1,21.1,20.7,0,0,-7,0,-/- (---),E,9,D,C,2,405,,,,,,,,"c-4(-1)e5,T-20(pb-3)"
LAA,,"Adell,J",343,55,4,13.9,19.9,23.5,2,3,-6,21,49,4,13.1,19.1,18.1,0.2,0,-6,17,"4-6/10,12 (13-6)",D,15,D,D,1,,,,,,,414,414,rf-4(0)e14 cf-4e14
LAA,,"Barreto,F",72,62,2,5.4,13.4,10,1.5,1,+4,0,58,2,3.9,11.9,6.8,0.9,1,+4,0,*4/- (20-11),C,15,D,D,2,,,441,430,488,413,,,2b-4e41 ss-4e88 3b-4e30 lf-4(+2)e13
LAA,,"Bemboom,A*",145,40,9,5.6,18.6,13.9,2.8,2*,0,0,26,10,17.3,31.4,26.2,2.3,1,-9,0,"4,6/10 (13-6)",E,10,C,D,2,402,,,,,,,,"c-4(-1)e2,T-3(pb-0)"
LAA,,"Fletcher,D",580,0,10,30.6,41.6,42.8,1.4,1,+6,13,0,6,30.4,37.3,44.4,3.4,w,+6,14,5/- (16-6),C,13,D,B,2,,,211,224,318,,,425,ss-3e18 2b-2e11 3b-2e24 rf-4(+2)e25
LAA,,"Ohtani,S*",428,38,21,14.3,36.3,23.4,1.4,0,-5,9,33,10,18,29,37.2,4.6,4,-5,11,"*4,5/- (19-12)",A,16,D,C,1,,,,,,,,,
LAA,,"Pujols,A",419,11,1,18.7,21.7,33.3,3,5,-5,20,7,4,19.6,25.6,30.2,2.3,4,-4,20,-/- (---),E,8,D,B,1,,413,,,,,,,1b-4e13
LAA,,"Rendon,A",542,9,24,18.9,46.8,38,4.3,7,-4,22,7,19,23.5,46.5,35.4,2.5,3,-5,25,2/- (20-6),D,13,D,D,1,,,,110,,,,,3b-1e10
LAA,,"Rengifo,L+",260,21,4,4.8,10.8,8.6,1.1,2,-1,18,23,20,15,37,27.4,3.3,w,-6,14,"*2-5,12/- (16-12)",B,14,C,C,2,,,312,416,388,,,,2b-3e12 ss-3e88 3b-4e16
LAA,,"Simmons,A",328,0,7,26.2,34.2,40.9,3.6,w,+2,29,0,4,29.4,34.3,40.5,1.2,w,+2,30,5/- (17-6),C,12,D,B,2,,,,,121,,,,ss-1e21
LAA,,"Stassi,M",255,18,14,14,30,44.5,9.1,8*,0,27,32,12,13,27,23.4,2.5,4,-5,28,-/- (---),E,10,D,C,3,201,,,,,,,,"c-2(+2)e1,T-3(pb-0)"
LAA,,"Thaiss,M*",61,35,18,9.8,27.8,11.9,0.7,0,-6,25,31,13,16.1,29.1,26.2,2.7,1,-8,26,-/- (---),E,10,D,D,1,,410,565,537,,525,,,1b-4e10 2b-5e65 lf-5(+1)e25 3b-5e37
LAA,,"Trout,M",542,32,24,16.7,44.7,29.6,3.5,5,-8,0,23,24,22.3,50.3,52.3,8,8,-6,0,*4/- (19-6),B,16,D,D,1,,,,,,,204,,cf-2(0)e4
LAA,,"Upton,J",408,45,8,8.6,21.5,27.3,6,8*,0,19,33,12,13.5,30.5,26.9,3.4,5,+3,25,7/- (13-6),D,12,D,D,1,,,,,,409,,,lf-4(+1)e9
LAA,,"Walsh,J*",275,27,0,27.6,29.6,43.3,3.6,4,-5,0,27,5,18.9,26,45.7,7.3,8,-5,0,-/- (---),E,12,D,C,1,,307,,,,,,415,1b-3e7 rf-4(0)e15
LAA,,"Ward,T",255,36,7,21.4,30.4,31.8,1,0,+4,7,31,13,21.1,36.1,28.1,0.3,0,+4,6,*5/- (19-6),C,13,D,D,1,,430,,,,308,,308,rf-3(+1)e8 lf-3e8 1b-4e30
LAN,,"Barnes,A",248,26,13,24,41,30.8,2.3,w,-9,0,26,17,13.9,34.9,23.5,2,w,-6,0,*4/- (20-6),B,13,C,D,2,201,,,,,,,,"c-2(0)e1,T-14(pb-0)"
LAN,,"Beaty,M*",138,10,0,9.8,14.8,17.5,0.1,0,+6,32,19,0,23,28,32.8,2.3,4,+6,32,-/- (---),E,13,D,C,1,,414,,,,404,,,1b-4e14 lf-4(+1)e4
LAN,,"Bellinger,C*",588,19,16,16.4,33.4,30,4,6,-4,12,12,16,20.5,37.5,41.8,5.4,8,-4,12,*6/- (19-11),B,15,D,C,1,,204,,,,,104,,cf-1(-1)e4 1b-2e4
LAN,,"Betts,M",603,14,19,14.3,35.3,21.1,0.9,1,+10,3,5,13,23.8,38.8,52.3,7.3,8,+11,4,*7/- (19-12),A,17,D,C,1,,,441,,,,,113,rf-1(-4)e13 2b-4e41
LAN,,"Hernandez,E",377,16,6,15.8,23.8,24.1,2,3,+8,25,23,6,15.8,23.8,28.9,2,2,+8,25,"4,5/- (3-1)",E,14,D,D,1,,420,234,,407,201,301,201,2b-2e34 rf-2(-1)e1 lf-2e1 cf-3e1 ss-4e7 1b-4e20
LAN,,"Lux,G*",175,44,8,12,20,14.4,0.5,0,-8,0,27,8,15.7,23.6,26.4,2.7,5,-8,0,*7/- (18-11),C,14,D,D,1,,,330,,,,,,2b-3e30
LAN,,"Muncy,M*",575,26,18,17.3,38.3,28.1,3.4,6,-10,6,31,24,6.2,33.2,17.8,3.6,6,0,6,2/- (20-6),D,13,D,D,1,,316,417,411,,,,,1b-3e16 3b-4e11 2b-4e17
LAN,,"Pederson,J*",335,20,3,15.4,24.5,22.6,1.2,w,+1,29,28,10,12.5,28.5,33.5,6,8,+1,21,3/- (20-6),C,11,D,C,1,,,,,,303,,303,lf-3(-1)e3 rf-3e3
LAN,,"Pollock,A",542,17,0,27,29,64.1,10.1,8,-7,25,24,5,18.6,25.6,34,3.8,6,-8,22,"*2-6,12/- (15-12)",C,13,D,D,1,,,,,,304,304,,lf-3(+1)e4 cf-3e4
LAN,,"Rios,E*",212,42,7,18.6,29.6,57.5,11.3,8,0,19,44,1,15.8,20.8,37.7,5.3,8,0,21,2/- (20-6),E,12,D,C,1,,406,,421,,,,,3b-4e21 1b-4e6
LAN,,"Seager,C*",582,21,5,25.1,32.1,39,3.4,5,-10,26,11,7,30.8,39.8,54.3,4.4,8,-10,25,2/- (20-6),E,12,D,C,1,,,,,331,,,,ss-3e31
LAN,,"Smith,W",324,20,19,16.6,38.6,33,2.8,3,+9,11,21,19,13.6,35.6,34.5,6,8,+9,10,-/- (---),E,11,D,B,3,401,,,,,,,,"c-4(-1)e1,T-2(pb-0)"
LAN,,"Taylor,C",522,29,18,10.6,30.6,20.4,1.5,2,+2,8,34,11,23.1,36.1,38.1,1.5,2,+3,9,"*6,7/12 (15-9)",C,15,B,D,1,,,317,,240,208,308,,ss-2e40 lf-2(0)e8 2b-3e17 cf-3e8
LAN,,"Turner,J",420,14,17,18.7,42.7,29.7,2.1,2,+6,6,5,11,29.7,47.7,40,1.2,0,+6,7,2/- (20-6),E,11,D,C,2,,,,422,,,,,3b-4e22
MLN,,"Arcia,O",481,12,14,14.8,29.8,33.5,3.8,w,-1,28,12,4,24.9,29.9,32.5,1,1,-12,32,"*2-5,12/- (15-11)",C,14,D,C,1,,,,,210,,416,,ss-2e10 cf-4(+1)e16
MLN,,"Braun,R",358,13,11,16.7,29.7,26.5,2.8,5,+1,29,20,2,19.5,23.5,37.6,3,5,+1,33,*4-6/- (15-11),C,12,D,D,2,,,,,,,,411,rf-4(0)e11
MLN,,"Cain,L",52,0,14,40.8,54.8,48.3,2,2,+4,28,8,3,26,29,42.3,2.8,w,+4,33,3/- (20-6),D,16,D,C,1,,,,,,,102,,cf-1(-2)e2
MLN,,"Gamel,B*",317,36,17,28.1,46.1,44.1,1.5,w,-4,10,34,11,20.9,32.9,34.4,1.5,2,-4,15,"2-5,12/10,11 (13-5)",D,13,D,D,2,,,,,,301,401,301,rf-3(+2)e1 cf-4e1 lf-3e1
MLN,,"Garcia,A",513,26,15,24,43,36.5,0.5,0,+11,6,24,4,18.9,26.9,23.4,0.5,1,+12,7,"*2-5,11,12/9 (15-6)",C,13,D,C,1,,,,,,,308,308,cf-3(-2)e8 rf-3e8
MLN,,"Gyorko,J",331,24,23,19,43,50.8,10,8,-4,13,34,9,19.2,29.2,30,3.6,6,-12,22,2/- (20-6),E,10,D,D,1,,407,,416,,,,,1b-4e7 3b-4e16
MLN,,"Healy,R",19,47,2,12.3,14.3,26.4,3.7,7,-3,0,12,1,12.8,13.8,29.7,3.3,6,0,0,-/- (---),E,10,D,D,1,,410,,,,,,,1b-4e10
MLN,,"Hiura,K",611,46,5,19.4,31.4,22.5,1,1,-14,20,39,4,16.4,27.4,38.2,5.6,8,-4,18,"*2-5,12/- (16-12)",B,13,D,D,1,,,421,,,,,,2b-4e21
