Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Kristian Robinson","ARI","RF","A",43,0,,"55",2022,"High","20.1833333","6' 3""","210","R","R",2017,"J2","ARI",2550000,"Bahamas","The pandemic threw a monkey wrench into the cogs of the entire planet, let alone the developmental trajectory of baseball prospects. Kristian Robinson is among the most talented and prominent of those affected. After parts of three years in the warmth and security of the complex, it was time for Robinson to go to full-season ball and perform, and start to reinforce the tools- and frame-based excitement he had generated as a teenager. Instead Robinson spent another year sequestered in Scottsdale, too green to be part of the D-backs official alternate site group until he was added later in the summer. By the time Fall Instructional League rolled around and scouts were able to see him, Robinson looked rusty. He took poor at-bats and struck out a lot while missing hittable pitches in the zone.  But if any player, at any level were to struggle for a couple weeks, it'd easily be dismissed as a brief slump or tough-luck dry spell rather than a true regression, and that's even before considering the individual player's context. Robinson's 2020 was supposed to be about making adjustments to full-season pitching and getting his swing to a place that would allow for more in-game power. Instead it meant an entire year away from competitive baseball, a whole year away from home, an unspoken indication from the org that he had been passed by Corbin Carroll (who was invited to the alt site group immediately), and more monotonous developmental ball during instructs. 
Let's not lose sight of the foundation here: Robinson is built like a young Larry Fitzgerald, and he entered pro ball without the same kind of performance track record as most of his Dominican peers but still received the fourth-largest bonus in his signing class because his tools are so huge. In 2019, he hit 50% of his balls in play with an exit velo of 95 mph or more, which is up in Joey Gallo/Nelson Cruz territory. It is not normal to see a person like this on a baseball field, and Robinson has uncommon potential because of it. The questions that need answering here are the same as last year: Can Kristian turn a suitable swing foundation into one with impact, and can he perform against more advanced pitching? He'll hit 35-plus bombs every year if he can. For now, he fits in the Top 100 continuum near the 55/50 FV line, along with several other prospects of extreme variance and ceiling. <em>(Alternate site, Fall Instructional League)</em>","U24cWc3kkog","sa3006884"
"Austin Martin","TOR","CF",,44,2,,"55",2022,"Med","21.9","6' 0""","185","R","R",2020,"Draft","TOR",7000000,"Vanderbilt","This is a good time to remind readers that present hit tool grades are standardized. Martin's performance, especially late during his 2019 sophomore season, put him at or near the top of the 2020 draft class. He slashed .392/.486/.604 that year and, similar to but perhaps not as emphatically as Adley Rutschman the year before, asserted himself as his draft class' top college hitter. Then Martin came out for the shortened 2020 campaign and though his numbers (against mostly non-conference pitching) were strong, he did not look elite from an eyeball scouting perspective. He wasn't running as well as he had the year before, and he had issues throwing the ball from third to first base, necessitating a move to center field. The industry didn't have much time to assess his routes and instincts there before the shutdown, and his average early-season speed created some skepticism. During his career at Vanderbilt, Martin mostly played third (61 games), but also saw time in center (25 games, half of those as a freshman), and at first (22) and both middle infield spots (14). He continued playing all over the field during his post-draft time at the Blue Jays' alternate site. The low-end pre-draft opinions of Martin feared he'd end up in left field and that he'd be without enough power to support an everyday profile there. I think he's likely to play a couple different positions at a passable level, at least one up the middle (either second or center), and the portion of his offense that drove his amateur stock, namely his elite plate discipline and feel for contact, will carry him to production on par with an above-average regular, à la Ben Zobrist. Martin's swing decisions are fantastic, and the combination of selectivity and his gorgeous, natural swing loft give him an excellent chance of hitting for some power despite middling raw juice. <em>(Alternate site)</em>","lj0PqRkUMCs","sa3014454"
"Alek Thomas","ARI","LF","A+",45,0,,"55",2022,"Med","20.8027777","5' 11""","175","L","L",2018,"Draft","ARI",1200000,"Mount Carmel HS (IL)","There is a difference between a prospect being short and a prospect being small. Alek Thomas' frame reads as Lilliputian on paper, but in reality, he's quite strong and has one of the more athletic swings in all of the minors. Since he was drafted, Thomas' swing has evolved to mirror the intensity of prospect-era Cody Bellinger's, and sometimes Thomas swings so hard that he looks like he's going to corkscrew himself into the ground. His leg kick is a little bigger and slower now than it was when he was an amateur and first-year pro, and his stride is longer, which might help him avoid cutting down at the ball so much. The change to his swing and his approach -- Thomas was once an all-fields spray sort of hitter but was trying to pull the ball constantly during my instructs look, though maybe he was just bored -- could allow for more in-game power. 
The foundation of Thomas' prospectdom was his advanced baseball acumen and feel for contact, both of which were surprising for a cold weather prospect. But he was good enough to play in several upper-class events as an underclassman during his amateur career, and he performed in those consistently. He tracks pitches well and moves the bat head around the zone, and those underlying skills as well as Thomas' athleticism and (unlike Bellinger) shorter levers help enable him to take these new, huge hacks without striking out a ton. Some underlying 2019 metrics indicate Thomas indeed needed a swing tweak to unlock some in-game pop. He averaged just shy of 90 mph off the bat in 2019 and about 48% of his balls in play came off at 95 mph or above, but he ran a groundball rate of nearly 55% and some proprietary, Statcast-y expected stats I've sourced indicate he overperformed on paper in 2019. But, as I tend to do, I'm betting on a) athleticism and b) feel to hit, both of which Thomas has shown for nearly a half-decade now. <em>(Alternate Site, Fall Instructional League)</em>","Bo9Wh47-Wm4","sa3006892"
"Quinn Priester","PIT","SP","A-",46,0,,"55",2024,"High","20.4222222","6' 3""","210","R","R",2019,"Draft","PIT",3400000,"Cary-Grove HS (IL)","Priester looked so incredible during instructs that his name was often brought up unprompted during my early-offseason name-gathering for the Top 100.  He showed up in Bradenton sitting 94-97, continuing the climbing velocity trend he began to exhibit throughout his senior spring in 2019. He went from showing a lot of 91-94 during his pre-draft summer to sitting comfortably in the mid-90s, then settled back into the 91-95 range the summer after Pittsburgh made him the first high school arm selected in 2019. 
He added a considerable amount of strength over the last year and a half, and has also made some subtle mechanical changes. His glove has migrated north during his gather, his arm swing isn't as long, he's clearing his front side better, and he lands with more control and balance in his blocking leg. I'd understand some hesitancy to alter one's evaluation of someone like this based on the context of the look, since Priester had most of the year off and came out throwing just a few innings at a time in a very controlled environment, but because the uptick in velocity has been coupled with physical and mechanical changes, I'm more inclined to believe it's real. And perhaps I've buried the lede here: Priester has one of the nastier curveballs in the minors, and maybe in all of baseball. He had feel for creating shape on his breaking ball in high school but it wasn't nearly as hard as it is now, nor was its movement as sharp, vertical, and vicious. It comes out of his hand high and then crests and drops with the curvature and angle of a waterfall of seams and leather. It has Adam Wainwright's curveball's shape but is harder, and Priester is going to use it to embarrass a lot of big league hitters. He had some changeup feel in high school and now that he's wielding huge arm strength, that has backed up a little bit. I'm betting that will improve as he gets starter's innings in 2021. His delivery is still somewhat violent and arm-y but it's better now than in high school, and he has less command-based reliever risk than other pitchers toward the back of the Top 100. Those who read these lists consistently know that what I'm about to say is not often seen on these electronic pages: Priester has top-of-the-rotation ceiling. <em>(Fall Instructional League)</em>",,"sa3011297"
"Drew Waters","ATL","CF","AAA",47,0,,"55",2021,"High","22.1305555","6' 2""","183","S","R",2017,"Draft","ATL",1500000,"Etowah HS (GA)","Waters' epicurean approach makes him a scary prospect. I watched him see a total of nine pitches in two games leading up to the 2019 Premier 12 tournament. It only became a problem during Waters' late-2019 jump to Triple-A, when he was still only 20 years old. He also has 55-to-60 grade tools across the board and, until that month of struggles, had performed since high school. 
His sweet lefty swing, bat speed, and underlying data indicate an elite ability to manipulate the bat as well as relevant power. One club told me his percentage of balls hit with a 95 mph-plus exit velo and a launch angle between 10 and 30 degrees (i.e. hard hit line drives and fly balls) was in the top 3% of the entire minor leagues. And, again, that came as a 20-year-old in the upper minors. The window dressing is plus speed and a plus arm. Some teams were and remain turned off by Waters' loud personality, while others just see him as a colorful guy. The broad strokes skills comp here is a version of Starling Marte. The return of Marcel Ozuna makes Waters a potential mid-summer trade candidate. <em>(Alternate site)</em>","lNnHDBf17DI","sa3004378"
"Jazz Chisholm","MIA","SS","MLB",48,0,,"55",2021,"High","23.0444444","5' 11""","184","L","R",2015,"J2","ARI",200000,"Bahamas","Chisholm has whiffed in 30% of his career plate appearances, partially a product of a sophomoric approach to hitting and otherwise due to him arguably being too explosive for his own good. But that twitch and violence, Jazz's awesome ability to uncoil his body from the ground up and rotate with incredible speed, the natural lift in his swing -- many of the things that make him whiff-prone also make him exciting, and give him a chance to be an impact offensive player who also plays a premium defensive position. His skillset is somewhere on the Chris Taylor/Javier Báez continuum of strikeout/power offensive profiles at a premium defensive position, though the low-end of his potential outcomes looks like Freddy Galvis: a plus-gloved shortstop who hits for power, but with an OBP around .300. I wanted to see another year of plus walk rates (Chisholm walked 11% of the time in 2019, up from a career 8%) before declaring that to be a true part of the skillset, but the pandemic made that impossible. His power is real (a 91.4 mph average exit velo would put him in the top 40 of the majors, while 48% of his balls in play being over 95 mph would be in the top 30), the lift is there (he has a career groundball rate in the low 30% range and a 17 degree average launch angle according to a source), and Jazz is athletic enough to be a plus defender at shortstop. The contrast between Chisholm and the ultra-steady Miguel Rojas is very stark, and it will be interesting to see how Miami handles the dynamics there as they're coming off a (diluted) taste of the postseason. <em>(Alternate site, MLB)</em>","ir2kVOIT4mE","20454"
"Jose Garcia","CIN","SS","MLB",49,1,,"55",2021,"High","22.8666666","6' 2""","180","R","R",2016,"J2","CIN",5000000,"Cuba","The Reds weren't getting much offense from their middle infield this year, so in late-August they decided to promote Garcia, who had a hot spring training but was still the age of a college player, and hadn't seen pro time above A-ball (though I think you could classify his Fall League coming out party as such). Garcia struggled in his initial 24-game, 68-plate appearance big league trial, hitting just .194 and striking out 38% of the time. The issue that plagued him was the same one he had in the minors: an inability to recognize breaking stuff. He paid for it more consistently against big league pitchers, who can execute consistently and exploit such a weakness. 
But let's not lose sight of the pretty incredible collection of tools here. Garcia has above-average raw power right now and I think he has the frame to add another half grade as he enters his mid-20s. He's also a fantastic shortstop defender despite middling speed and range (at least in 2020) because he has plus-plus hands, actions, and arm strength. He's going to backhand balls in the hole and throw out guys few other shortstops in baseball would be able to hose. Also remember that Garcia is about the age of the college players who were just drafted, and it would be ridiculous to expect even someone like Spencer Torkelson to skip Double- and Triple-A and immediately succeed. I think Garcia is going to end up punishing mistakes on the inner half with power and swinging at inside breaking balls away from him en route to a power/defense-driven everyday role, and he has long-term All-Star ceiling if his approach improves. <em>(Alternate site, MLB)</em> ","oe9MB7KStTA","23378"
"Edward Cabrera","MIA","SP","AA",50,0,,"55",2021,"Med","22.8444444","6' 4""","217","R","R",2015,"J2","MIA",100000,"Dominican Republic","The Marlins have been pretty cagey about what sort of ""infection"" ultimately ended Cabrera's work at the 2020 alternate site. Before he was shut down, though, his alt site pitch data indicated his changeup might have become an elite weapon. There are already folks in baseball who prefer Cabrera to fellow Marlin Sixto Sánchez because his breaking ball has more two-plane sweep than Sixto's lateral slider. Like Sánchez, Cabrera's fastball spin axis resides in a bat-missing Bermuda Triangle and it doesn't generate swings and misses even though it's very hard. But there's almost no strike-throwing relief risk here, and Cabrera has thrown really hard for several years in a row and has a legitimate out-pitch in his changeup. He's likely to contribute to the big club in 2021 either as yet another young rotation piece or as a three-pitch relief weapon with huge stuff, which Miami sorely lacked at the back of last year's bullpen. <em>(Alternate site)</em>",,"sa920423"
"Jasson Dominguez","NYY","CF",,51,1,,"50",2025,"High","18.0277777","5' 11""","215","S","R",2019,"J2","NYY",5100000,"Dominican Republic","At a certain point in time, before he began playing actual games, we only knew as much about Wander Franco as we currently do about Jasson Dominguez. At a certain point in time, the same was true of Kevin Maitan. That is the range of potential outcomes here, as we still only truly know about Dominguez's showcase tools (what it's like to watch him take BP and run, both of which are scintillating) and very little about how he'll perform against pro pitching. Because of how early and how covertly the Yankees and Dominguez agreed to a deal (New York spent all but about $300k of its initial $5.4 million international pool on him), few scouts have seen him at all, and even fewer have seen him against quality live pitching, although that number has started to creep up as he participates in live BPs in the Dominican Republic. The mystery and intrigue, rare for elite, contemporary teenage athletes because of the prevalence of social media video, and those slick Yankees pinstripes have created a fever pitch of expectation for Dominguez in both the real world and the baseball card finance bro space. 
Last year, when Dominguez was close to near the top of the 50 FV tier (where he'll remain), one scouting director told me he is impossible to evaluate for a list like this, while a former GM told me he was too low. It's hard to find switch-hitters with power like this, let alone ones who already have usable swings from both sides of the plate at this age. Dominguez got very jacked in 2020 and looked more like a Mr. Universe competitor than a baseball prospect. Not everyone digs this, and it's discussed with the same tone of captivation and alarm as Zion Williamson's size and explosion. There's no precedent for someone this age being as big and strong as Dominguez already is, but nobody is sure what that means for his long-term athletic viability. I'm probably more comfortable ranking someone like this highly than a GM would be acquiring him for equivalent value, but it's possible that, a year from now, Dominguez will have become unacquirable. He's the highest-variance prospect in baseball, and maybe the highest-variance athlete in sports. <em>(DR Instructional League)</em>","x6cbWcITk7Q","sa3014696"
"Nolan Jones","CLE","LF","AA",52,1,,"50",2021,"Med","22.7777777","6' 4""","220","L","R",2016,"Draft","CLE",2250000,"Holy Ghost Prep HS (PA)","A high school shortstop who has almost exclusively been a third baseman in pro ball, Jones played first base and both outfield corners during Fall instructs. Defensive versatility is valuable on its own, and this was also a logical trial given Cleveland's situation at the corner spots. Carlos Santana has departed, the club's outfield was below replacement level in 2020, and one of the better hitters on the planet is already the club's third sacker. But regardless of the circumstance, there is a contingent of scouts who think Jones has already outgrown third base. He's stretched two additional (listed) inches since high school and now stands in at a long-legged 6-foot-4. Though his ridiculous arm enables him to make some tough plays, Jones' size has an impact on his defensive footwork and mobility. 
But ultimately, it doesn't really matter where Jones plays, because he has a special offensive skill set that will likely profile anywhere. Not only does he have big raw power, but Jones has perhaps the best strike zone discipline in the entire minor leagues. He ran a 20% walk rate across a 100-game sample as a 21-year-old at Hi-A, then posted a 14.7% rate at Double-A (he had turned 22 by then) to wrap up 2019. Jones has the highest walk rate (17.9%) the last two years among minor leaguers who have reached at least Double-A, and there are only five other hitters his age or younger who are within three percentage points of him. That patience combined with high-end raw power (he has the fourth-highest max exit velo among prospects on The Board) that Jones hasn't yet totally tapped into should enable him to be a cleanup-hitting force. 
There's some platoon-y, strikeout risk here. Jones struck out a lot his short Double-A trial and then in the 2019 Arizona Fall League. He's not good against left-handed pitching and will need to be dropped in the lineup against lefties, and sometimes come off the bench. But again, Jones has elite feel for the zone and huge power. His skillset is a scaled down version of Adam Dunn's or Joey Gallo's, and quite similar to Pat Burrell's (other than the handedness). <em>(Alternate site, Fall Instructional League)</em>","S1tP3qEVSW8","sa917941"
"Jeter Downs","BOS","2B","AA",53,1,,"50",2022,"Med","22.5555555","5' 11""","195","R","R",2017,"Draft","CIN",1825000,"Monsignor Pace HS (FL)","Downs has been a polished, advanced-for-his-age hitter dating back to high school and has a career .276/.362/.526 line in pro ball up through Hi-A (and an insignificant 12 game Double-A run). His hands work in a circle that enables him to turn on and lift pitches down-and-in, and helps him scoop breaking pitches with lift, but also in a way that causes his bat head to drag through the zone a bit. After watching Carter Kieboom struggle with a similar-looking swing, I've begun to wonder if Downs will be tied up by big league velocity in on his hands. But the closer to the bottom of the zone pitches are, the more Downs punishes them with pretty good pop to all fields. He's going to pepper the gaps and do a fair amount of damage to right-center field. 
Last year, I projected Downs to be a second baseman based on how thick his lower body already was at age 21, and there are folks in the industry who still think that's the case, but at the alternate site, I thought he looked agile enough to stay at short and be passable in the same way Xander Bogaerts kind of has been, especially on balls in play to his left and in on the grass. I think Downs can be positioned defensively so that he's making most of his plays in that direction rather than having to go into the hole and backhand balls, which he's less able to do. His average exit velo was 88 mph in 2019, and there's not a lot of room on the body, so that might be all, but he strikes the ball hard and with consistency, and that's typically enough to be an everyday player at one of the middle infield spots. <em>(Alternate site)</em>","613T5IEJ7rk","sa3004615"
"Triston Casas","BOS","1B","A+",54,2,,"50",2023,"Med","21.0888888","6' 4""","252","L","R",2018,"Draft","BOS",2552800,"American Heritage HS (FL)","You get Anthony Rizzo and Joey Votto vibes from Casas' style of hitting as he tries to combat his lever length by choking up on the bat (even more so when he's in a two-strike count). Like Votto, he has also played with the depth of his batting stance's crouch; Casas became more upright throughout 2020 and now has a bigger, more athletic move forward in the box. And he does have a pretty advanced approach and ball/strike recognition for someone his age, and also has enough pure strength to hit balls with power even though his approach appears conservative on its face. Because he's such a big guy with long, left tackle arms, his swing does have a hole up-and-in that will be difficult to close. But the overall package is still Top 100-strong even though Casas is a 1B/DH without a long, robust pro statistical track record (his 2019 exit velos are unexceptional) because he looks the part and has an unusually long amateur performance resume. <em>(Alternate site, Fall Instructional League)</em>","900T_ozI7iY","sa3007634"
"Joey Bart","SFG","C","MLB",55,0,,"50",2021,"High","24.1722222","6' 3""","238","R","R",2018,"Draft","SFG",7025000,"Georgia Tech","Is Bart gonna Zunino? The synchronicity is uncanny. A college catcher, whose profile is driven by power and defense, goes in the top five but is rushed to the big leagues before his bat is ready, which has potential long-term consequences for his upside. Bart had only seen about a month's worth of at-bats above A-ball before the Giants decided to promote him. He did very well in those 32 games, hitting for huge power at Double-A during the final few weeks of 2019, then for the first two weeks of the 2019 Fall League, until a fractured his right thumb ended his season. In that narrow window of health we saw glimpses of Bart's power with physically fit phalanges. Whether he'll get to his power in games is now in doubt since Bart struck out in 42% of his big league plate appearances in 2020. He was both chasing and missing in the zone at higher rates than the big league average. This comes after 550 minor league plate appearances with a paltry 6% walk rate. Should we have seen an approach red flag here? Bart walked at a 10% clip in college.
With new questions about his bat, Bart's defensive tools become the foundation of his skillset. He's Mike Alstott's size but with the lateral quickness and ground game of a small-framed catcher. He's quick out of his crouch and throws accurate lasers to second base. He also has field general qualities: he's a rousing, vocal leader at times, a calming presence at others. Still likely to be an everyday catcher, Bart's ceiling is now dictated entirely by how much of his power he can get to in games. <em>(Alternate site, MLB)</em>","Cozg_YSvag0","21524"
"Josh Lowe","TBR","CF","AA",56,5,,"50",2022,"High","23.0416666","6' 4""","205","L","R",2016,"Draft","TBR",2600000,"Pope HS (GA)","There's no change to Lowe's report since he was sequestered at the alt site all year, which just wasn't good at replicating an environment that can tell us about the things relevant for Lowe's stock, including the balance of his walks and strikeouts, his defensive progression in center field, and if the shift in his batted ball profile that seemed to occur in 2019 (and that I'm betting is very meaningful) is real. From last year: Things may finally be starting to gel for Lowe, who has had tantalizing tools since high school. He was a power/speed prep bat without a clear position, but most of the amateur half of the industry assumed he'd be able to play center field if not shortstop or third base, where he played in high school. He quickly moved to the outfield and has played almost exclusively in center since 2017. He isn't great there, but most of Lowe's other abilities have been slow to develop, so it's possible his feel for the position will come later, too. For instance, Lowe has big all-fields power but has been strikeout prone since his prep days. Once he began playing pro games and generating data, however, it became clear that, despite the whiffs, he had a great idea of the strike zone. The raw power didn't really show up in games until Lowe's batted ball profile began to shift in 2018. His groundball rates were in the mid-40% range until that year but slowly began shifting downward. Then Lowe had a breakout statistical 2019 as a 21-year-old at Double-A. 
He's always going to strike out, but he's also probably going to keep walking a lot, especially now that the power is a real threat. It's pretty important that he stay in center field to take some pressure off of the hit tool. If he can do that, he'll be an everyday player. <em>(Alternate site)</em>","FpeotjI5qYU","sa917926"
"Emerson Hancock","SEA","SP",,57,0,,"50",2022,"Med","21.7138888","6' 4""","213","R","R",2020,"Draft","SEA",5700000,"Georgia","This is Hancock's pre-draft report since most of his 2020 pro activity consisted of side sessions and bullpens. His first start of the 2020 college season was rocky, but Hancock's trademark stuff was present all spring, a comforting fact after he missed some of 2019, including the whole summer, with arm soreness. He sits in the mid-90s and will flash a plus changeup and slider, both of which live in the 82-85 mph range. He has the prototypical power pitcher's build, delivery, and stuff, he throws strikes and had a 30-to-2 strikeout to walk ratio in his final three starts of 2020 after that rough opener. He's now in the hands of a Mariners dev group that has helped several of their recent high draft picks improve. <em>(Alternate site)</em>","LmWTHBZA-20","sa3014456"
"Triston McKenzie","CLE","SP","MLB",58,2,,"50",2021,"Med","23.5416666","6' 5""","165","R","R",2015,"Draft","CLE",2300000,"Royal Palm Beach HS (FL)","McKenzie's big league debut was his first competitive game since 2018 due to multiple injuries (he missed the spring of 2018 with upper back issues, then did not pitch in 2019 due to lat and pec strains) and the global pandemic. Not only was he healthy, but he was throwing harder, at least for a little while. His fastball sat in the 90-93 range in 2018 and was 90-94 this spring as he prepared for the season. Then McKenzie was living in the 93-96 range in his first start and leaned on the fastball in big spots, often shaking off Roberto Pérez to get to it. Over the next few weeks, McKenzie's velocity dropped in each subsequent start before it spiked again in a long relief role at the very end of the season. You could argue the injuries and fluctuating velocity are indications that the long-held industry apprehension regarding McKenzie's durability has turned out to be correct. But it also would have been unreasonable to expect any pitcher to hold their velocity as they got deeper into their first extended action in quite a while. The action on McKenzie's fastball also gives it some margin for error, velo-wise. And both his slider and changeup have evolved to complement the fastball/curveball combo that had headlined his arsenal as a younger prospect. Even though it's still unclear exactly where his fastball velocity band will sit during the course of a whole season, I think McKenzie has the necessary other components to pitch in the middle of a rotation. <em>(Alternate site, MLB)</em>","SaiUEE5AOzQ","18000"
"Ryan Jeffers","MIN","C","MLB",59,4,,"50",2021,"Med","23.9472222","6' 4""","230","R","R",2018,"Draft","MIN",800000,"UNC Wilmington","The Twins were at the forefront of the now common style of catching from one knee (some teams have their receivers ditch it with two strikes and/or runners on base, others don't), which seems to have a positive impact on called strikes while detracting from ball-blocking (which clubs consider to be less important), and, depending on the situation, pitch tipping. Jeffers took to this style and answered some of the defensive questions he faced in college, when it was unclear if he'd catch or end up at first base. Eyeball evaluations of his receiving are still mixed but according to my sources (and not just ones with Minnesota), the framing metrics in the minors were good, and they were very positive during his month-long stay in the big leagues last year when Jeffers was thrust into the lineup due to Mitch Garver's injury. 
So long as he can stay back there, Jeffers is pretty easily an everyday player. He has average bat-to-balls skills, above-average thump, and the ability to hit the ball in the air consistently. He essentially made the leap from Hi-A to the big leagues in 2020 and hit .273/.355/.436. I think it's fair to expect the Jeffers will experience a BABIP regression in 2021, but I think we'll see his strikeout rate (which historically was close to 20% and was 30% in his initial big league trial) come down, too, which will help balance that out. His athleticism, breaking ball recognition, and, perhaps most importantly, plate coverage are all a tick below average, but I still think there's enough offensive ability here for Jeffers to profile as an everyday catcher. Garver's presence could impact Jeffers' playing time, and since most of Jeffers' defensive value is tied to his receiving, his overall career production might be front-loaded due to the looming possibility of electronic strike zones. <em>(Alternate site, MLB)</em>",,"24618"
"Deivi Garcia","NYY","SP","MLB",60,2,,"50",2021,"Med","21.7444444","5' 9""","163","R","R",2015,"J2","NYY",200000,"Dominican Republic","Any WAR-based analysis of pitching (including FV) is influenced by the innings total, and there are still questions about whether Garcia can handle something close to a 180-inning workload because he's only 5-foot-9 and 165 pounds, and the pandemic made it impossible for Garcia, or anyone like him, to answer those questions either way. I think it's fair to wonder simply because Garcia hasn't done it yet, but I'm more inclined to dismiss arguments focused on his size. I wrote last year that, because part of the formula for torque (which could theoretically be used as a measure of stress on the elbow) is the distance from the fulcrum, that longer-armed, usually taller pitchers might actually be more of an injury risk than a little guy like Deivi. But having watched Garcia go about his business at the big league level, I'm backpedaling his FV by a grade, since I think his power-pitcher's approach will make it tough for him to work as efficiently as he'll need to in order to log the aforementioned sort of innings total. 
Marcus Stroman sets great precedent for smaller pitchers like this, but while Garcia is really well-put together and athletic, he's not quite the elite-level on-mound athlete that Stroman is, and Stroman's stuff works in such a way that he gets one or two early-count grounders every inning, while Garcia just doesn't pitch like that. Instead, Garcia's tries to sneak 91-95 past hitters at the top of the zone. The angle and spin axis of his fastball helps it play up, but it isn't a plus pitch. His 12-6 curveball is beautiful, but can be easy to identify out of his hands because of its rainbow shape, so even though it has what I'd consider plus-plus depth, and plus spin, it also plays more in the 50/55 range. Garcia's changeup, which has about 12 mph of velocity separation from his fastball, is likely to become his most effective secondary weapon, and he already has great feel for locating it. His slider's shape is similar to his curveball's, just with more velocity. The entire repertoire is either average or a shade above it, and I think Garcia will end up working around 140 innings and generating 2-ish WAR annually. <em>(Alternate site, MLB)</em>","TtDspHp7TRI","20276"
"Heliot Ramos","SFG","RF","AA",61,0,,"50",2022,"High","21.4444444","6' 2""","200","R","R",2017,"Draft","SFG",3101700,"Leadership Christian HS (PR)","There's no change to Ramos' blurb. He was listed on San Francisco's instructs roster but I did not run into him during the Fall. Ramos' feel for opposite field contact developed out of necessity when his physical tools dipped in 2018. That turned out to be valuable when they returned in 2019 and half of his 16 homers were hit to the right of center field. Ramos' bat head drags into the zone, which would cause most hitters to be late, but Ramos' swing just scoops fly balls to right field, and his strength pushes them toward the heavens. Some of the strikeout issues (25% at Hi-A, 30% at Double-A) become less concerning when you remember Ramos was 19 years old all year, but they become a bit troubling again when you realize he's destined for a corner. 
Built like a boulder stacked on two Iberico hams, Ramos is already slowing down, and he was an average runner in the 2019 Fall League. It's not great if he is suddenly a corner guy with whiff/discipline issues, though his plate discipline was much more palatable in 2019. Retaining that will be important or we're just talking about a Randal Grichuk sequel. <em>(Alternate site, Fall Instructional League)</em>","ytZlP4TQI48","sa3004693"
"Daniel Lynch","KCR","SP","A+",62,0,,"50",2022,"Med","24.25","6' 4""","195","L","L",2018,"Draft","KCR",1697500,"Virginia","Lynch's velocity has been climbing for most of the last two years. On the Cape and in the first half of his junior spring, Lynch looked like a solid third round prospect, a pitchability lefty sitting 88-92 mph with mostly average stuff. In the month or so leading up to the 2018 draft, Lynch's velo ticked up, and down the stretch he sat 92-94, touching 95 mph deep into starts, with an assortment of offspeed pitches that all flashed above-average. He then sat 93-95 during the summer of 2019 and was often 94-97 during the 2019 Fall League, where he went to pick up innings after missing time with an arm injury. 
He throws a cutter, slider, curveball, and changeup. They're mostly average, but the slider flashes plus and I think the changeup has room for growth. There are some questions about his fastball's playability but I think its velocity and the repertoire depth here make Lynch a very safe mid-rotation sort. <em>(Alternate site, Fall Instructional League)</em>","fYTcfoSuY7w","sa3007588"
"George Valera","CLE","RF","A",63,3,,"50",2022,"High","20.2611111","6' 0""","190","L","L",2017,"J2","CLE",1300000,"Dominican Republic","A broken hamate and the pandemic have limited the performance sample by which to evaluate Valera. Since signing in 2017, he's only played a total of 58 affiliated games and punched out in nearly 30% of his plate appearances. But let's remember that he was one of the youngest players in the 2018 New York-Penn League (typically a league for college players -- Valera was 18) season during which most of the strikeouts were accrued, and instead shift our focus to those who have seen Valera on the Arizona backfields, where he has easily spent the most time since signing. 
There, including in the Fall of 2020, Valera has the best combination of feel for contact and power among his peers in this system. Among the other teenagers, Valera looks like a jazz bassist jamming with a group of teenagers who taught themselves the guitar using Blink-182 tabs. He has great in-the-box rhythm and timing, unloading on pitches with veteran anticipation. When Valera's curt, all-fields uppercut swing connects just right, you'd swear you were watching a young Robinson Canó, and like Canó, Valera is going to hit some emphatic, picturesque dingers. While his swinging style will likely always cause him to whiff more than average, he has the most potent hit/power combination in this system and there are scouts who think he should be ranked first in the org. Because he has so little actual pro experience, he is likely to play a corner outfield spot -- I liked Valera's defensive instincts enough to keep him alive in center field on last year's list, but folks who saw him this Fall only watched him in right, so center seems to less likely to me now --and due to his track record of swinging and missing, other scouts think he should slide behind the hit-first middle infielders ranked a few spots behind him here. It's very important for Valera to have a full, healthy 2021 since he's part of huge contingent of prospects who need to be added to the 40-man next offseason. <em>(Alternate site, Fall Instructional League)</em>","kGbEJq13Uzw","sa3006872"
"Ha-seong Kim","SDP","SS",,64,0,,"50",2021,"Med","25.3333333","5' 9""","175","R","R",,,,,"South Korea","Kim is an explosive, compact-bodied athlete with natural doubles power who frequently turns on pitches on the inner half and absolutely obliterates balls to his pull side. He took bigger hacks during the 2020 KBO season and hit more homers without impacting his contact rates, as he also had more walks than Ks. An everyday talent, it's impossible to say whether Kim will be able to make the leap from Korean to MLB pitching seamlessly, but his KBO numbers are more favorable than other recent successful players, he's younger, and his defensive ability gives him more margin for error in this regard. <em>(KBO)</em>","PHWfaRLrd4U","sa3011918"
