TM,Location,PITCHERS,IP,SO vlhp,BB vlhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,DP vlhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,DP v rhp,HO,ENDURANCE,FIELD,BK,WP,BAT-B,STL,SPD
CON,,"Kinley,T",66,37,15,4.3,19.3,11.8,1.6,1*,4,20,30,13.4,43.4,18.8,1.2,2,3,-1,R(1),2- 0,0,20,1WR-C,E,10
CON,,"Marquez,G",224,21,5,20.8,25.8,32.7,1,1,7,32,5,12.7,17.7,20,1.4,1,7,0,S(6*),5-51,0,11,1WR-B,E,13
CON,,"Senzatela,A",202,5,9,19.7,28.7,31.4,1.4,2,12,10,3,20.3,23.3,33.8,2.4,3,13,1,S(6*),4- 0,0,0,1WR-C,E,10
CON,,"Tinoco,J",24,20,20,8.8,28.8,14.9,1.6,2,12,13,29,5.6,34.6,12.6,1.6,3,12,-1,R(2),3- 0,0,20,1WR-B,E,10
DEA,,"Alexander,T*",107,25,0,23.1,23.1,36.1,2,3,12,20,5,22.5,27.5,41.5,4.3,8,9,-1,S(4) R(4),2- 0,0,0,1WR-C,E,10
DEA,,"Boyd,M*",178,35,1,9.2,10.2,22.7,3,6,5,28,9,17.2,26.2,37.5,3.8,7,6,-4,S(5),4- 0,0,17,1WL-D,E,10
DEA,,"Cisnero,J",87,25,17,14.4,31.4,21.8,1,0,0,29,10,12.5,22.5,21.4,0.4,0,0,-1,R(1),3- 0,0,0,1WR-C,E,10
DEA,,"Farmer,B",63,4,13,17.1,30.1,25.4,2,3,3,25,4,12.9,16.9,29.1,2.2,4,1,4,R(1),3- 0,0,10,1WL-C,E,10
DEA,,"Fulmer,M",81,19,10,18.6,28.6,32,2,4,6,6,7,42.4,49.4,65.7,6.8,8,4,6,S(4),4- 0,0,0,1WR-C,E,10
DEA,,"Funkhouser,K",51,14,23,22.8,45.8,39.1,2.2,4,4,12,17,21.4,38.4,35.4,2.4,3,13,6,R(2),3- 0,0,11,1WR-C,E,10
DEA,,"Garcia,B",64,9,14,17.8,31.8,22.8,1.2,1,0,12,15,11.7,26.7,13.2,0.1,0,0,-1,R(1) C(3),4-51,0,10,1WR-C,E,10
DEA,,"Garcia,R",62,10,7,17,24,31,2.6,4,7,10,11,24.6,35.6,56,8.5,8,8,-1,S(1) R(1),3-51,0,9,1WR-C,E,10
DEA,,"Jimenez,J",67,26,16,20,36,44.4,6,8,1,31,1,15.5,16.5,37.1,4.5,8*,10,9,R(1) C(4),4- 0,0,9,1WR-C,E,10
DEA,,"Mize,C",83,13,10,22,32,45,5.5,8,0,17,7,11.3,18.3,18.4,2.2,4,0,9,S(4),2- 0,0,14,1WR-C,E,10
DEA,,"Norris,D*",81,36,6,11.3,17.3,26,3,6,0,19,6,17,23,28.2,1,0,0,6,R(4),2- 0,0,0,1WL-C,E,13
DEA,,"Nova,I",56,0,8,23.5,31.5,39.4,3.8,6,0,8,6,21.2,27.2,37.5,2.6,5,0,-1,S(5),2- 0,0,20,1WR-C,E,10
DEA,,"Ramirez,N*",32,10,9,12.1,21,28,4,8,0,27,12,9.7,21.7,21.9,2.8,5,0,-1,R(2),2- 0,0,0,1WL-C,E,10
DEA,,"Schreiber,J",46,22,0,30.1,30.1,49.5,2.8,4,0,23,5,16.9,21.9,28.5,1.4,1,0,-1,R(1),3- 0,0,0,1WR-C,E,10
DEA,,"Skubal,T*",94,28,10,10.5,20.4,17.7,2.2,4,12,32,11,12.9,23.9,30.4,5,8,8,4,S(4) R(3),2- 0,0,0,1WL-C,E,10
DEA,,"Soto,G*",68,39,20,6,26.1,9.1,0.6,1,2,28,19,10.3,29.3,16.6,1.2,1,4,3,R(1) C(1),3- 0,0,20,1WL-C,E,10
DEA,,"Turnbull,S",167,18,13,18.6,31.7,27.6,0,0,11,29,12,10.1,22.1,21.9,1.8,2,11,8,S(5),5-24,0,0,1WR-D,E,10
HOA,,"Bailey,B",20,13,10,15.4,25.4,36.5,3.4,6,0,16,18,17.9,35.8,31.9,1,0,0,-1,R(2),3- 0,0,20,1WR-C,E,10
HOA,,"Bielak,B",88,17,15,19.2,34.2,30.8,2.8,4,14,10,13,26.1,39.1,55.9,6.5,8,8,9,S(4) R(3),4- 0,0,0,1WL-C,E,10
HOA,,"Castellanos,H",30,19,14,16.4,30.4,29.3,3.2,5,0,22,7,23.8,30.8,39.7,1.8,3,0,2,R(2),3- 0,0,0,1WR-C,E,10
HOA,,"De Jong,C",20,14,15,38.6,53.6,60.2,7.2,8*,1,14,11,31.9,42.9,37.8,1.8,3,4,9,S(4) R(3),4- 0,0,0,1WL-C,E,10
HOA,,"Garcia,L",34,13,11,20.1,31.1,49,2.2,4,10,25,13,1.2,14.2,4,0.6,1*,12,-1,S(4) R(3),3- 0,0,19,1WR-C,E,10
HOA,,"Greinke,Z",185,33,0,18.6,18.6,24,0.4,0,5,19,0,24.8,24.8,42.5,2.2,4,5,-2,S(6),1- 0,0,10,1WR-A,E,15
HOA,,"James,J",48,26,30,13.4,43.4,24.6,2.6,3,0,40,25,6.7,31.7,20.2,3.4,6*,0,9,S(4) R(3),3- 0,0,20,1WR-C,E,10
HOA,,"Javier,C",150,23,12,19.3,31.3,38.6,4.1,7,3,41,17,2.8,19.8,10.5,2.6,5*,3,-1,S(6) R(3),3- 0,16,18,1WR-C,E,10
HOA,,"McCullers,L",152,39,9,12.1,21.1,26.3,0.4,0*,11,19,12,21.7,33.8,37.3,1.4,2,11,0,S(5),2-26,0,0,1WL-C,E,10
HOA,,"Paredes,E",58,25,15,11.4,26.4,21.1,1.2,0,11,19,25,18.4,43.4,26.7,1.2,2,3,-1,R(1),3- 0,0,0,1WR-C,E,10
HOA,,"Perez,C*",18,40,31,1.8,32.8,2.4,0,0*,0,20,10,31.5,41.5,31.9,0,0,0,-1,R(1),4- 0,0,0,1WL-C,E,10
HOA,,"Pressly,R",58,52,0,11.1,11.1,24.6,1.4,1,1,31,7,21.9,28.9,31.9,2,3,0,-1,R(1) C(5),3- 0,0,10,1WR-C,E,10
HOA,,"Raley,B*",57,31,6,10.4,16.4,21.4,2,3,0,25,10,16.3,26.3,37.3,3,4*,0,2,R(1) C(0),3- 0,0,0,1WL-A,E,10
HOA,,"Rodriguez,N",24,18,14,29.6,43.6,42.6,3.4,5,4,14,13,36.8,49.8,60.8,6.8,8,0,9,R(2),4- 0,0,20,1WR-C,E,10
HOA,,"Scrubb,A",66,27,22,12.8,34.8,18.2,1.8,3,4,25,31,6.5,37.5,8.3,0.6,0,1,1,R(1) C(0),3- 0,0,9,1WR-C,E,10
HOA,,"Sneed,C",48,12,18,26.6,44.6,48,4.3,6,0,30,1,24.5,25.5,44.9,2.6,3,0,-1,R(1),2- 0,0,11,1WR-C,E,10
HOA,,"Taylor,B*",58,16,15,11.7,26.7,16.6,1.6,2,9,20,17,9.8,26.8,16,1.2,2,9,1,R(1) C(0),3- 0,19,10,1WL-C,E,10
HOA,,"Urquidy,J",82,23,0,4.2,4.2,6.6,0.8,1,12,12,9,29.3,38.3,43.6,3.4,5,14,4,S(6),4- 0,0,0,1WR-C,E,10
HOA,,"Valdez,F*",196,37,15,15.2,30.2,20.5,0,0,5,26,9,17.5,26.5,22.3,1.2,1,12,4,S(7),5-40,5,20,1WL-C,E,10
KCA,,"Adams,C",24,13,2,36.7,38.7,52.2,0.4,1,0,12,4,35.2,39.2,58,2,4,0,9,R(2),3- 0,0,20,1WR-C,E,10
KCA,,"Barlow,S",84,35,6,17.6,23.6,33.2,3.4,6,4,40,9,14.6,23.5,19.3,0.6,1,2,7,R(1) C(1),4-47,0,15,1WR-C,E,10
KCA,,"Bubic,K*",140,11,21,21.4,42.4,31.2,3,5,8,19,12,17.7,29.7,29.5,2.4,4,11,-1,S(5),3- 0,0,0,1WL-C,E,10
KCA,,"Duffy,D*",158,26,6,20,26,29.2,2,4,4,25,11,16.3,27.3,29.8,3,6,4,-3,S(5),3- 0,0,11,1WL-C,E,10
KCA,,"Hahn,J",49,27,18,3.6,21.6,8.4,0.6,0*,6,20,11,9.3,20.3,16.4,0.2,0,6,9,R(1) C(3),2- 0,0,20,1WR-C,E,10
KCA,,"Harvey,M",33,7,9,43.8,52.8,79,8.3,8,4,10,8,37.5,45.5,67.1,8.5,8,4,5,S(4) R(3),4- 0,0,0,1WR-C,E,10
KCA,,"Hernandez,C",41,10,11,26.3,37.3,55.2,8.8,8,8,24,13,25.5,38.5,33.3,1,1,3,3,S(4) R(3),3-51,0,0,1WR-C,E,10
KCA,,"Holland,G",79,28,9,9.9,19,15.4,0,0,10,27,10,18.5,28.5,38.8,2.8,5,6,4,R(1) C(4),3- 0,0,8,1WR-C,E,10
KCA,,"Junis,J",71,13,1,34.8,35.8,56.4,5.3,8,4,20,5,22.5,27.5,39.9,4.5,8,4,0,S(4) R(3),4- 0,15,16,1WR-C,E,10
KCA,,"Keller,B",153,12,17,16.4,33.4,19.4,1,2,12,12,3,16.4,19.4,20.8,0.2,0,12,-3,S(6),3- 0,0,4,1WR-C,E,10
KCA,,"Kennedy,I",39,31,4,18.1,22.1,52.5,11.3,8,2,23,2,32.4,34.4,60.5,7.8,8,4,4,R(1),4-51,0,0,1WR-C,E,10
KCA,,"Newberry,J",62,19,21,28.9,49.9,40.1,0.6,1,2,28,15,12.5,27.6,30.1,4.3,8,7,-1,R(1) C(0),5-51,0,20,1WR-C,E,10
KCA,,"Singer,B",180,16,13,17.1,30.1,26,1.6,3,5,20,4,19.5,23.5,26.1,2.2,4,5,-5,S(5),3-43,7,18,1WR-C,E,10
KCA,,"Speier,G*",16,30,20,5.5,25.5,7.4,0.2,1*,0,10,14,40,54,56,2,3,0,9,R(1),3- 0,0,0,1WL-C,E,10
KCA,,"Staumont,J",72,25,27,12.5,39.5,18,1.4,3,0,44,21,5.8,26.8,7.6,0.6,1,0,0,R(1),3- 0,0,8,1WR-C,E,10
KCA,,"Zimmer,K",65,32,19,14.1,33.2,24.6,0,0*,12,26,15,15.6,30.6,31.6,0,0*,10,-1,R(2),2- 0,0,20,1WR-C,E,10
KCA,,"Zuber,T",62,20,24,17.4,41.4,25.2,2.6,4,5,35,26,7.2,33.2,17.4,3.4,7*,2,-1,R(1),2- 0,0,9,1WR-C,E,10
LAA,,"Andriese,M",88,15,11,11.5,22.5,31.5,4.4,4*,12,32,6,14.8,20.8,25.4,1.2,1,12,1,R(3) C(1),3- 0,0,0,1WR-D,E,10
LAA,,"Barnes,J",50,41,9,15.6,24.6,23.1,0,0,0,23,6,27.7,33.7,44.3,2.8,4,0,0,R(1),3- 0,0,0,1WR-C,E,10
LAA,,"Barria,J",89,23,5,21.6,26.6,41.1,2,1,0,12,3,16.9,19.9,38.8,3.6,6,0,-1,S(4) R(4),4- 0,0,0,1WR-C,E,10
LAA,,"Bedrosian,C",41,15,13,12,25,15.4,0,0,0,31,10,15.8,25.8,24,1,1,0,9,R(2),4- 0,0,16,1WR-C,E,10
LAA,,"Buchter,R*",17,17,29,9.9,38.9,39.6,9.9,8*,0,45,18,12,30,29.6,2.8,3*,0,9,R(1),2- 0,0,20,1WL-C,E,10
LAA,,"Bundy,D",181,21,5,18.6,23.6,34.3,2.6,1,4,44,3,9.6,12.6,21.5,2,3,2,9,S(6),2- 0,0,6,1WS-C,E,10
LAA,,"Buttrey,T",73,24,6,19.1,25.1,38.6,3.8,4,3,21,3,23.8,26.8,36.7,1.2,1,3,2,R(1) C(3),3- 0,0,17,1WL-C,E,10
LAA,,"Canning,G",155,30,12,12.6,24.6,27.1,3.4,3,3,26,8,23.6,31.6,38.3,1.6,3,5,-1,S(5),2-26,0,20,1WR-C,E,10
LAA,,"Heaney,A*",184,33,5,26.2,31.2,32.1,0.2,0,2,30,5,15.1,20.2,29.5,2.8,5,2,2,S(5),2- 0,0,6,1WL-C,E,10
LAA,,"Mayers,M",82,52,1,2.4,3.4,9.6,2.4,1*,8,23,12,15.2,27.2,30.4,1.2,2,9,-1,R(2) C(1),4-47,0,0,1WR-D,E,10
LAA,,"Middleton,K",33,28,19,18.6,37.6,29.2,1.8,0,0,24,16,18.5,34.4,41,3.4,5,0,9,R(1),5- 0,0,18,1WR-C,E,10
LAA,,"Milner,H*",37,23,9,15,24,33.6,6,7,9,29,19,13.8,32.8,37.3,5.8,8*,5,-1,R(1),3- 0,0,0,1WL-C,E,10
LAA,,"Pena,F",74,18,12,21.7,33.7,33.8,2.4,1,0,36,3,18.4,21.4,28.4,1.8,3,0,-1,R(1) C(1),3- 0,0,20,1WR-C,E,13
LAA,,"Ramirez,N",58,3,2,21.3,23.3,40.5,3.6,2,12,30,10,10.8,20.8,20,1.4,1,12,9,R(1),4- 0,0,11,1WR-C,E,10
LAA,,"Robles,H",46,25,19,21.2,40.2,47.9,6.8,7,0,33,12,17.3,29.3,29.5,1.6,1,0,7,R(1) C(1),3- 0,0,11,1WR-C,E,10
LAA,,"Sandoval,P*",101,23,8,15.9,23.9,38.1,5,5,14,18,9,17.6,26.6,33.1,3.4,5,10,-2,S(4) R(4),3-39,0,11,1WL-C,E,10
LAA,,"Teheran,J",86,8,21,15.3,36.3,42.7,7.8,8,0,18,6,24.9,30.9,43.2,3.8,6,0,1,S(4) R(3),4-46,0,6,1WR-A,E,14
LAN,,"Alexander,S*",33,26,18,2.9,20.9,9.8,1.8,3,11,11,16,23.3,39.3,31.1,1.2,2,10,-1,R(1),2- 0,0,0,1WL-C,E,10
LAN,,"Baez,P",46,17,11,0,11,0,0,0*,0,23,13,11.5,24.5,27.1,2.4,4,0,1,R(1) C(2),2- 0,0,0,1WR-C,E,10
LAN,,"Buehler,W",98,39,6,8.3,14.3,17.2,2.2,3,0,31,7,7.9,14.9,19.3,3.6,5,0,9,S(5),3- 0,0,20,1WR-C,E,12
LAN,,"Ferguson,C*",51,37,8,15.6,23.5,23.5,1.8,2,4,48,7,6.8,13.8,19.4,4,6,3,9,R(1),4-51,0,0,1WR-C,E,10
LAN,,"Floro,D",66,17,0,23.8,23.8,33,0,0,11,19,4,20,24,27.3,0,0,12,-1,R(1),2- 0,0,9,1WL-C,E,10
LAN,,"Gonsolin,T",125,24,7,12.6,19.5,29.8,2.2,3*,0,31,7,14.1,21.1,24.6,2,3,0,0,S(5) R(3),2- 0,0,16,1WR-B,E,10
LAN,,"Gonzalez,V*",55,25,7,9.4,16.4,13.3,0.6,1,2,26,4,15,19,20.4,1.2,0,2,0,R(2),4- 0,0,20,1WL-C,E,10
LAN,,"Graterol,B",63,16,4,29.2,33.2,30.8,0,0,11,23,5,13,18,13.2,0,0,12,0,S(1) R(1),3- 0,0,0,1WR-C,E,10
LAN,,"Jansen,K",66,51,4,7.1,11.1,15.1,1.4,2*,0,34,12,15.1,27.1,22.7,2.2,2,0,4,R(1) C(5),3- 0,0,0,1WS-C,E,10
LAN,,"Kelly,J",27,34,4,17,21,29.4,0.6,1,0,23,34,12.7,46.7,17.2,0,0,0,-1,R(1),3- 0,0,20,1WR-B,E,10
LAN,,"Kershaw,C*",157,27,0,11.3,11.3,29.9,3.8,7*,12,36,1,10.8,11.8,21.4,1.8,2,13,-4,S(6),4- 0,0,0,1WL-A,E,14
LAN,,"Kolarek,A*",51,19,0,0,0,0,0,0*,5,12,13,25.2,38.2,33.5,1,0,5,-1,R(1) C(0),3- 0,0,20,1WL-C,E,10
LAN,,"May,D",151,17,15,19.6,34.6,32,3.6,7,8,20,0,11,11,13.4,0.8,1,11,3,S(5) R(4),4-26,0,8,1WR-C,E,10
LAN,,"McGee,J*",55,17,8,18.2,26.2,35.1,2.2,4,0,52,1,11.3,12.3,29.4,1.8,1*,0,-1,R(1),3- 0,0,0,1WL-C,E,10
LAN,,"Santana,D",46,28,14,7.7,21.7,20.1,2.4,4,8,29,13,15.6,28.5,28.5,3.2,4,5,1,R(2),4-51,0,13,1WR-C,E,10
LAN,,"Treinen,B",69,30,9,18.2,27.2,23.5,0,0,3,25,9,14.7,23.7,15.9,0,0,3,9,R(1) C(2),3- 0,0,18,1WR-C,E,10
LAN,,"Urias,J*",148,29,12,4.4,16.5,16.3,3.6,6*,7,20,9,16.7,25.7,22.8,0.8,1,6,7,S(5),4- 0,0,8,1WL-A,E,10
LAN,,"Wood,A*",34,28,0,29.5,29.5,41.8,0,0,0,23,8,19.6,27.6,38.9,3.2,4,0,-1,S(4) R(3),3- 0,0,14,1WR-B,E,13
MLN,,"Anderson,B*",131,0,5,19.7,24.8,32.5,1,2,11,11,3,24.8,27.8,41,2.4,3,11,-3,S(5),2- 0,0,0,1WL-D,E,10
MLN,,"Burnes,C",167,35,17,11.9,28.8,19,0.4,0,0,44,9,5.4,14.4,9.6,1.2,1,0,9,S(5) R(4),5-47,0,20,1WR-B,E,10
MLN,,"Claudio,A*",54,18,1,13,14,23.9,1.2,2,11,6,12,24.4,36.4,33.3,0.2,0,11,-1,R(1) C(0),2- 0,0,20,1WL-C,E,10
MLN,,"Feyereisen,J",26,25,16,5.9,21.9,23.3,5.8,8*,12,26,25,3.6,28.6,14.4,3.6,7*,10,-1,R(2),3- 0,0,0,1WR-C,E,10
MLN,,"Hader,J*",54,52,18,3,21,12.1,3,4*,0,59,14,1.6,15.7,6.5,1.6,2*,0,-1,R(1) C(6),3- 0,0,20,1WL-C,E,10
MLN,,"Houser,A",157,14,15,25.7,40.7,41.4,3,5,12,21,3,15.1,18.1,23.5,0.8,0,12,3,S(5),2- 0,0,3,1WR-A,E,10
MLN,,"Knebel,C",38,23,21,11.1,32.1,27.6,4,6,0,36,13,12.2,25.2,34.8,4.8,8,0,4,R(1),3- 0,0,0,1WR-C,E,10
MLN,,"Lauer,E*",31,12,8,34.4,42.4,50.4,1.4,1,0,23,18,22.3,40.3,38.8,2.4,3,0,-1,S(4) R(3),4- 0,0,15,1WR-A,E,10
MLN,,"Lindblom,J",127,25,9,18.4,27.4,38.3,3.6,6,0,33,6,13,19,18.5,1,1,1,3,S(4) R(3),3- 0,0,9,1WR-C,E,10
MLN,,"Peralta,F",82,49,20,7.8,27.8,14.1,0,0*,0,46,6,9.9,15.9,23.9,2,3*,0,7,R(2),5-51,11,15,1WR-B,E,13
MLN,,"Rasmussen,D",43,19,18,23.7,41.7,39,2.6,5,0,40,14,10,24,16.1,1.8,2,0,-1,R(2),3- 0,0,0,1WR-C,E,12
MLN,,"Suter,B*",88,28,0,16.1,16.1,33.4,4,7,3,33,2,16.8,18.8,25.2,1.8,2,3,-2,S(4) R(3),3-44,0,0,1WL-C,E,13
MLN,,"Topa,J",22,43,1,19.9,20.9,43.3,4.1,7,0,26,2,16.9,18.9,26.4,0.4,0,0,9,R(2),3- 0,0,0,1WR-C,E,10
MLN,,"Williams,D",75,56,18,1.2,19.2,4.8,1.2,1*,1,62,12,0.4,12.4,1.6,0.4,0*,3,-1,R(2) C(0),4-51,0,20,1WR-C,E,10
MLN,,"Woodruff,B",207,37,6,11.4,17.4,22.8,2.2,3,5,35,7,12.9,19.9,17.6,1.4,1,4,-1,S(5*),2- 0,0,2,1WL-A,E,12
MLN,,"Yardley,E",66,19,9,21.1,30.1,31,1.2,1,12,10,11,15,26,27.9,2.2,4,12,-1,R(1) C(0),2- 0,0,0,1WR-C,E,10
MMN,,"Alcantara,S",121,18,15,17.6,32.5,32.8,2.4,6,12,21,5,11.8,16.8,17.3,0,0,12,3,S(6),3- 0,8,5,1WR-B,E,10
MMN,,"Bleier,R*",48,22,0,8.2,8.2,12.7,0,0,12,0,2,29.8,31.8,48.6,0,0,12,-1,R(1),3- 0,0,20,1WL-C,E,10
MMN,,"Boxberger,B",52,22,17,7.3,24.3,19.8,3.4,8,6,31,16,16.9,32.9,30.5,2.4,5,3,-1,R(1),3- 0,0,0,1WR-C,E,10
MMN,,"Castano,D*",85,9,5,25,30,38.2,2.2,5,11,3,9,18.3,27.3,31,2,4,11,-1,S(4) R(4),3- 0,0,7,1WL-C,E,10
MMN,,"Dugger,R",31,0,4,42.8,46.8,105.8,10,8,0,5,6,24.8,30.8,58.3,4.8,8*,0,-1,S(4) R(3),3- 0,0,17,1WR-C,E,10
MMN,,"Garcia,Y",43,22,3,14.3,17.3,32,1.6,4*,0,39,10,7.2,17.1,14.1,1,2*,0,-1,R(1) C(0),4-51,20,0,1WR-C,E,10
MMN,,"Garrett,B*",22,28,18,13.8,31.8,14.1,0.1,1,9,19,17,17.9,34.9,38.6,6.2,8,9,-1,S(4),3- 0,0,20,1WL-C,E,10
MMN,,"Hernandez,E",74,31,6,15.3,21.3,34.6,3.8,7,0,36,3,6.9,9.9,21.1,4,7,0,0,S(4),5-51,0,0,1WR-B,E,10
MMN,,"Hoyt,J",42,32,11,15.1,26.1,31.7,0,0*,0,42,13,4.9,17.9,10.4,0,0*,0,9,R(1),5-51,20,20,1WR-C,E,10
MMN,,"Kintzler,B",70,5,9,19.4,28.4,36.2,1.4,3,12,17,0,16.5,16.5,27.8,2,5,12,9,R(1) C(5),3-51,0,0,1WR-C,E,10
MMN,,"Leibrandt,B*",26,9,12,6.8,18.8,10.4,1.2,3,9,0,18,4.1,22.1,9.5,1.8,3,9,-1,R(2),3- 0,0,0,1WL-C,E,10
MMN,,"Lopez,P",165,14,4,23.5,27.5,35.5,0,1,4,36,7,7.8,14.8,13.9,1.8,3,5,4,S(5),1- 0,0,0,1WL-D,E,10
MMN,,"Mejia,H",29,24,12,22.5,34.5,54,6.8,8,0,17,15,20,35,42.4,3.6,7,0,6,S(4),3- 0,0,0,1WR-C,E,10
MMN,,"Neidert,N",24,14,8,36,44,63.1,2.2,4,9,5,5,24.3,29.3,44.4,3.6,7,12,-1,R(2),3- 0,0,0,1WR-C,E,10
MMN,,"Rogers,T*",80,28,16,18.6,34.7,32.5,0.4,1,4,26,9,19.8,28.8,41.2,3.4,7,5,7,S(4),3- 0,11,0,1WL-C,E,10
MMN,,"Sanchez,S",112,20,2,21.4,23.4,23.2,0.6,2,7,14,7,19.2,26.2,25.2,2,4,7,0,S(5),2- 0,0,5,1WR-C,E,10
MMN,,"Smith,J",75,20,8,24.8,32.8,39.6,1.8,4,0,16,3,25.5,28.5,45.5,3.4,7,0,-1,R(2) C(0),5-51,0,0,1WR-C,E,10
MMN,,"Stanek,R",29,26,11,25,36,47.7,6.3,8,0,36,20,9.1,29,19.7,3.2,7*,3,-1,R(1),4- 0,0,0,1WR-C,E,10
MMN,,"Tarpley,S*",32,33,11,24.5,35.5,34.6,0.4,2,1,22,18,16.3,34.3,35.8,4.8,8,8,5,R(1) C(1),3- 0,0,0,1WR-C,E,10
MMN,,"Urena,J",67,2,5,30.8,35.8,60.9,7,8,12,18,18,6.3,24.3,8.4,0.1,0,11,4,S(4),3- 0,0,9,1WR-D,E,14
MMN,,"Vincent,N",65,13,5,14.4,19.4,28,2.6,6,11,18,6,23.5,29.5,42,3.4,7,12,-1,R(1) C(4),4- 0,0,0,1WR-C,E,10
MMN,,"Yamamoto,J",33,17,14,33.8,47.8,95.5,15.8,8,0,13,13,38.7,51.7,71.1,8.1,8,0,9,S(4) R(3),3- 0,0,0,1WR-A,E,10
MNA,,"Alcala,J",68,24,16,25.6,41.6,39.5,3.8,6,0,28,10,12.8,22.8,17.5,1.6,3,7,-1,R(2),4- 0,0,10,1WR-C,E,10
MNA,,"Bailey,H",23,17,15,19.7,34.7,26.7,0,0,12,18,2,13.5,15.5,19.7,1.6,3,12,-1,S(4),3- 0,0,0,1WR-D,E,10
MNA,,"Berrios,J",178,28,15,10.5,25.5,26,3.4,6*,2,25,4,21.3,25.3,27.5,1.4,2,2,-4,S(5),1- 0,0,17,1WR-C,E,10
MNA,,"Clippard,T",74,25,1,11.6,12.6,15.6,0,0,0,34,7,14.4,21.4,36.4,3.8,6*,0,9,S(1) R(1),4- 0,0,19,1WR-C,E,10
MNA,,"Dobnak,R",132,2,4,22.8,26.8,32.9,1.8,3,12,12,6,24.7,30.7,28.1,0.8,0,12,-1,S(5),3- 0,0,0,1WR-C,E,10
MNA,,"Duffey,T",68,39,1,13.7,14.7,28.7,2,2*,4,40,9,3.1,12.1,9.4,1.6,3*,4,-1,R(1),2- 0,0,0,1WR-C,E,10
MNA,,"Hill,R*",109,10,18,7.8,25.7,14.1,1.8,3,11,30,10,10.1,20.1,19.5,1.8,3,11,2,S(5),3-36,0,5,1WL-D,E,12
MNA,,"Maeda,K",188,27,7,14.1,21.1,25.8,2.4,3,6,46,2,4.1,6.1,12.8,2.4,4*,5,-2,S(6),1-21,0,0,1WR-A,E,14
MNA,,"May,T",66,48,10,5.6,15.6,19.9,4.8,8,0,46,9,12.3,21.3,20.1,2.6,4,0,-1,R(1) C(3),3- 0,0,20,1WR-C,E,10
MNA,,"Odorizzi,J",39,28,6,17.5,23.5,26.6,1.4,2,0,24,5,22.4,27.4,53.9,7.5,8,0,-1,S(4),2- 0,0,0,1WR-B,E,10
MNA,,"Pineda,M",75,22,3,28.3,31.3,37.2,0.4,0,1,24,5,11.9,16.9,25,2.2,3,2,-1,S(5),4- 0,0,0,1WR-C,E,10
MNA,,"Poppen,S",22,33,7,21.8,28.8,38.7,0.8,1,9,24,18,23.4,41.4,43.1,0.4,0,7,9,R(2),4- 0,0,20,1WR-C,E,10
MNA,,"Rogers,T*",57,44,11,15.9,26.8,17,0,0,0,31,0,21.3,21.3,37.9,2,4,0,0,R(1) C(5),3- 0,0,10,1WL-C,E,10
MNA,,"Romo,S",57,25,13,13.1,26.1,19.1,0.8,1,0,36,4,10.9,14.9,29.6,5.3,8*,0,9,R(1) C(4),3- 0,0,0,1WR-C,E,10
MNA,,"Smeltzer,D*",45,8,4,31.6,35.7,42.5,1.6,2,0,24,6,20.7,26.7,42.4,2.8,4,0,-1,S(4) R(3),2- 0,0,0,1WR-C,E,10
MNA,,"Stashak,C",43,27,7,13.1,20.1,23.9,0.4,0,12,35,2,18.1,20.1,40.8,2.8,4*,12,9,R(2),3- 0,0,16,1WR-C,E,10
MNA,,"Thielbar,C*",57,25,10,7.9,18,12.4,1.4,2,2,25,10,12.3,22.3,17,1,1,2,0,R(2),3- 0,0,20,1WR-C,E,10
MNA,,"Thorpe,L*",46,24,3,33.7,36.7,80.7,14.4,8,3,14,16,25.1,41.1,38.8,2.2,4,12,-1,S(4) R(3),2- 0,0,0,1WR-C,E,10
MNA,,"Wisler,M",72,21,18,7.3,25.3,17.7,1.6,2*,0,40,9,11.8,20.8,22.8,1.6,3,0,7,S(1) R(1) C(0),3- 0,13,8,1WR-C,E,10
NYA,,"Avilan,L*",24,43,7,4.1,11.1,4.1,0,0,12,9,21,23.8,44.8,40.5,4.8,8,8,9,R(1),3- 0,0,0,1WL-C,E,10
NYA,,"Britton,Z*",55,26,18,2.4,20.4,2.8,0,0,0,19,13,9.5,22.5,15,0,0,0,-1,R(1) C(6),3-51,0,20,1WL-C,E,10
NYA,,"Cessa,L",63,18,1,20.1,21.1,37.5,1.8,3,0,20,12,12.1,24.1,28.4,2.8,4,0,-1,R(2) C(0),4- 0,18,10,1WR-C,E,10
NYA,,"Chapman,A*",34,65,13,0,13,0,0,0*,0,55,11,4.2,15.2,16.3,3.8,6*,0,9,R(1) C(3),3- 0,20,0,1WL-C,E,10
NYA,,"Cole,G",212,54,6,5.5,11.5,18.6,3.8,7*,1,40,2,10.8,12.8,24.4,1.8,3,4,-2,S(6*),4- 0,0,6,1WR-D,E,10
NYA,,"Garcia,D",99,21,9,16.3,25.3,24.3,2,3,0,30,8,14.8,22.8,27.1,3.4,6,0,2,S(6),4-51,0,9,1WR-C,E,10
NYA,,"Green,C",75,57,1,2.6,3.6,10.4,2.6,3*,3,36,5,7.3,12.4,19.4,3.4,5*,3,9,R(1) C(1),3- 0,0,20,1WL-C,E,10
