Class,Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
2021,"70",,,"Caedmon Parker","SP","18.0083333","6' 5""","185","R","R","The Woodlands Christian HS",,"40","High","Parker's stuff has been trending up for a while and he's so projectable that it may not stop any time soon. He had one very strong inning in his first start of the spring and flashed a 70-grade curveball before falling off later in the outing. ",,
2021,"71",,,"James Wood","1B","18.7194444","6' 6""","230","L","L","IMG Academy",,"40","High","Wood is a giant corner power bat whose swing is actually pretty short for how large he is. He's 1B/DH only so he has to rake. It's a scary profile with huge power potential.",,
2021,"72",,,"Andrew Abbott","MIRP","22.0138888","5' 11""","175","L","L","Virginia",,"40","Med","Abbott worked out of the Cavalier bullpen during his first three years at school, often pitching several innings at a time, and he amassed 28 strikeouts in 13 innings before the 2020 shutdown. Despite being draft-eligible in 2020 and having K'd lots of hitters at a prominent school and for Team USA, Abbott was undrafted because many teams didn't project him as a starter due to lack of pinpoint feel to pitch. Abbott has a pretty strong three-pitch mix, but doesn't throw all that hard for a potential reliever, peaking in the 94-95 range rather than sitting there. He worked as a starter during Virginia's Fall practices and could be a in the second or third round mix with a good spring.",,
2021,"73",,,"Ryan Bergert","SIRP","21.2444444","6' 1""","210","R","R","West Virginia",,"40","High","Bergert had Tommy John over the winter but teams (like the Dodgers) have taken fliers on injured college arms with good pitch characteristics before, and Bergert has several. He'll bump 95 with carry and has premium spin rates. ",,
2021,"74",,,"Lonnie, Jr. White","CF","18.4333333","6' 1""","195","R","R","Malvern Prep HS",,"40","High","White changed his commitment from Clemson baseball to Penn State football (WR). He has center field skills, and a chance for above average raw power. ",,
2021,"75",,,"Irv Carter","SP","18.6611111","6' 4""","200","R","R","Calvary Christian HS",,"40","Med","Carter had the best bullpen of all the prospects at the 2020 Breakthrough Series and commands three pitches from vertical slot similar to Simeon Woods Richardson from a few years ago.",,
2021,"76",,,"Joe Rock","SIRP","20.8527777","6' 5""","180","L","L","Ohio",,"40","High","Rock is an ultra-projectable lefty with a tailing mid-90s fastball/slider combo.",,
2021,"77",,,"Sam Bachman","SIRP","21.6833333","6' 1""","225","R","R","Miami (OH)",,"40","Med","A low-slot slingin' relief prospect, Bachman sat 91-94 in 2020 and showed a velo bump in the Fall, now working 94-96 with huge tail. His slider lacks movement on its own but plays because of Bachman's arm slot, and the slot also creates some tailing action on his changeup.",,
2021,"78",,,"Max DeBiec","SP","18.2666666","6' 6""","190","R","R","O'Dea HS",,"40","High","Debiec is a giant-framed high schooler who looks like he could carry 40 more pounds, which might result in him having premium velocity. He has a very long arm action and average secondary stuff.",,
2021,"79",,,"Ben Kudrna","RHP","18.35","6' 3""","183","R","R","Blue Valley SW HS",,"40","High","Kudrna has a big frame, a really loose and flexible delivery, and is well-balanced, up to 94, sitting 89-92. His slider is fringy.",,
2021,"80",,,"Will Bednar","SIRP","20.9805555","6' 2""","230","R","R","Mississippi State",,"40","High","Brother of Padres prospect David Bednar, Will is a strong-bodied righty who has been up to 96 and has some feel for a loopy, shapely curveball and a harder slider. He had shoulder tendonitis as a prep senior, which helped push him to school, and will be a draft-eligible sophomore for the Bulldogs. He's not especially athletic but could have a plus fastball/slider combo that enables him to pitch in relief. ",,
2021,"HS-P-1",,,"Eric Silva","SP","18.675","5' 11""","185","R","R","Laguna Hills HS",,"35+","Med","A short, athletic pitchability righty, Silva sits about 89-93 and touches 94. He throws strikes with much more consistency than most high schoolers, let alone ones who throw in the low-90s. Because of how athletic he is, there's a chance he ends up with impact, pinpoint command at peak. Silva's curveball has bat-missing bite when it's below the zone but is nasty when it's up a bit, including when Silva tries to back door it. If he can find a breaking ball with more lateral action to run away from righties, he has backend starter traits.",,
2021,"HS-P-2",,,"Luke Jewett","SP","18.5555555","6' 4""","200","R","R","JSerra Catholic HS",,"35","High","Jewett was 90-94 during his pre-draft summer then had PRP during the offseason. He throws strikes middle-away with consistency but I'm not sure his delivery allows him to do it all over the zone. He executes his breaking ball to the glove side as well. Has a really great pitcher's frame, though it's a little more mature and physical than a typical high school pitcher.",,
2021,"HS-P-3",,,"Camron Hill","SP","17.975","6' 6""","220","L","L","Whitewater HS",,"35","High","Hill is a frame-based projection lefty with below average stuff.",,
2021,"HS-P-4",,,"Aaron Calhoun","SP","18.6833333","5' 11""","165","R","R","Clear Brooks HS",,"35","Med","Calhoun is a short righty up to 94, with less polished command than similar frames/velos in this class (Eric Silva), and two fringe breakers.",,
2021,"HS-H-1",,,"Rob, IV Gordon","2B","18.8472222","6' 2""","175","R","R","Home Schooled",,"35+","High","Gordon is not a lock to stay at shortstop, and modest athleticism and arm strength might instead push him to second base. He has sneaky pull-side power and punishes pitches left on the inner half, but his swing has less impact in other parts of the zone. Gordon's combination of up-the-middle profile, pull power, and physical projection give him a fairly high ceiling if you project on his swing's playability.",,
2021,"HS-H-2",,,"Jordan McCants","SS","19.0416666","6' 1""","160","L","R","Pensacola Catholic HS",,"35","High","McCants is a frame-based upside infielder. His in-game swing doesn't really play at present.",,
2021,"COL-P-1",,,"Nick Nastrini","SP","21.3","5' 11""","204","R","R","UCLA",,"35+","Med","Nastrini doesn't throw all that hard but his delivery is very deceptive and seems to make hitters uncomfortable, and both his secondary pitches have bat-missing action. He was a little bit wild during pre-shutdown 2020 and dealt with Thoracic Outlet Syndrome in 2019. In some ways he's like Ole Miss lefty Nikhazy, but the 2019 injury and 2020 strike-throwing hiccup slides him a tad. He has backend starter stuff. ",,
2021,"COL-P-2",,,"Rodney Boone","SP","21.1583333","6' 1""","195","L","L","UC Santa Barbara",,"35+","High","A very deceptive lefty with a flexible back, Boone's arm whips behind his torso as he heads home, then suddenly appears out from behind his head. He has a very flat fastball that plays at the top of the zone despite not coming in very hard, often in the mid- to upper-80s. He also has a good changeup, and his breaking ball has big spin. He's a very interesting backend starter prospect who has more ceiling if he can throw harder.",,
2021,"COL-H-1",,,"Myles Austin","SS","21.3305555","6' 3""","177","R","R","Chipola College",,"35+","High",,,
2021,"COL-H-2",,,"Jerrion Ealy","CF","20.7972222","5' 10""","192","R","R","Ole Miss",,"35+","High","Ealy is a two-sport athlete with an unprojectable frame and flat swing. He has more baseball feel than the usual background.",,
2022,"1",,,"Elijah Green","CF","18.5","6' 1""","185","R","R","IMG Academy",,"45+","High","A prospect on par with the top of the international amateurs, Green has power, speed, he's short to the ball, he can wait back on offspeed stuff, he has great plate coverage and barrel control, and his swing isn't yet as athletic as it could be. It's rare for a high school prospect to top a future draft list at this site.",,
2022,"2",,,"Hunter Barco","SP","21.4694444","6' 4""","208","L","L","Florida",,"45","High","Barco was on the radar early and drawing comps to lower-slot elite lefties in the draft like Madison Bumgarner did when he was a prep underclassman. His velo was around 88-91 with a lower slot most of the showcase circuit, then he showed mostly 90-93, touching 96 mph this spring, sometimes flashing a consistently solid average slider and at other times struggling to land it. His low-spin splitter is a true plus pitch if not closer to 70. He was shut down late in the season with a shoulder muscle strain but hit 96 mph in a private predraft workout with Milwaukee, so the health scare looks to be behind him. Clubs that like the separator splitter, two-way athleticism, and deceptive velo will bet they can figure out the command/breaker, while others see a lefty with inconsistent stuff and arm slot who relies on a splitter.",,
2022,"3",,,"Bryce Osmond","SP","21.7472222","6' 3""","175","R","R","Oklahoma State",,"45","High","Osmond was 93-95 with a plus slider during summer ball after the shutdown.",,
2022,"4",,,"Peyton Graham","3B","21.3555555","6' 3""","180","R","R","Oklahoma",,"45","High","Graham was a rail-thin shortstop at a smaller Texas high school, and is now broad-shouldered third baseman at Oklahoma. He showed well during the 2020 Shriner's Classic. He has feel to hit, a great glove, and a chance to grow into power.",,
2022,"5",,,"Spencer Jones","1B/LHP","21.0555555","6' 7""","205","L","L","Vanderbilt",,"45","High","The game was too fast for Jones during his freshman foray. I'm still betting on his unusual athleticism for his size. He could bust out as a hitter or pitcher but he likely won't pitch in 2021 due to TJ recovery. He's on the Ohtani post-surgery regimen.",,
2022,"6",,,"Connor Prielipp","SP","21.4","6' 1""","195","L","L","Alabama",,"45","High","Prielipp is a lefty with mid-90s heat, and a plus-plus upper-80s slider. He was a little wild as a freshman but the arm strength was relatively new. He's on the Carlos Rodon track.",,
2022,"7",,,"Termarr Johnson","SS","17.9805555","5' 8""","140","L","R","Mays HS",,"45","High","Johnson is an advanced high school bat without a ton of physical projection.",,
2022,"8",,,"Trey Faltine","SS","21.4055555","6' 3""","185","R","R","Texas",,"40+","High","Faltine was a two-way high schooler, but is now a well-rounded shortstop.",,
2022,"9",,,"Dylan Lesko","SP","18.7416666","6' 3""","170","R","R","Buford HS",,"40+","High","Lesko has had a velo spike and was 95-97 before the 2021 season began. His delivery is not excessively violent.",,
2022,"10",,,"Andruw Jones","CF","18.5166666","6' 2""","175","R","R","Wesleyan HS",,"40+","High","Jones has surprising power for his age and frame.",,
2022,"11",,,"Logan Tanner","C","21.5666666","6' 2""","195","R","R","Mississippi State",,"40+","High","Tanner is a catcher with power and viable bat-to-ball skills.",,
2022,"12",,,"Nate Savino","SP","20.3611111","6' 3""","195","L","L","Virginia",,"40+","High","Savino's velocity climbed from the 89-93 range in 2018 games, up to the 91-94 range, touching 96 early in the summer of 2019. He also has an above-average, two-plane breaking ball in the upper-70s. His arm action is long and, overall, the delivery is atypical. He was ticketed for the middle of the first round when, in November of 2019, he announced plans to early enroll in Virginia in lieu of playing his high school senior year. This move has happened some recently, with current Diamondbacks RHP J.B. Bukauskas (Virginia HS, North Carolina) doing so en route to being a first round pick and 2021 first round center field prospect Jud Fabian going to Florida early from a Florida HS. Virginia also has a history of getting top prep arms on campus, with Mike Vasil the most recent example.",,
2022,"13",,,"Brandon Sproat","SP","21.7138888","6' 2""","175","R","R","Florida",,"40+","High","Sproat has elite arm strength, significant relief risk, and needs second out pitch.",,
2022,"14",,,"Alex Milazzo","C","21.8416666","5' 10""","185","R","R","LSU",,"40+","Med","Milazzo is a well-rounded catcher who had fantastic pre-shutdown 2020.",,
2022,"15",,,"Josh Rivera","3B","21.65","6' 2""","205","R","R","Florida",,"40+","High","Rivera is a tooled-up SS/3B with hit tool questions.",,
2022,"16",,,"Chris Newell","RF","21.1138888","6' 2""","190","L","L","Virginia",,"40+","High","Newell is a tooled-up center fielder with hit tool questions.",,
2022,"17",,,"Robert Moore","SS","20.1777777","5' 9""","160","S","R","Arkansas",,"40+","Med","Moore is a polished middle infielder with plus hands and actions, who runs well, and has a contact bat.",,
2022,"18",,,"Brooks Lee","SS","21.3055555","6' 1""","180","S","R","Cal Poly",,"40+","High","Lee was a toolsy overslot high school candidate. A back injury made looks tough in 2020.",,
2022,"19",,,"Maurice, Jr. Hampton","CF","20.8416666","6' 0""","195","R","R","LSU",,"40+","High","Hampton was a hot name over the summer for his loud, 105+ mph batted balls and his big time tools and model-friendly age at 17.9 on draft day. This spring, teams have continued to doubt his ability to hit, with a raw feel to hit that some think may never come all the way around, but the power/speed/defense to still project as a low-end regular without a 50+ hit tool. He's playing safety for LSU football as well, backing up likely first rounder Grant Delpit.",,
2022,"20",,,"Brennan Milone","3B","21.0777777","6' 1""","180","R","R","South Carolina",,"40","Med","Milone is a polished college bat type who is likely to perform at a big school.",,
2023,"1",,,"Tanner Witt","RHP","20.9","6' 5""","200","R","R","Texas",,"45","Witt is not on some teams' draft boards. Texas is ","Witt is a prototypical high school pitching prospect with a big frame, picturesque delivery, and curveball feel.",,
2023,"2",,,"T.J. Nichols","RHP","20.9472222","6' 3""","170","R","R","Arizona",,"45",,"Nichols was up to 94 during summer showcase looks in high school, but had a projectable frame and good breaking ball. Now he's throwing a lot harder (up to 97) and has a power slider.",,
2023,"3",,,"Carson Montgomery","RHP","20.8111111","6' 2""","200","R","R","Florida State",,"45",,"Montgomery is a young-for-the-class righty who shows all the elements with size, starter traits, mid-90's velo and above average stuff. His delivery may turn some teams off, but it's also what helps him create vertical action on the curveball.","8ApUq-asA-Y",
2023,"4",,,"Dylan Crews","RF","21.275","6' 0""","190","R","R","LSU",,"40+",,"Crews is one of the best athletes in this high school crop but he didn't hit well last summer and is likely headed to LSU. He could be 1-1 three years from now.","yuOejbqs8OA",
2023,"5",,,"Drew Bowser","3B","21.675","6' 3""","205","R","R","Stanford",,"40+",,"Bowser is listed as a 3B/SS but his body projects to first base. He has an upright swing, but his hands really work. Power came on late in the summer and Fall.",,
2023,"6",,,"Christian Little","RHP","19.9166666","6' 2""","195","R","R","Vanderbilt",,"40+",,"Little reclassified from the 2021 class. He's young for the class, with a big frame and ultra smooth delivery but doesn't repeat. He's into the mid-90s with good breaking stuff and some changeup feel.","vYp2Sf8a1pc",
2023,"7",,,"Kevin Parada","C","21.8388888","6' 0""","200","R","R","Georgia Tech",,"40+",,"Parada has an above average arm and can stick behind the plate, and he shows some upside with the stick.",,
2023,"8",,,"Elijah Nunez","CF","21.4972222","5' 9""","165","L","L","TCU",,"40+",,"Nunez is a squatty center fielder who has plus speed, sneaky strength and feel to hit.",,
2023,"9",,,"Jace Bohrofen","RF","21.6277777","6' 2""","195","L","R","Oklahoma",,"40+",,"Bohrofen is a projectable corner outfield prospect who began growing into more power throughout 2019. ",,
2023,"10",,,"Alejandro Rosario","RHP","21.4138888","6' 1""","170","R","R","Miami",,"40+",,"Rosario was an old-for-the-class 2021 prospect but reclassified a year in advance to the 2020 class. He works 92-95 and hits 97 with life, strikes, a solid arm action and some starter traits.","S0G4mIFH5YE",
2023,"11",,,"Cam Collier","3B","18.5416666","6' 1""","190","L","R","Mt. Paran Christian HS",,"40+",,"Collier has a mature frame, swing, feel, and strength. He committed as a 14-year-old, which is very rare.",,
2023,"12",,,"Caden Grice","LHP/1B","20.9722222","6' 5""","220","L","L","Clemson",,"40+",,"Grice is an athletic-for-his-size two-way prospect. He has fringe stuff but huge projection due to his size, and same goes for the power.",,
2023,"13",,,"Ethan Robinson","RHP","18.8472222","6' 3""","177","R","R","Donelson Christian HS",,"40+",,"Robinson has an ideal pitcher's frame with balanced, athletic mechanics. He's 90-92 with some ride and breaking ball feel. He's very similar to Mick Abel at the same stage, and has big time physical projection.",,
2023,"14",,,"Corey Collins","C","21.6527777","6' 3""","205","R","R","Georgia",,"40+",,"Collins has big, strength-based raw power that he gets to in games to all fields. An improved physique gives him a chance to stick behind the plate and has made him a 45 runner. He had a 2.01 pop at PG National.",,
2023,"15",,,"Cade Horton","RHP/SS","21.7916666","6' 2""","190","R","R","Oklahoma",,"40+",,"Horton is a legit two-way prospect who has been up to 95 on the mound with a 45/50 slider. He has a 6 arm (duh) with some pop and feel to hit. He may be a third baseman.",,
2023,"16",,,"Chase Davis","RF","21.5","6' 1""","210","L","L","Arizona",,"40+",,"Davis has fast hands, bat control, and breaking ball recognition. He's a plus runner with lift in the swing. It's a Nick Williams body/skillset but Davis' approach might be better.",,
2023,"17",,,"Kyle Teel","C","21.3055555","6' 0""","180","L","R","Virginia",,"40+",,"Teel is twitchy with catch and throw skills, above average bat speed and good performance this summer.",,
2023,"18",,,"Robby Ashford","CF","20.6777777","6' 4""","210","R","R","Oregon",,"40+",,"Ashford is young for the class and is a supreme athlete who was committed to Ole Miss as a center fielder and quarterback, following in the footsteps of 2019 centerfield prospect/WR Jerrion Ealy and CF/QB John Rhys Plumlee, but Ashford decommitted late in the process and signed with Oregon instead. He's next in a long line of athletic dual-threat QB and center fielders: Plumlee, Kyler Murray, Justin Fields, Brandon McIlwain, etc.",,
2023,"19",,,"Yohandy Morales","3B","21.6555555","6' 4""","180","R","R","Miami",,"40+",,"Morales is big and will likely turn into a physical monster, already with big power and some body control, so there's top-10 overall pick potential if it clicks, but his hitting actions are odd.","5MnLngWmO9A",
2023,"20",,,"Nick Griffin","LHP/RF","20.9861111","6' 4""","175","L","L","Arkansas",,"40+",,"Griffin has an ideal frame, throws in the low-90s with a smooth delivery (but doesn't repeat yet), and can really spin a curveball.",,
